row	rank	article	word	plural	english	cefrLevel	flags
15401	14909	der	Balanceakt	Balanceakte	balancing act	UNSET	
15402	14910	der	Ballwechsel	Ballwechsel	rally	UNSET	
15403	14911	das	Bandmitglied	Bandmitglieder	band member/bandmate	UNSET	
15404	3672	die	Bankkarte	Bankkarten	bank card	A2	
15405	14913	der	Bankrott	Bankrotte	bankruptcy	UNSET	
15406	14914	die	Bärin	Bärinnen	she-bear	UNSET	
15407	14915	die	Barockzeit	Barockzeiten	Baroque period	UNSET	
15408	14916	der	Barren	Barren	bar/ingot/parallel bars	UNSET	
15409	14917	der	Baubetrieb	Baubetriebe	construction company/construction operations	UNSET	
15410	14918	der	Bauboom	Baubooms	building boom	UNSET	
15411	14919	der	Bauminister	Bauminister	building minister	UNSET	
15412	14920	die	Baumscheibe	Baumscheiben	tree pit/tree disc	UNSET	
15413	14921	die	Beauty	Beautys	beauty	UNSET	
15414	14922	der	Begünstigte	Begünstigten	beneficiary	UNSET	adjectivalNoun
15415	14923	der	Behandlungsfehler	Behandlungsfehler	error in treatment/malpractice/treatment mistake	UNSET	
15416	14924	die	Beherbergung	Beherbergungen	accommodation/lodging	UNSET	
15417	14925	die	Beifahrerin	Beifahrerinnen	passenger (female)	UNSET	
15418	14926	der	Beifahrersitz	Beifahrersitze	co-driver's seat/front passenger seat/passenger seat	UNSET	
15419	14927	die	Belagerung	Belagerungen	siege	UNSET	
15420	14928	die	Benutzbarkeit	—	usability	UNSET	
15421	14929	die	Bergregion	Bergregionen	mountain region	UNSET	
15422	3673	die	Bergstation	Bergstationen	mountain station/top station/upper station	A2	
15423	14931	das	Beruhigungsmittel	Beruhigungsmittel	sedative/tranquilizer	UNSET	
15424	14932	das	Besitztum	Besitztümer	possession/property	UNSET	
15425	4633	die	Besorgung	Besorgungen	errand (shopping)/purchase	C1	
15426	14934	der	Bestimmungsort	Bestimmungsorte	destination	UNSET	
15427	14935	der	Bestsellerautor	Bestsellerautoren	bestselling author	UNSET	
15428	4636	die	Bestürzung	—	consternation	C1	
15429	14937	die	Besuchszeit	Besuchszeiten	visiting time	UNSET	
15430	14938	die	Bevölkerungsdichte	Bevölkerungsdichten	density of population/population density	UNSET	
15431	14939	die	Bewährungsstrafe	Bewährungsstrafen	suspended sentence	UNSET	
15432	14940	der	Bewegungsraum	Bewegungsräume	room to move/range of motion	UNSET	
15433	14941	die	Bezugsquelle	Bezugsquellen	source of supply	UNSET	
15434	14942	die	Bibelstelle	Bibelstellen	biblical passage	UNSET	
15435	14943	das	Bibliothekswesen	—	librarianship/library system	UNSET	
15436	14944	die	Biegung	Biegungen	bend/curvature/curve	UNSET	
15437	14945	die	Bildungsgerechtigkeit	—	educational equity	UNSET	
15438	14946	die	Biologin	Biologinnen	biologist	UNSET	
15439	14947	das	Biomethan	—	biomethane	UNSET	
15440	14948	der	Birnbaum	Birnbäume	pear tree	UNSET	
15441	14949	der	Bitcoin	Bitcoins	bitcoin	UNSET	
15442	14950	der	Blackout	Blackouts	blackout	UNSET	
15443	14951	die	Blattlaus	Blattläuse	aphid/black fly	UNSET	
15444	14952	der	Blauton	Blautöne	shade of blue/blue tone	UNSET	
15445	14953	die	Blockhütte	Blockhütten	log cabin	UNSET	
15446	14954	das	Blütenblatt	Blütenblätter	petal	UNSET	
15447	14955	die	Blutgerinnung	—	blood clotting/blood coagulation	UNSET	
15448	14956	der	Blutkreislauf	Blutkreisläufe	blood circulation/circulation	UNSET	
15449	14957	die	Bodenart	Bodenarten	soil type	UNSET	
15450	14958	die	Bodenerosion	Bodenerosionen	soil erosion	UNSET	
15451	14959	der	Bollerwagen	Bollerwagen	handcart/wagon	UNSET	
15452	14960	das	Bordell	Bordelle	brothel	UNSET	
15453	14961	der	Börsenwert	Börsenwerte	market capitalisation	UNSET	
15454	14962	das	Braille	—	Braille	UNSET	
15455	14963	das	Branchenverzeichnis	Branchenverzeichnisse	business directory/industry directory	UNSET	
15456	14964	die	Brandung	Brandungen	surf/surge	UNSET	
15457	14965	der	Briefwechsel	Briefwechsel	correspondence	UNSET	
15458	14966	die	Brüderlichkeit	Brüderlichkeiten	brotherhood/fraternity	UNSET	
15459	14967	der	Brüllaffe	Brüllaffen	howler monkey	UNSET	
15460	14968	die	Buchecker	Bucheckern	beechnut	UNSET	
15461	7643	die	Buchseite	Buchseiten	page	B2	
15462	14970	die	Buchstabenkombination	Buchstabenkombinationen	letter combination	UNSET	
15463	14971	der	Buchtipp	Buchtipps	book recommendation/book tip	UNSET	
15464	14972	der	Buchtitel	Buchtitel	book title	UNSET	
15465	14973	die	Bundesjustizministerin	Bundesjustizministerinnen	Federal Minister of Justice (female)	UNSET	
15466	14974	der	Bundespolizist	Bundespolizisten	federal police officer	UNSET	
15467	14975	der	Bürgerbeauftragte	Bürgerbeauftragten	ombudsman/citizens' representative	UNSET	adjectivalNoun
15468	14976	der	Camembert	Camemberts	camembert	UNSET	
15469	14977	der	Cashflow	Cashflows	cash flow	UNSET	
15470	14978	das	Chemieunternehmen	Chemieunternehmen	chemical company	UNSET	
15471	14979	der	Compiler	Compiler	compiler	UNSET	
15472	14980	die	Cyberattacke	Cyberattacken	cyber attack/cyberattack	UNSET	
15473	14981	der	Cyberspace	Cyberspaces	cyberspace	UNSET	
15474	14982	der	Dackel	Dackel	dachshund	UNSET	
15475	14983	die	Datenpanne	Datenpannen	data leak	UNSET	
15476	14984	der	Debütroman	Debütromane	debut novel	UNSET	
15477	14985	der	Deckmantel	Deckmäntel	cloak/guise	UNSET	
15478	14986	die	Demokratin	Demokratinnen	democrat (female)	UNSET	
15479	14987	die	Demoskopie	Demoskopien	opinion research (the discipline)	UNSET	
15480	14988	das	Departement	Departements	department	UNSET	
15481	14989	der	Depp	Deppen	dork/fool/moron	UNSET	
15482	14990	die	Dienstbehörde	Dienstbehörden	service authority	UNSET	
15483	14991	das	Dienstjahr	Dienstjahre	year of service	UNSET	
15484	14992	der	Digitalfunk	—	digital radio communications (emergency-services network)	UNSET	
15485	14993	die	Diode	Dioden	diode	UNSET	
15486	14994	das	Diorama	Dioramen	diorama	UNSET	
15487	14995	die	Diphtherie	Diphtherien	diphtheria	UNSET	
15488	14996	die	Direktwahl	Direktwahlen	direct dialling/direct election	UNSET	
15489	14997	die	Disk	Disks	disc/disk	UNSET	
15490	14998	die	Diva	Diven	diva	UNSET	
15491	14999	der	Donnerstagvormittag	Donnerstagvormittage	Thursday morning	UNSET	
15492	15000	der	Doodle	Doodles	doodle	UNSET	
15493	15001	die	Doppelseite	Doppelseiten	double-page spread	UNSET	
15494	15002	die	Dorfschule	Dorfschulen	village school	UNSET	
15495	8643	das	Double	Doubles	double	A1	
15496	15004	die	Douglasie	Douglasien	douglas fir	UNSET	
15497	15005	der	Dresscode	Dresscodes	dress code	UNSET	
15498	15006	der	Drittligist	Drittligisten	third-division team	UNSET	
15499	15007	der	Drücker	Drücker	doorbell button/pushy salesman	UNSET	
15500	15008	die	Drucktechnik	Drucktechniken	printing technology/printing technique	UNSET	
15501	8804	die	Dummheit	Dummheiten	folly/stupidity	C1	
15502	15010	der	Dunst	Dünste	haze	UNSET	
15503	15011	die	Dynastie	Dynastien	dynasty	UNSET	
15504	15012	die	Eigenkapitalquote	Eigenkapitalquoten	equity ratio	UNSET	
15505	15013	der	Eigenname	Eigennamen	proper name/proper noun	UNSET	
15506	15014	das	Eigentumsverhältnis	Eigentumsverhältnisse	ownership structure/property relations	UNSET	
15507	15015	der	Eigenwert	Eigenwerte	intrinsic value/eigenvalue	UNSET	
15508	15016	der	Eigner	Eigner	owner	UNSET	
15509	15017	der	Einbürgerungstest	Einbürgerungstests	citizenship test	UNSET	
15510	15018	die	Einfriedung	Einfriedungen	enclosure	UNSET	
15511	15019	das	Eingabegerät	Eingabegeräte	input device	UNSET	
15512	15020	das	Eingeständnis	Eingeständnisse	admission/concession	UNSET	
15513	15021	die	Einkaufstüte	Einkaufstüten	shopping bag	UNSET	
15514	15022	der	Einwurf	Einwürfe	throw-in/objection	UNSET	
15515	15023	die	Eisenbahnbrücke	Eisenbahnbrücken	railroad bridge/railway bridge	UNSET	
15516	15024	die	Eisschicht	Eisschichten	ice layer	UNSET	
15517	15025	das	Elbufer	Elbufer	Elbe riverbank	UNSET	
15518	15026	der	Elfenbeinturm	Elfenbeintürme	ivory tower	UNSET	
15519	15027	der	Emigrant	Emigranten	emigrant	UNSET	
15520	15028	die	Empfängnisverhütung	Empfängnisverhütungen	contraception	UNSET	
15521	15029	die	Endphase	Endphasen	final phase	UNSET	
15522	15030	die	Entfremdung	Entfremdungen	alienation	UNSET	
15523	15031	der	Enthusiast	Enthusiasten	enthusiast	UNSET	
15524	15032	die	Entschärfung	Entschärfungen	defusing/disarming	UNSET	
15525	15033	die	Entzündungsreaktion	Entzündungsreaktionen	inflammation reaction	UNSET	
15526	15034	die	Erbinformation	Erbinformationen	genetic information	UNSET	
15527	15035	die	Erdatmosphäre	—	atmosphere of Earth	UNSET	
15528	15036	das	Erdkabel	Erdkabel	underground cable	UNSET	
15529	15037	die	Eremitage	Eremitagen	hermitage	UNSET	
15530	15038	die	Ernennungsurkunde	Ernennungsurkunden	certificate of appointment	UNSET	
15531	15039	das	Erscheinungsdatum	Erscheinungsdaten	publication date/release date	UNSET	
15532	15040	die	Erstauflage	Erstauflagen	first edition	UNSET	
15533	15041	die	Erstaufnahme	Erstaufnahmen	initial reception/first admission	UNSET	
15534	15042	das	Erstlingswerk	Erstlingswerke	debut work/first work	UNSET	
15535	15043	der	Erwerbslose	Erwerbslosen	unemployed person	UNSET	adjectivalNoun
15536	15044	die	Erzählerin	Erzählerinnen	narrator (female)	UNSET	
15537	15045	die	Essecke	Essecken	dining nook/dining area	UNSET	
15538	15046	die	Essensausgabe	Essensausgaben	food distribution/serving area	UNSET	
15539	15047	das	Establishment	Establishments	establishment	UNSET	
15540	15048	die	Eucharistiefeier	Eucharistiefeiern	Eucharist ceremony	UNSET	
