row	rank	article	word	plural	english	cefrLevel	flags
3501	3486	der	Mausklick	Mausklicks	mouse click/point-and-click	UNSET	
3502	3487	die	Nationalmannschaft	Nationalmannschaften	national team	B2	
3503	3488	die	Neuauflage	Neuauflagen	new edition/reissue/remake	UNSET	
3504	3489	die	Ökologie	—	ecology	UNSET	
3505	3490	der	Radler	Radler	cyclist/shandy	UNSET	
3506	3491	die	Rückgabe	Rückgaben	return	UNSET	
3507	3492	die	Schraube	Schrauben	screw; bolt; propeller	UNSET	
3508	3493	das	Skript	Skripte	script	UNSET	
3509	3494	die	Sozialwissenschaft	Sozialwissenschaften	social science	B2	
3510	3495	der	Spot	Spots	advert/commercial (TV); spotlight	B1	
3511	3879	die	Synergie	Synergien	synergy	UNSET	
3512	3497	der	Takt	Takte	bar (music)/rhythm; tact	B2	
3513	3498	der	Tank	Tanks	tank	C1	
3514	3499	die	Verbundenheit	Verbundenheiten	affiliation/connection	C1	
3515	3500	die	Vermutung	Vermutungen	assumption/conjecture/guess	A2	
3516	4006	die	Vorhersage	Vorhersagen	prediction	UNSET	
3517	4033	der	Würfel	Würfel	cube/dice/die	UNSET	
3518	4074	die	Auslieferung	Auslieferungen	delivery/extradition	UNSET	
3519	1371	der	Automat	Automaten	vending machine/machine; automaton	A1	
3520	4090	das	Baden	—	bathing/dipping	UNSET	
3521	3506	der	Bestseller	Bestseller	best seller/bestseller	C1	
3522	4107	der	Client	Clients	client	UNSET	
3523	3508	das	Curriculum	Curricula	curriculum/syllabus	C1	
3524	4120	das	Dezernat	Dezernate	department	UNSET	
3525	3510	das	Drehbuch	Drehbücher	script	B2	
3526	4189	das	Echo	Echos	echo	UNSET	
3527	4200	der	Familienangehörige	Familienangehörigen	family member/member of the family	UNSET	adjectivalNoun
3528	3513	das	Grab	Gräber	grave	B2	
3529	1373	der	Handschuh	Handschuhe	glove	A1	
3530	3515	die	Hauptschule	Hauptschulen	secondary modern school	A2	
3531	4252	die	Klassik	—	classical music	UNSET	
3532	3517	die	Komödie	Komödien	comedy	A2	
3533	3518	die	Konjunktur	Konjunkturen	boom/economic situation	C1	
3534	4277	die	Ladung	Ladungen	cargo/charge/freight	UNSET	
3535	3520	die	Langeweile	—	boredom	B1	
3536	4284	die	Logik	Logiken	logic	UNSET	
3537	4341	das	Nahrungsergänzungsmittel	Nahrungsergänzungsmittel	dietary supplement	UNSET	
3538	4387	die	Neugestaltung	Neugestaltungen	redesign/redevelopment/remake	UNSET	
3539	4400	das	Plenum	Plenen	plenum	UNSET	
3540	4409	die	Provision	Provisionen	commission	UNSET	
3541	4416	der	Rektor	Rektoren	head teacher (school); vice-chancellor/rector (university)	UNSET	
3542	3527	die	Renaissance	Renaissancen	Renaissance/renaissance	C1	
3543	1374	die	Sahne	—	cream/whipped cream	A1	
3544	4467	das	Schlagwort	Schlagwörter	buzzword/catchword/slogan	UNSET	
3545	4482	die	Soziologie	Soziologien	sociology	UNSET	
3546	3531	der	Stoffwechsel	Stoffwechsel	metabolism	B2	
3547	3532	das	Studienfach	Studienfächer	subject	B2	
3548	3533	der	Umkreis	Umkreise	surrounding area/vicinity	B2	
3549	3534	die	Unruhe	Unruhen	disturbance/flurry/hubbub	B2	
3550	4490	die	Verbrennung	Verbrennungen	burning/combustion/cremation	UNSET	
3551	4528	die	Verkehrssicherheit	—	road/traffic safety	UNSET	
3552	3537	die	Verlegung	Verlegungen	postponement/relocation; laying (of cables, tiles)	C1	
3553	4530	die	Verständigung	Verständigungen	communication/settlement	UNSET	
3554	3539	das	Wirtschaftswachstum	—	economic growth	C1	
3555	4533	die	Zwischenzeit	Zwischenzeiten	meantime/interim	UNSET	
3556	4558	der	Acker	Äcker	field/arable land	UNSET	
3557	4561	der	Cocktail	Cocktails	cocktail	UNSET	
3558	3543	das	Diplom	Diplome	certificate/diploma	B1	
3559	4565	die	Erziehungswissenschaft	Erziehungswissenschaften	education/education science/educational science	UNSET	
3560	4569	die	Fichte	Fichten	spruce	UNSET	
3561	3546	die	Flut	Fluten	flood/flood-tide/waves	B2	
3562	3547	die	Folie	Folien	foil/slide	B1	
3563	4579	der	Fürst	Fürsten	prince	UNSET	
3564	4585	die	Haftpflichtversicherung	Haftpflichtversicherungen	liability insurance	UNSET	
3565	4599	die	Historie	Historien	history/story	UNSET	
3566	4676	der	Igel	Igel	hedgehog	UNSET	
3567	3552	der	Import	Importe	import	A2	
3568	4686	der	Jugendschutz	—	child and youth protection	UNSET	
3569	1375	der	Kiosk	Kioske	kiosk/newsagent's/newsstand	A1	
3570	3555	der	Klassenraum	Klassenräume	classroom	C1	
3571	4705	der	Messenger	Messenger	messenger	UNSET	
3572	3557	die	Nationalität	Nationalitäten	nationality	B2	
3573	4719	das	Objektiv	Objektive	lens (camera)	UNSET	
3574	4724	das	Öffnen	—	opening	UNSET	
3575	4833	das	Reh	Rehe	roe/roe deer	UNSET	
3576	4847	die	Ruine	Ruinen	ruin(s)	UNSET	
3577	4949	der	Screenshot	Screenshots	screenshot	UNSET	
3578	5093	das	Stadtbild	Stadtbilder	cityscape/townscape	UNSET	
3579	5133	der	Stichtag	Stichtage	deadline	UNSET	
3580	5165	der	Transporter	Transporter	van/transporter	UNSET	
3581	3566	das	Trio	Trios	trio	C1	
3582	5275	die	Wasserversorgung	—	water-supply	UNSET	
3583	5279	die	Wohnfläche	Wohnflächen	living area/living space	A1	
3584	3569	die	Wolle	Wollen	wool	B1	
3585	3570	der	Zeitplan	Zeitpläne	schedule/timetable	A2	
3586	5301	die	Achse	Achsen	axis/axle	UNSET	
3587	5325	der	Aktivist	Aktivisten	activist	UNSET	
3588	5469	die	Allgemeinheit	Allgemeinheiten	general public/generality	UNSET	
3589	1377	der	Anzug	Anzüge	suit	A1	
3590	5530	die	Aufbewahrung	—	keeping/storage	UNSET	
3591	3576	das	Aufgabengebiet	Aufgabengebiete	area of responsibility	B2	
3592	3577	das	Banner	Banner	banner/standard	C1	
3593	5598	der	Baumarkt	Baumärkte	DIY shop/hardware store (US)/ironmonger's	UNSET	
3594	5680	der	Brauch	Bräuche	custom/practice	UNSET	
3595	5688	der	Cluster	Cluster	cluster	UNSET	
3596	5815	das	Evangelium	Evangelien	Gospel/gospel	UNSET	
3597	5847	der	General	Generale	general	UNSET	
3598	5892	die	Grundsicherung	Grundsicherungen	guaranteed minimum income	UNSET	
3599	3584	die	Kleinigkeit	Kleinigkeiten	small thing/trifle/minor detail	C1	
3600	3585	die	Mehrwertsteuer	Mehrwertsteuern	VAT/value added tax	A2	
3601	5896	die	Metropolis	Metropolen	metropolis	UNSET	
3602	5946	der	Ökostrom	—	clean power/eco-power	UNSET	
3603	6031	die	Predigt	Predigten	sermon	UNSET	
3604	6051	die	Programmiersprache	Programmiersprachen	programming language	UNSET	
3605	6112	der	Prüfstand	Prüfstände	test bench	UNSET	
3606	6113	die	Restaurierung	Restaurierungen	conservation/renovation/restoration	UNSET	
3607	3592	der	Ritter	Ritter	knight	B2	
3608	6224	die	Schwankung	Schwankungen	fluctuation/variation	UNSET	
3609	6241	die	Sensibilisierung	Sensibilisierungen	sensitisation	UNSET	
3610	6273	das	Stadtarchiv	Stadtarchive	city archive	UNSET	
3611	6280	das	Tanzen	—	dancing	UNSET	
3612	6305	der	Tänzer	Tänzer	dancer	UNSET	
3613	6324	der	Teenager	Teenager	teenager	UNSET	
3614	3599	die	Ungleichheit	Ungleichheiten	inequality	C1	
3615	6372	der	Urheber	Urheber	author/originator	UNSET	
3616	3601	das	Wahlrecht	Wahlrechte	right to vote/suffrage	B2	
3617	6387	der	Wegfall	—	cessation/omission	UNSET	
3618	6435	der	Zwilling	Zwillinge	twin	UNSET	
3619	6509	das	Autohaus	Autohäuser	car dealer/car dealership	UNSET	
3620	3605	der	Bann	Banne	spell/ban	C1	
3621	6607	die	Baugenehmigung	Baugenehmigungen	building permission/building permit	UNSET	
3622	3607	der	Bundesstaat	Bundesstaaten	federal state/federation	C1	
3623	6664	der	Desktop	Desktops	desktop/desktop computer	UNSET	
3624	6681	der	Draht	Drähte	cable/wire	UNSET	
3625	6719	das	Dreieck	Dreiecke	triangle	UNSET	
3626	6876	die	Eleganz	—	elegance	UNSET	
3627	6892	das	Erbrechen	—	vomiting	UNSET	
3628	6958	die	Fahrerlaubnis	Fahrerlaubnisse	driving licence	UNSET	
3629	3614	die	Fauna	Faunen	fauna	C1	
3630	6959	das	Fünftel	Fünftel	fifth	UNSET	
