row	rank	word	english	cefrLevel	source	flags
8401	8461	resonant	resonant	UNSET	UNSET	
8402	8462	respekteinflößend	commanding respect	UNSET	UNSET	
8403	8463	restituiert	restituted/restored	UNSET	UNSET	
8404	8464	retrograd	retrograde	UNSET	UNSET	
8405	8465	revisionistisch	revisionist	UNSET	UNSET	
8406	8466	ripuarisch	Ripuarian	UNSET	UNSET	
8407	8467	risikoaffin	risk-seeking/risk-tolerant	UNSET	UNSET	
8408	8468	risikoavers	risk-averse	UNSET	UNSET	
8409	8469	röhrenartig	tubular	UNSET	UNSET	
8410	8470	rohstoffreich	resource-rich/rich in raw materials	UNSET	UNSET	
8411	8471	romanhaft	novelistic	UNSET	UNSET	
8412	8472	romanistisch	relating to Romance philology / Romance studies	UNSET	UNSET	
8413	8473	rotzfrech	cheeky/insolent	UNSET	UNSET	
8414	8474	rubinrot	ruby/ruby red	UNSET	UNSET	
8415	8475	rücklaufend	running back/retrograde	UNSET	UNSET	
8416	8476	rückschrittlich	regressive/backward	UNSET	UNSET	
8417	8477	ruiniert	ruined	UNSET	UNSET	
8418	8478	rußverschmiert	soot-smeared	UNSET	UNSET	
8419	8479	saalartig	hall-like	UNSET	UNSET	
8420	8480	sachbezogen	germane/pertinent/relevant	UNSET	UNSET	
8421	8481	sachlogisch	factual-logical	UNSET	UNSET	
8422	8482	sachte	gentle, soft (adv. gently, softly)	UNSET	UNSET	
8423	8483	sakrosankt	sacrosanct	UNSET	UNSET	
8424	8484	salomonisch	Solomonic, wise (of a judgement); (rarely) of the Solomon Islands	UNSET	UNSET	
8425	8485	salzarm	low-salt/low in salt	UNSET	UNSET	
8426	8486	salzresistent	salt-resistant	UNSET	UNSET	
8427	8487	samstäglich	Saturday/of a Saturday	UNSET	UNSET	
8428	8488	samten	velvet, made of velvet	UNSET	UNSET	
8429	8489	sängerisch	vocal/singing	UNSET	UNSET	
8430	8490	saphirblau	sapphire blue	UNSET	UNSET	
8431	8491	sardonisch	sardonic	UNSET	UNSET	
8432	8492	satanisch	satanic	UNSET	UNSET	
8433	8493	sattelfest	well-versed (in), sure-footed, on top of the subject	UNSET	UNSET	
8434	8494	saturiert	satiated/comfortable	UNSET	UNSET	
8435	8495	sauerstoffarm	oxygen-deficient	UNSET	UNSET	
8436	8496	saugut	really good (vulgar)	UNSET	UNSET	
8437	8497	sauteuer	really expensive (vulgar)	UNSET	UNSET	
8438	8498	schadstoffbelastet	polluted/contaminated	UNSET	UNSET	
8439	8499	schadstoffreich	high in pollutants / heavily polluting	UNSET	UNSET	
8440	8500	schalenförmig	bowl-shaped	UNSET	UNSET	
8441	8501	schallgedämpft	sound-deadened	UNSET	UNSET	
8442	8502	schamhaft	bashful/coy/modest	UNSET	UNSET	
8443	8503	schauderhaft	awful/dreadful/ghastly	UNSET	UNSET	
8444	8504	schaulustig	curious/eager	UNSET	UNSET	
8445	8505	scheißegal	couldn't care less (vulgar)	UNSET	UNSET	
8446	8506	schemenhaft	shadowy/dimly visible	UNSET	UNSET	
8447	8507	schiffbar	navigable	UNSET	UNSET	
8448	8508	schikanös	vexatious/bullying	UNSET	UNSET	
8449	8509	schimmlig	mouldy	UNSET	UNSET	
8450	8510	schirmförmig	umbrella-shaped	UNSET	UNSET	
8451	8511	schlachtwarm	freshly slaughtered	UNSET	UNSET	
8452	8512	schlaffördernd	soporific	UNSET	UNSET	
8453	8513	schlagbar	beatable	UNSET	UNSET	
8454	8514	schlagzeilenträchtig	headline-grabbing	UNSET	UNSET	
8455	8515	schlangenähnlich	snake-like	UNSET	UNSET	
8456	8516	schlauchartig	tube-like	UNSET	UNSET	
8457	8517	schlossartig	palatial	UNSET	UNSET	
8458	8518	schmalbrüstig	narrow-chested; (fig.) puny, feeble, lacking substance	UNSET	UNSET	
8459	8519	schmelzbar	fusible/meltable	UNSET	UNSET	
8460	8520	schmerzarm	nearly painless, with little pain	UNSET	UNSET	
8461	8521	schmerzverzerrt	pain-twisted	UNSET	UNSET	
8462	8522	schmerzvoll	painful	UNSET	UNSET	
8463	8523	schnoddrig	impudent	UNSET	UNSET	
8464	8524	schokoladenbraun	chocolate brown	UNSET	UNSET	
8465	8525	schreibfaul	lazy about writing	UNSET	UNSET	
8466	8526	schriftsprachlich	written-language/standard written	UNSET	UNSET	
