row	rank	word	english	cefrLevel	source	flags
7001	7043	scheinheilig	hypocritical/sanctimonious	UNSET	UNSET	
7002	7044	schiedsrichterlich	arbitral / of the referee	UNSET	UNSET	
7003	7045	schienengebunden	rail-bound	UNSET	UNSET	
7004	7046	schlafähnlich	sleep-like	UNSET	UNSET	
7005	7047	schlampig	sloppy/slovenly/slipshod	UNSET	UNSET	
7006	7048	schlängelnd	meandering/winding	UNSET	UNSET	
7007	7049	schmucklos	plain/unadorned	UNSET	UNSET	
7008	7050	schneebehangen	snow-covered	UNSET	UNSET	
7009	7051	schnieke	dressy/great/snazzy	UNSET	UNSET	
7010	7052	schnulzig	cheesy/sentimental	UNSET	UNSET	
7011	7053	schrottreif	fit for the scrapyard	UNSET	UNSET	
7012	7054	schulterfrei	off-the-shoulder / bare-shouldered	UNSET	UNSET	
7013	7055	schulterlang	shoulder-length	UNSET	UNSET	
7014	7056	schulterzuckend	shrugging	UNSET	UNSET	
7015	7057	schusselig	absent-minded	C1	UNSET	
7016	7058	schwarzhumorig	black-humoured	UNSET	UNSET	
7017	7059	schwärzlich	blackish	UNSET	UNSET	
7018	7060	schwarzweiß	black-and-white	UNSET	UNSET	
7019	7061	schweigsam	silent/taciturn	UNSET	UNSET	
7020	7062	schweißgebadet	drenched in sweat	UNSET	UNSET	
7021	7063	schwerreich	filthy rich	UNSET	UNSET	
7022	7064	schwielig	calloused	UNSET	UNSET	
7023	7065	sechsgeschossig	six-storey	UNSET	UNSET	
7024	7066	sechsmalig	six-time/sixfold	UNSET	UNSET	
7025	7067	sechssemestrig	six-semester	UNSET	UNSET	
7026	7068	seeseitig	lakeside/seaside	UNSET	UNSET	
7027	7069	seiden	silk/silken	UNSET	UNSET	
7028	7070	seidenweich	silky-soft	UNSET	UNSET	
7029	7071	sekündlich	second by second	UNSET	UNSET	
7030	7072	selbstbezüglich	self-referential	UNSET	UNSET	
7031	7073	selbstgebraut	home-brewed/homebrewed	UNSET	UNSET	
7032	7074	selbstgenäht	home-made / sewn oneself	UNSET	UNSET	
7033	7075	selbstherrlich	high-handed/overbearing	UNSET	UNSET	
7034	7076	selbstzerstörerisch	self-destructive	UNSET	UNSET	
7035	7077	semiotisch	semiotic	UNSET	UNSET	
7036	7078	septisch	septic	UNSET	UNSET	
7037	7079	serifenlos	sans-serif	UNSET	UNSET	
7038	7080	sichelförmig	crescent-shaped	UNSET	UNSET	
7039	7081	siebenstöckig	seven-storey	UNSET	UNSET	
7040	7082	siebenstufig	seven-step	UNSET	UNSET	
7041	7083	siebenstündig	seven-hour	UNSET	UNSET	
7042	7084	simbabwisch	Zimbabwean	UNSET	UNSET	
7043	7085	sinnfrei	absurd/futile/meaningless	UNSET	UNSET	
7044	7086	solid	solid/sturdy	UNSET	UNSET	
7045	7087	spannungsfrei	stress-free (material) / voltage-free (electrical)	UNSET	UNSET	
7046	7088	spassig	fun	UNSET	UNSET	
7047	7089	spätabendlich	late-evening	UNSET	UNSET	
7048	7090	spendabel	generous	UNSET	UNSET	
7049	7092	sprachgeschichtlich	linguistic-historical	UNSET	UNSET	
7050	7093	sprachgewandt	eloquent	UNSET	UNSET	
7051	7094	spruchreif	definite/official	UNSET	UNSET	
7052	7095	staatenbildend	state-forming/colonial (insects)	UNSET	UNSET	
7053	7096	staatsgefährdend	endangering the state	UNSET	UNSET	
7054	7097	stadtbremisch	of the city of Bremen (as opposed to the Land)	UNSET	UNSET	
7055	7098	stahlblau	steel blue	UNSET	UNSET	
7056	7099	stahlhart	steel-hard	UNSET	UNSET	
7057	7100	startberechtigt	eligible to start	UNSET	UNSET	
7058	7101	statthaft	allowed	UNSET	UNSET	
7059	7102	sterisch	steric	UNSET	UNSET	
7060	7103	stichprobenhaft	by random sample	UNSET	UNSET	
7061	7104	stirnrunzelnd	frowning	UNSET	UNSET	
7062	7105	stocksteif	stiff as a board	UNSET	UNSET	
7063	7106	stoßartig	abrupt/jerky	UNSET	UNSET	
7064	7107	strafmündig	criminally liable/of age for criminal responsibility	UNSET	UNSET	
7065	7108	strahlenförmig	radial/radiating	UNSET	UNSET	
7066	7109	strandnah	close to the beach	UNSET	UNSET	
7067	7110	stressresistent	stress-resistant	UNSET	UNSET	
7068	7111	stupide	stupid/mindless	UNSET	UNSET	
7069	7112	submukös	submucous	UNSET	UNSET	
7070	7113	suchtbedingt	conditioned by addiction	UNSET	UNSET	
7071	7114	suchtpräventiv	addiction-preventive	UNSET	UNSET	
7072	7115	südenglisch	southern English	UNSET	UNSET	
7073	7116	südindisch	South Indian	UNSET	UNSET	
7074	7117	süditalienisch	South Italian	UNSET	UNSET	
7075	7118	süffisant	smug	UNSET	UNSET	
7076	7119	sumerisch	Sumerian	UNSET	UNSET	
7077	7120	supertoll	super great	UNSET	UNSET	
7078	7121	synästhetisch	synaesthetic	UNSET	UNSET	
7079	7122	synkretistisch	syncretistic	UNSET	UNSET	
7080	7123	synoptisch	synoptic/synoptical	UNSET	UNSET	
7081	7124	syntaktisch	syntactic/syntactical/syntactically	UNSET	UNSET	
7082	7125	szenetypisch	typical of the scene	UNSET	UNSET	
7083	7126	tadschikisch	Tajik	UNSET	UNSET	
7084	7127	taggleich	same-day	UNSET	UNSET	
7085	7128	taghell	as bright as day	UNSET	UNSET	
7086	7129	talentfrei	ungifted	UNSET	UNSET	
7087	7130	tasmanisch	Tasmanian	UNSET	UNSET	
7088	7131	teilnahmslos	apathetic/impassive/indifferent	UNSET	UNSET	
7089	7132	tellergroß	plate-sized	UNSET	UNSET	
7090	7133	temperaturbeständig	heat-resistant/temperature-resistant/thermoresistant	UNSET	UNSET	
7091	7134	terminal	terminal	UNSET	UNSET	
7092	7135	terrassenförmig	terraced/terrace-shaped	UNSET	UNSET	
7093	7136	theokratisch	theocratic	UNSET	UNSET	
7094	7137	therapieresistent	treatment-resistant	UNSET	UNSET	
7095	7138	todsicher	dead sure	UNSET	UNSET	
7096	7139	tolerabel	tolerable	UNSET	UNSET	
7097	7140	tollkühn	foolhardy/daring	UNSET	UNSET	
7098	7141	topfit	in top form	UNSET	UNSET	
7099	7142	töricht	foolish	UNSET	UNSET	
7100	7143	totgeboren	stillborn	UNSET	UNSET	
7101	7144	traditionalistisch	traditionalist	UNSET	UNSET	
7102	7145	trägerlos	strapless	UNSET	UNSET	
7103	7146	trainingswissenschaftlich	sports-science-related	UNSET	UNSET	
7104	7147	tränenreich	lachrymose/tearful/teary	UNSET	UNSET	
7105	7148	transitiv	transitive	UNSET	UNSET	
7106	7149	transregional	transregional	UNSET	UNSET	
7107	7150	transzendent	transcendent	UNSET	UNSET	
7108	7151	tribal	tribal	UNSET	UNSET	
7109	7152	trigonometrisch	trigonometric/trigonometrical	UNSET	UNSET	
7110	7153	trinkbar	drinkable/potable	UNSET	UNSET	
7111	7154	turkmenisch	Turkmen	UNSET	UNSET	
7112	7155	tyrannisch	tyrannical	UNSET	UNSET	
7113	7156	überreif	overripe	UNSET	UNSET	
7114	7157	überrumpelt	caught off guard	UNSET	UNSET	
7115	7158	übersättigt	saturated/glutted (market); satiated, jaded (person)	UNSET	UNSET	
7116	7159	überspannt	overwrought/high-strung/exaggerated	UNSET	UNSET	
7117	7160	überwindbar	surmountable/conquerable	UNSET	UNSET	
7118	7161	ulkig	funny/odd/peculiar	UNSET	UNSET	
7119	7162	ultranationalistisch	ultranationalist	UNSET	UNSET	
7120	7163	umgänglich	affable/affably/agreeable	UNSET	UNSET	
7121	7164	umseitig	on the reverse/next page	UNSET	UNSET	
7122	7165	umstandslos	without further ado/without fuss	UNSET	UNSET	
7123	7166	unabänderlich	unchangeable	UNSET	UNSET	
7124	7167	unanständig	indecent	UNSET	UNSET	
7125	7168	unausgegoren	half-baked	UNSET	UNSET	
7126	7169	unbeheizt	unheated	UNSET	UNSET	
7127	7170	unbeobachtet	unobserved	UNSET	UNSET	
7128	7171	unbescholten	of good character / with a clean record	UNSET	UNSET	
7129	7172	unbesiedelt	uninhabited	UNSET	UNSET	
7130	7173	unbestätigt	unconfirmed	UNSET	UNSET	
7131	7174	unbeugsam	unyielding	UNSET	UNSET	
7132	7175	unbezwingbar	invincible	UNSET	UNSET	
7133	7176	undiszipliniert	undisciplined	UNSET	UNSET	
7134	7177	undogmatisch	undogmatic	UNSET	UNSET	
7135	7178	undurchdringlich	impenetrable	UNSET	UNSET	
7136	7179	unehrlich	dishonest first	UNSET	UNSET	
7137	7180	uneindeutig	ambiguous	UNSET	UNSET	
7138	7181	uneinholbar	uncatchable/unbeatable	UNSET	UNSET	
7139	7182	unerhört	outrageous/unheard-of	UNSET	UNSET	
7140	7183	unerwidert	unrequited	UNSET	UNSET	
7141	7184	ungebührlich	unseemly/inappropriate	UNSET	UNSET	
7142	7185	ungefärbt	uncolored/undyed	UNSET	UNSET	
7143	7186	ungepolstert	unpadded	UNSET	UNSET	
7144	7187	ungerührt	unmoved/unperturbed	UNSET	UNSET	
7145	7188	ungesühnt	unpunished	UNSET	UNSET	
7146	7189	ungetauft	unbaptised	UNSET	UNSET	
7147	7190	ungezähmt	untamed	UNSET	UNSET	
7148	7191	ungezogen	ill-mannered/rude	UNSET	UNSET	
7149	7192	unhörbar	inaudible	UNSET	UNSET	
7150	7193	uninformiert	uninformed	UNSET	UNSET	
7151	7194	unkreativ	uncreative	UNSET	UNSET	
7152	7195	unlizenziert	unlicensed	UNSET	UNSET	
7153	7196	unmündig	under age / not of legal age (figuratively: not yet independent)	UNSET	UNSET	
7154	7197	unpfändbar	unattachable (legal)	UNSET	UNSET	
7155	7198	unredlich	dishonest	UNSET	UNSET	
7156	7199	unregistriert	unregistered	UNSET	UNSET	
7157	7200	unsittlich	indecent	UNSET	UNSET	
7158	7201	unstillbar	insatiable/unquenchable	UNSET	UNSET	
7159	7202	unsympathisch	disagreeable/unpleasant	A2	UNSET	
7160	7203	unsystematisch	unsystematic	UNSET	UNSET	
7161	7204	untadelig	impeccable/blameless	UNSET	UNSET	
7162	7205	unterklassig	lower-division / lower-league (sport); also lower-class	UNSET	UNSET	
7163	7206	unterlaufen	bloodshot (mit Blut unterlaufen); as a participle: circumvented	UNSET	UNSET	
7164	7207	unterproportional	disproportionately low	UNSET	UNSET	
7165	7208	unterschiedslos	indiscriminate / without distinction	UNSET	UNSET	
7166	7209	unterseeisch	submarine	UNSET	UNSET	
7167	7210	untersetzt	thickset	UNSET	UNSET	
7168	7211	untrainiert	untrained	UNSET	UNSET	
7169	7212	untrüglich	infallible	UNSET	UNSET	
7170	7213	unüberbrückbar	unbridgeable	UNSET	UNSET	
7171	7214	unumschränkt	unlimited/absolute	UNSET	UNSET	
7172	7215	unveränderlich	immutable/unalterable/unchangeable	UNSET	UNSET	
7173	7216	unverantwortbar	indefensible/unjustifiable	UNSET	UNSET	
7174	7217	unverblümt	blunt/plain-spoken	UNSET	UNSET	
7175	7218	unverfallbar	non-forfeitable	UNSET	UNSET	
7176	7219	unverhohlen	undisguised/open/overt	UNSET	UNSET	
7177	7220	unverschlossen	unlocked/open	B2	UNSET	
7178	7221	unversiegelt	unsealed	UNSET	UNSET	
