row	rank	article	word	plural	english	cefrLevel	flags
11901	11397	das	Vertragsrecht	Vertragsrechte	contract law	UNSET	
11902	11398	das	Verwenden	—	use/utilisation	UNSET	
11903	11399	der	Vierzylinder	Vierzylinder	four-cylinder engine	UNSET	
11904	8720	die	Volksschule	Volksschulen	elementary school	C1	
11905	11401	der	Volljährige	Volljährigen	adult/major	UNSET	adjectivalNoun
11906	11402	die	Vorsaison	Vorsaisons	preseason	UNSET	
11907	11403	das	Vorstellungsvermögen	Vorstellungsvermögen	imagination	UNSET	
11908	11404	der	Wächter	Wächter	guard	UNSET	
11909	11405	die	Wahlfreiheit	Wahlfreiheiten	freedom of choice	UNSET	
11910	11406	der	Wahlleiter	Wahlleiter	returning officer/election supervisor	UNSET	
11911	11407	die	Wahlurne	Wahlurnen	ballot box/voting box	UNSET	
11912	11408	der	Wall	Wälle	barrier/bulwark/earth bank	UNSET	
11913	11409	die	Wallbox	Wallboxen	wallbox/wall-mounted charging station	UNSET	
11914	11410	die	Wandlung	Wandlungen	… / transubstantiation	UNSET	
11915	11411	der	Warnstreik	Warnstreiks	token strike/warning strike	UNSET	
11916	11412	das	Wasserbad	Wasserbäder	bain-marie	UNSET	
11917	11413	die	Wassermasse	Wassermassen	water mass	UNSET	
11918	11414	die	Wasserratte	Wasserratten	water vole	UNSET	
11919	11415	der	Weichmacher	Weichmacher	plasticiser/plasticizer	UNSET	
11920	11416	das	Weihnachtskonzert	Weihnachtskonzerte	Christmas concert	UNSET	
11921	8721	die	Weltliteratur	—	world literature	C1	
11922	11418	das	Wertesystem	Wertesysteme	value system	UNSET	
11923	11419	die	Wissenschaftsministerin	Wissenschaftsministerinnen	minister of science	UNSET	
11924	11420	die	Workstation	Workstations	workstation	UNSET	
11925	11421	die	Wortwahl	—	choice of word/choice of words/word choice	UNSET	
11926	11422	der	Zeiger	Zeiger	hand/index/needle	UNSET	
11927	11423	die	Zeitzone	Zeitzonen	time zone	UNSET	
11928	11424	die	Zentralheizung	Zentralheizungen	central heating	UNSET	
11929	11425	der	Zielpunkt	Zielpunkte	target point	UNSET	
11930	11426	die	Zivilbevölkerung	Zivilbevölkerungen	civilian population	UNSET	
11931	11427	die	Zuhilfenahme	—	aid	UNSET	
11932	11428	die	Zukunftsaussicht	Zukunftsaussichten	future outlook	UNSET	
11933	11429	der	Zukunftsplan	Zukunftspläne	future plan	UNSET	
11934	11430	der	Zuruf	Zurufe	shout/call	UNSET	
11935	11431	die	Zwangspause	Zwangspausen	forced break	UNSET	
11936	11432	das	Zweibettzimmer	Zweibettzimmer	twin room	UNSET	
11937	11433	die	Zweisamkeit	Zweisamkeiten	togetherness	UNSET	
11938	11434	die	Abfüllung	Abfüllungen	filling/bottling	UNSET	
11939	11435	das	Abseits	Abseits	offside	UNSET	
11940	11436	die	Absolvierung	Absolvierungen	completion	UNSET	
11941	11437	die	Äbtissin	Äbtissinnen	abbess	UNSET	
11942	11438	die	Abtretung	Abtretungen	assignment	UNSET	
11943	11439	die	Acne	Acnen	acne	UNSET	
11944	11440	die	Adaption	Adaptionen	adaptation	UNSET	
11945	11441	der	Adelige	Adeligen	noble/aristocrat	UNSET	adjectivalNoun
11946	4588	die	Akrobatik	—	acrobatic skill/acrobatics	C1	
11947	11443	das	Akronym	Akronyme	acronym	UNSET	
11948	11444	das	Ammoniak	—	ammonia	UNSET	
11949	11445	der	Andersdenkende	Andersdenkenden	dissenter/dissident	UNSET	adjectivalNoun
11950	11446	der	Anlagenbauer	Anlagenbauer	plant manufacturer	UNSET	
11951	11447	das	Ansinnen	Ansinnen	request	UNSET	
11952	11448	der	Anteilseigner	Anteilseigner	shareholder	UNSET	
11953	11449	die	Anthropologie	Anthropologien	anthropology	UNSET	
11954	11450	die	Anwaltskosten	Anwaltskosten	attorney's fee/lawyer's fees/solicitor's fee	UNSET	
