row	rank	word	english	cefrLevel	source	flags
1401	1415	dekorativ	decorative/ornamental	UNSET	UNSET	
1402	1416	fragwürdig	questionable	C1	UNSET	
1403	1417	geordnet	orderly/in order/tidy	UNSET	UNSET	
1404	1418	greifbar	tangible/palpable/within reach	C1	UNSET	
1405	1419	märkisch	of the Mark (Brandenburg)	UNSET	UNSET	
1406	1420	mecklenburgisch	Mecklenburgian	UNSET	UNSET	
1407	1421	rechnerisch	arithmetical/in numerical terms/on paper	UNSET	UNSET	
1408	1422	sauer	sour/acidic/angry (annoyed)	A2	UNSET	
1409	1424	additiv	additive/cumulative	UNSET	UNSET	
1410	1425	auffallend	conspicuous/conspicuously/flamboyant	UNSET	UNSET	
1411	1426	erprobt	tried and tested/proven	UNSET	UNSET	
1412	1427	geometrisch	geometric	C1	UNSET	
1413	1428	gesamtgesellschaftlich	societal/society-wide	UNSET	UNSET	
1414	1429	gesellschaftspolitisch	socio-political	UNSET	UNSET	
1415	1430	ideologisch	ideologic/ideological	UNSET	UNSET	
1416	1431	kollegial	collegial	UNSET	UNSET	
1417	1432	kunstvoll	elaborate/ornate	UNSET	UNSET	
1418	1433	mitreißend	exciting/rousing/thrilling	UNSET	UNSET	
1419	1434	neurologisch	neurological	C1	UNSET	
1420	1435	rational	rational	UNSET	UNSET	
1421	1436	revolutionär	revolutionary	B2	UNSET	
1422	1437	schottisch	Scottish	UNSET	UNSET	
1423	1438	sensationell	sensational	B2	UNSET	
1424	1439	urkundlich	documented/recorded in documents (urkundlich erwähnt)	UNSET	UNSET	
1425	1440	alphabetisch	alphabetical	UNSET	UNSET	
1426	1441	ausgelassen	boisterous/ebullient/exuberant	UNSET	UNSET	
1427	1442	benutzerfreundlich	user-friendly	UNSET	UNSET	
1428	1443	einvernehmlich	consensual	C1	UNSET	
1429	1444	fahrend	travelling/moving	UNSET	UNSET	
1430	1445	indigen	indigenous/native	UNSET	UNSET	
1431	1446	langwierig	lengthy/prolonged	B2	UNSET	
1432	1447	mitteldeutsch	Central German/Middle German	UNSET	UNSET	
1433	1448	naturgemäß	naturally/by its very nature (also: in accordance with nature)	UNSET	UNSET	
1434	1449	neuronal	neural/neuronal	UNSET	UNSET	
1435	1450	planmäßig	according to plan/according to schedule/as planned	C1	UNSET	
1436	1451	portugiesisch	Portuguese	UNSET	UNSET	
1437	1452	rückgängig	(etw.) rückgängig machen = to cancel / undo / reverse	UNSET	UNSET	
1438	1453	saftig	juicy/succulent (fig. hefty)	UNSET	UNSET	
1439	1454	senkrecht	perpendicular/vertical	B1	UNSET	
1440	1455	unerheblich	negligible/insignificant; (law) immaterial	UNSET	UNSET	
1441	1456	ungeklärt	unresolved/untreated	UNSET	UNSET	
1442	1457	zerstört	destroyed	UNSET	UNSET	
1443	1458	akzeptabel	acceptable	UNSET	UNSET	
1444	1459	begehbar	walk-in (wardrobe); accessible on foot	UNSET	UNSET	
1445	1460	fündig	fündig werden = to strike lucky / find what one is looking for	UNSET	UNSET	
1446	1461	gastronomisch	gastronomic	UNSET	UNSET	
1447	1462	gehalten	restrained/subdued (of tone/colour); gehalten sein zu = obliged to	C1	UNSET	
1448	1463	getrocknet	dried	UNSET	UNSET	
1449	1464	hochrangig	high-level/high-ranking	UNSET	UNSET	
1450	1466	nachteilig	disadvantageous	UNSET	UNSET	
1451	1467	nachwachsend	growing again/regrowing/renewable	C1	UNSET	
1452	1468	nachweisbar	detectable/traceable/verifiable	C1	UNSET	
1453	1469	raffiniert	clever/cunning/ingenious	UNSET	UNSET	
1454	1470	schier	sheer	UNSET	UNSET	
1455	1471	schwerpunktmäßig	concentrating on certain main points/predominantly	UNSET	UNSET	
1456	1472	sozialistisch	socialist	B2	UNSET	
1457	1473	sozialpolitisch	social-policy (related), concerning social policy	UNSET	UNSET	
1458	1474	umständlich	awkward/laborious/complicated (of a person: fussy)	C1	UNSET	
1459	1475	unfassbar	incomprehensible/inconceivable/incredible	UNSET	UNSET	
1460	1476	wünschenswert	desirable	B2	UNSET	
1461	1477	äußerlich	external/outward/superficial	B1	UNSET	
1462	1478	befreundet	friends (with), on friendly terms	A2	UNSET	
1463	1479	beidseitig	on both sides/double-sided; (fig.) mutual	UNSET	UNSET	
1464	1480	besorgt	anxious/apprehensive/worried	A2	UNSET	
1465	1481	fix	fast/fixed/quick	UNSET	UNSET	
1466	1482	gemein	mean/nasty; (dated/tech.) common	B2	UNSET	
1467	1483	katastrophal	disastrous	UNSET	UNSET	
1468	1484	messbar	measurable	UNSET	UNSET	
1469	1485	riskant	risky	B2	UNSET	
1470	1486	überdacht	roofed	C1	UNSET	
1471	1487	unauffällig	inconspicuous	C1	UNSET	
1472	1488	ungestört	undisturbed	UNSET	UNSET	
