row	rank	article	word	plural	english	cefrLevel	flags
11201	10695	der	Hauptmann	Hauptleute	captain	UNSET	
11202	8705	der	Hauptmieter	Hauptmieter	main tenant	C1	
11203	10697	die	Hauptstadtregion	Hauptstadtregionen	capital region	UNSET	
11204	4580	die	Herdplatte	Herdplatten	hotplate/hob ring	C1	
11205	10700	der	Humus	—	humus/leaf mould	UNSET	
11206	10701	der	Hybridantrieb	Hybridantriebe	hybrid drive/hybrid propulsion/mixed propulsion scheme	UNSET	
11207	10702	die	Immunologie	—	immunology	UNSET	
11208	10703	die	Implementation	Implementationen	implementation	UNSET	
11209	10704	der	Inder	Inder	Indian	UNSET	
11210	10705	der	Insolvenzantrag	Insolvenzanträge	insolvency application	UNSET	
11211	10706	der	Instrumentalist	Instrumentalisten	instrumentalist	UNSET	
11212	10707	der	Interessenkonflikt	Interessenkonflikte	conflict of interest	UNSET	
11213	10708	der	Interpret	Interpreten	performer/performing artist (interpreter of a work)	UNSET	
11214	10709	die	Invasion	Invasionen	invasion	UNSET	
11215	10710	der	Irre	Irren	madman/crazy person	UNSET	adjectivalNoun
11216	10711	der	Jeck	Jecken	carnival reveller (Rhineland)	UNSET	
11217	10712	die	Kaiserzeit	Kaiserzeiten	imperial era	UNSET	
11218	10713	der	Kampfgeist	—	fighting spirit	UNSET	
11219	10714	die	Kategorisierung	Kategorisierungen	categorisation	UNSET	
11220	10715	das	Kegeln	—	ninepins/bowling	UNSET	
11221	10716	das	Kelten	Kelten	Celts	UNSET	
11222	10717	die	Kerbe	Kerben	notch	UNSET	
11223	3166	der	Killer	Killer	killer/hitman	B1	
11224	10719	die	Kindergartengruppe	Kindergartengruppen	kindergarten group	UNSET	
11225	10720	die	Kinderlähmung	Kinderlähmungen	infantile paralysis/polio/poliomyelitis	UNSET	
11226	10721	die	Kirchengeschichte	—	church history	UNSET	
11227	8706	der	Kitt	Kitte	putty	C1	
11228	10723	die	Klausurtagung	Klausurtagungen	closed-door meeting/retreat	UNSET	
11229	10724	das	Klebeband	Klebebänder	tape	UNSET	
11230	10725	die	Klimaerwärmung	Klimaerwärmungen	climate warming/global warming	UNSET	
11231	10726	das	Klimaschutzgesetz	Klimaschutzgesetze	climate protection act	UNSET	
11232	10727	die	Klimatechnik	Klimatechniken	air conditioning technology	UNSET	
11233	10728	das	Kochfeld	Kochfelder	hob	UNSET	
