row	rank	word	irregular	prateritum	perfekt	withSein	english	cefrLevel	source
1	1	sein	True	war	gewesen	True	be	A1	UNSET
2	2	werden	True	wurde	geworden	True	become/get	A1	UNSET
3	3	haben	True	hatte	gehabt	False	have	A1	UNSET
4	4	können	True	konnte	gekonnt	False	can/be able to	A1	UNSET
5	5	sollen	True	sollte	gesollt	False	should/shall	A1	UNSET
6	6	geben	True	gab	gegeben	False	give	A1	UNSET
7	7	müssen	True	musste	gemusst	False	must/have to	A1	UNSET
8	8	finden	True	fand	gefunden	False	find	A1	UNSET
9	9	machen	False	UNSET	UNSET	UNSET	make/do	A1	UNSET
10	10	kommen	True	kam	gekommen	True	come	A1	UNSET
11	11	stehen	True	stand	gestanden	False	stand	A1	UNSET
12	12	lassen	True	ließ	gelassen	False	let/leave	A2	UNSET
13	13	gehen	True	ging	gegangen	True	go/walk	A1	UNSET
14	14	wollen	True	wollte	gewollt	False	want	A1	UNSET
15	15	bieten	True	bot	geboten	False	offer	A2	UNSET
16	16	liegen	True	lag	gelegen	False	lie/be located	A1	UNSET
17	17	erhalten	True	erhielt	erhalten	False	receive/get	A2	UNSET
18	18	zeigen	False	UNSET	UNSET	UNSET	show	A1	UNSET
19	19	sehen	True	sah	gesehen	False	see	A1	UNSET
20	20	stellen	False	UNSET	UNSET	UNSET	put/place	A1	UNSET
21	21	nutzen	False	UNSET	UNSET	UNSET	use	A2	UNSET
22	22	gelten	True	galt	gegolten	False	apply/be valid	A2	UNSET
23	23	führen	False	UNSET	UNSET	UNSET	lead	A1	UNSET
24	24	sagen	False	UNSET	UNSET	UNSET	say/tell	A1	UNSET
25	25	dürfen	True	durfte	gedurft	False	may/be allowed to	A1	UNSET
26	26	bleiben	True	blieb	geblieben	True	stay/remain	A1	UNSET
27	27	unterstützen	False	UNSET	UNSET	UNSET	support	B1	UNSET
28	28	nehmen	True	nahm	genommen	False	take	A1	UNSET
29	29	bringen	True	brachte	gebracht	False	bring/take	A1	UNSET
30	30	anbieten	True	bot an	angeboten	False	offer	A1	UNSET
31	31	bestehen	True	bestand	bestanden	False	pass (an exam)/consist of/exist	A2	UNSET
32	32	arbeiten	False	UNSET	UNSET	UNSET	work	A1	UNSET
33	33	entwickeln	False	UNSET	UNSET	UNSET	develop	A2	UNSET
34	34	bekommen	True	bekam	bekommen	False	get/receive	A1	UNSET
35	35	halten	True	hielt	gehalten	False	hold/keep/stop	A1	UNSET
36	36	wissen	True	wusste	gewusst	False	know	A1	UNSET
37	37	erreichen	False	UNSET	UNSET	UNSET	reach/achieve	A2	UNSET
38	38	stattfinden	True	fand statt	stattgefunden	False	take place	A1	UNSET
39	39	helfen	True	half	geholfen	False	help	A1	UNSET
40	40	setzen	False	UNSET	UNSET	UNSET	put/place/set	A2	UNSET
41	41	suchen	False	UNSET	UNSET	UNSET	search/look for	A1	UNSET
42	42	verwenden	False	UNSET	UNSET	UNSET	use	A1	UNSET
43	43	hören	False	UNSET	UNSET	UNSET	hear/listen	A1	UNSET
44	44	spielen	False	UNSET	UNSET	UNSET	play	A1	UNSET
45	45	entstehen	True	entstand	entstanden	True	arise/develop	B1	UNSET
46	46	beginnen	True	begann	begonnen	False	begin/start	A1	UNSET
47	47	lernen	False	UNSET	UNSET	UNSET	learn/study	A1	UNSET
48	48	brauchen	False	UNSET	UNSET	UNSET	need	A1	UNSET
49	49	ermöglichen	False	UNSET	UNSET	UNSET	enable/make possible	B2	UNSET
50	50	sorgen	False	UNSET	UNSET	UNSET	ensure/worry/care	A2	UNSET
51	51	informieren	False	UNSET	UNSET	UNSET	inform/let know	A2	UNSET
52	52	befinden	True	befand	befunden	False	sich befinden — be located/be situated	B1	UNSET
53	53	fördern	False	UNSET	UNSET	UNSET	promote/support	B1	UNSET
54	54	einsetzen	False	UNSET	UNSET	UNSET	use/deploy	B1	UNSET
55	55	treffen	True	traf	getroffen	False	meet/hit	A1	UNSET
56	56	erklären	False	UNSET	UNSET	UNSET	explain	A1	UNSET
57	57	schaffen	False	schaffte	geschafft	False	create (irregular: schuf/geschaffen)/manage (regular: schaffte/geschafft)	A1	UNSET
58	58	entscheiden	True	entschied	entschieden	False	decide/rule	A2	UNSET
59	59	vorstellen	False	UNSET	UNSET	UNSET	introduce/imagine	A1	UNSET
60	60	durchführen	False	UNSET	UNSET	UNSET	carry out/conduct	B2	UNSET
61	61	leben	False	UNSET	UNSET	UNSET	live	A1	UNSET
62	62	sprechen	True	sprach	gesprochen	False	speak/talk	A1	UNSET
63	63	übernehmen	True	übernahm	übernommen	False	take over/assume	B1	UNSET
64	64	kennen	True	kannte	gekannt	False	know	A1	UNSET
65	65	handeln	False	UNSET	UNSET	UNSET	act/trade	B1	UNSET
66	66	heißen	True	hieß	geheißen	False	be called/mean	A1	UNSET
67	67	darstellen	False	UNSET	UNSET	UNSET	represent	B1	UNSET
68	68	gehören	False	UNSET	UNSET	UNSET	belong	A1	UNSET
69	69	benötigen	False	UNSET	UNSET	UNSET	need/require	B1	UNSET
70	70	tragen	True	trug	getragen	False	carry/wear	A1	UNSET
71	71	gestalten	False	UNSET	UNSET	UNSET	design/shape	A2	UNSET
72	72	erfahren	True	erfuhr	erfahren	False	experience/find out/learn	A2	UNSET
73	73	gewinnen	True	gewann	gewonnen	False	win/gain	A1	UNSET
74	74	verbinden	True	verband	verbunden	False	connect/combine	A1	UNSET
75	75	bedeuten	False	UNSET	UNSET	UNSET	mean	A1	UNSET
76	76	starten	False	UNSET	UNSET	True	start	A2	UNSET
77	77	enthalten	True	enthielt	enthalten	False	contain	B1	UNSET
78	78	präsentieren	False	UNSET	UNSET	UNSET	present	A1	UNSET
79	79	wählen	False	UNSET	UNSET	UNSET	choose/vote/elect	A1	UNSET
80	80	bilden	False	UNSET	UNSET	UNSET	form/constitute/educate	A1	UNSET
81	81	folgen	False	UNSET	UNSET	True	follow	A2	UNSET
82	82	erleben	False	UNSET	UNSET	UNSET	experience	A2	UNSET
83	83	erwarten	False	UNSET	UNSET	UNSET	expect	A2	UNSET
84	84	fahren	True	fuhr	gefahren	True	drive/go/ride	A1	UNSET
85	85	zählen	False	UNSET	UNSET	UNSET	count/rank	B1	UNSET
86	86	laufen	True	lief	gelaufen	True	run/walk	A1	UNSET
87	87	ziehen	True	zog	gezogen	False	pull/move	A1	UNSET
88	88	dienen	False	UNSET	UNSET	UNSET	serve	B1	UNSET
89	89	verstehen	True	verstand	verstanden	False	understand	A1	UNSET
90	90	legen	False	UNSET	UNSET	UNSET	put/lay	A1	UNSET
91	91	erkennen	True	erkannte	erkannt	False	recognise	B1	UNSET
92	92	gelingen	True	gelang	gelungen	True	succeed/work	B1	UNSET
93	93	schreiben	True	schrieb	geschrieben	False	write	A1	UNSET
94	94	einladen	True	lud ein	eingeladen	False	invite	A1	UNSET
95	95	nennen	True	nannte	genannt	False	call/name	A1	UNSET
96	96	verfügen	False	UNSET	UNSET	UNSET	verfügen über — have at one's disposal; (formal) decree, order	B2	UNSET
97	97	empfehlen	True	empfahl	empfohlen	False	recommend	A1	UNSET
98	98	verbessern	False	UNSET	UNSET	UNSET	improve/correct	A2	UNSET
99	99	planen	False	UNSET	UNSET	UNSET	plan	A1	UNSET
100	100	aufnehmen	True	nahm auf	aufgenommen	False	record/accept/absorb	A2	UNSET
101	101	besuchen	False	UNSET	UNSET	UNSET	attend/visit	A1	UNSET
102	102	kaufen	False	UNSET	UNSET	UNSET	buy	A1	UNSET
103	103	umsetzen	False	UNSET	UNSET	UNSET	implement	B2	UNSET
104	104	versuchen	False	UNSET	UNSET	UNSET	try	A1	UNSET
105	105	erscheinen	True	erschien	erschienen	True	appear/be published/come out	B2	UNSET
