row	rank	article	word	plural	english	cefrLevel	flags
24501	4290	das	Pulsieren	—	pulsing/vibrancy	B2	
24502	4291	die	Melange	Melangen	put the Viennese-coffee sense first	B2	
24503	4293	die	Denkpause	Denkpausen	pause for thought	B2	
24504	4294	die	Fußstapfe	Fußstapfen	footstep/footprint	B2	
24505	4295	die	Zwischenüberschrift	Zwischenüberschriften	subheading	B2	
24506	4296	die	Lesedauer	—	reading time	B2	
24507	4297	der	Neukunde	Neukunden	new customer	B2	
24508	4298	die	Neukundin	Neukundinnen	new customer (female)	B2	
24509	4299	der	Videokanal	Videokanäle	video channel	B2	
24510	4300	die	Miniaturansicht	Miniaturansichten	thumbnail view	B2	
24511	4301	der	Berufseinstieg	Berufseinstiege	career entry/start of career	B2	
24512	4302	die	Eigeninitiative	Eigeninitiativen	personal initiative	B2	
24513	4303	die	Teamarbeit	Teamarbeiten	teamwork	B2	
24514	4304	das	Erachten	—	opinion/judgement (as in meines Erachtens)	B2	
24515	4306	das	Achterbahnfahren	—	riding roller coasters	B2	
24516	4307	das	Freiklettern	—	free climbing	B2	
24517	4308	das	Tiefseetauchen	—	deep-sea diving	B2	
24518	4309	das	Eisbaden	—	ice bathing	B2	
24519	4310	das	Fallschirmspringen	—	skydiving/parachuting	B2	
24520	4311	die	Selbstoptimierung	Selbstoptimierungen	self-optimisation	B2	
24521	4312	das	Essverhalten	—	eating behaviour	B2	
24522	4313	der	Ausdauersport	—	endurance sport	B2	
24523	4314	der	Nobelpreis	Nobelpreise	Nobel Prize	B2	
24524	4315	der	Frühaufsteher	Frühaufsteher	early riser	B2	
24525	4317	die	Frühaufsteherin	Frühaufsteherinnen	early riser (female)	B2	
24526	4318	der	Langschläfer	Langschläfer	late sleeper	B2	
24527	4319	die	Langschläferin	Langschläferinnen	late sleeper (female)	B2	
24528	4321	der	Normaltyp	Normaltypen	normal type/average chronotype	B2	
24529	4323	das	Flugpersonal	—	flight crew	B2	
24530	4324	der	Tagesrhythmus	Tagesrhythmen	daily rhythm	B2	
24531	4325	das	Aufputschmittel	Aufputschmittel	stimulant	B2	
24532	4326	der	Studienabbrecher	Studienabbrecher	university dropout	B2	
24533	4327	die	Studienabbrecherin	Studienabbrecherinnen	university dropout (female)	B2	
24534	4328	der	Krempel	—	junk/clutter	B2	
24535	4329	der	Krimskrams	—	odds and ends/bits and bobs	B2	
24536	4330	das	Aussortieren	—	sorting out/culling	B2	
24537	4331	das	Weggeben	—	giving away	B2	
24538	4332	die	Entrümpelung	Entrümpelungen	decluttering/clearing out	B2	
24539	1528	die	Klamotten	Klamotten	clothes	A1	
24540	4334	das	Schwesterherz	Schwesterherzen	dear sister/sis	B2	
24541	4335	der	Leihopa	Leihopas	volunteer/borrowed grandpa	B2	
24542	4336	die	Kleinfamilie	Kleinfamilien	nuclear family	B2	
24543	4337	die	Vereinsamung	Vereinsamungen	social isolation/loneliness	B2	
24544	4338	die	Selbstinszenierung	Selbstinszenierungen	self-staging/self-presentation	B2	
24545	4339	die	Busanbindung	Busanbindungen	bus connection/access by bus	B2	
24546	3269	das	Ranking	Rankings	ranking	B1	
24547	3270	das	Camping	—	camping	B1	
24548	3274	der	Handlungsort	Handlungsorte	setting	B1	
24549	3275	der	Influencer	Influencer	influencer	B1	
24550	3276	der	Müllbeutel	Müllbeutel	rubbish bag	B1	
24551	3278	die	Trinkflasche	Trinkflaschen	drinking bottle	B1	
24552	3279	die	Einkaufsmöglichkeit	Einkaufsmöglichkeiten	place to shop/shopping facility	B1	
24553	3280	das	Dinner	Dinners	dinner (formal evening meal)	B1	
24554	3282	der	Einzeltisch	Einzeltische	single table/table for one	B1	
24555	3283	das	Zaziki	Zazikis	tzatziki (yoghurt-cucumber dip)	B1	
24556	3284	das	Beziehungsmodell	Beziehungsmodelle	relationship model	B1	
24557	3285	die	Schulden	Schulden	debts	B1	
24558	3286	der	Plastikverbrauch	—	plastic consumption	B1	
24559	3287	der	Wocheneinkauf	Wocheneinkäufe	weekly shopping	B1	
24560	3288	die	Alternative	Alternativen	alternative	B1	
24561	3289	der	Paketzusteller	Paketzusteller	parcel delivery driver	B1	
24562	3290	die	Paketzustellerin	Paketzustellerinnen	parcel delivery person (female)	B1	
24563	3291	der	Fahrradkurier	Fahrradkuriere	bicycle courier	B1	
24564	3295	die	Fahrradkurierin	Fahrradkurierinnen	bicycle courier (female)	B1	
24565	3296	das	Paketzentrum	Paketzentren	parcel distribution centre	B1	
24566	3298	das	Vinyl	—	vinyl (records)	B1	
24567	3300	die	LP	LPs	LP/long-playing record	B1	
24568	3303	die	Langspielplatte	Langspielplatten	long-playing record	B1	
24569	3304	der	DJ	DJs	DJ/disc jockey	B1	
24570	3305	der	Nichtakademiker	Nichtakademiker	person without a university degree	B1	
24571	3306	die	Nichtakademikerin	Nichtakademikerinnen	woman without a university degree	B1	
24572	3307	der	Studienbeginn	—	start of studies	B1	
24573	3308	die	Schulzeit	Schulzeiten	school years/time at school	A2	
24574	3309	das	Arbeiterkind	Arbeiterkinder	working-class child	B1	
24575	3310	die	Realschule	Realschulen	secondary school (German Realschule)	A2	
24576	3312	der	Schultyp	Schultypen	type of school	A2	
