row	rank	word	english	cefrLevel	source	flags
2801	2822	wettbewerbsrechtlich	competition law	UNSET	UNSET	
2802	2823	wohltätig	charitable	C1	UNSET	
2803	2824	wohlwollend	benevolent/favourable	B2	UNSET	
2804	2825	zeichnerisch	graphic/relating to drawing	UNSET	UNSET	
2805	2826	zweidimensional	two-dimensional	UNSET	UNSET	
2806	2827	zwischenstaatlich	intergovernmental	UNSET	UNSET	
2807	2828	zynisch	cynical	C1	UNSET	
2808	2829	akkurat	accurate/precise	UNSET	UNSET	
2809	2830	alkoholisiert	intoxicated / under the influence of alcohol	UNSET	UNSET	
2810	2831	alliiert	allied	UNSET	UNSET	
2811	2832	anziehend	attractive/rising	UNSET	UNSET	
2812	2833	beengt	cramped/confined	UNSET	UNSET	
2813	2834	bildungsfern	with little formal education	UNSET	UNSET	
2814	2835	blöde	stupid/silly	UNSET	UNSET	
2815	2836	byzantinisch	Byzantine/fawning/servile	UNSET	UNSET	
2816	2837	derb	coarse/ribald/rough	UNSET	UNSET	
2817	2838	detailgetreu	faithful in every detail / true to detail	UNSET	UNSET	
2818	2839	dezidiert	decided/determined/firm	UNSET	UNSET	
2819	2840	dreieckig	triangular	UNSET	UNSET	
2820	2841	dunkelbraun	dark brown	UNSET	UNSET	
2821	2842	eigentümlich	peculiar/characteristic	UNSET	UNSET	
2822	2843	emeritiert	emeritus	UNSET	UNSET	
2823	2844	ernüchternd	sobering	UNSET	UNSET	
2824	2845	ertragreich	productive	UNSET	UNSET	
2825	2846	existentiell	existential	UNSET	UNSET	
2826	2847	flink	nimble	UNSET	UNSET	
2827	2848	fromm	pious/devout (of animals: docile)	UNSET	UNSET	
2828	2849	gesamtdeutsch	all-German/pan-German	UNSET	UNSET	
2829	2850	geschlechtergerecht	gender-equitable	UNSET	UNSET	
2830	2851	glamourös	glamorous	UNSET	UNSET	
2831	2852	grotesk	grotesque/preposterous	UNSET	UNSET	
2832	2853	gütlich	amicable/conciliatory	UNSET	UNSET	
2833	2854	handgemacht	handcrafted/handmade	UNSET	UNSET	
2834	2855	herrschaftlich	stately/grand	UNSET	UNSET	
2835	2856	hochinteressant	highly interesting	UNSET	UNSET	
2836	2857	intensivmedizinisch	intensive care	UNSET	UNSET	
2837	2858	irrational	irrational	UNSET	UNSET	
2838	2859	kantig	angular/edgy	UNSET	UNSET	
2839	2860	kinderlos	childless	UNSET	UNSET	
2840	2861	klappbar	foldable	UNSET	UNSET	
2841	2862	klebrig	sticky	UNSET	UNSET	
2842	2863	knallhart	tough	UNSET	UNSET	
2843	2864	knorrig	gnarled	UNSET	UNSET	
2844	2865	konsekutiv	consecutive	UNSET	UNSET	
2845	2866	korrupt	corrupt	UNSET	UNSET	
2846	2867	kunterbunt	motley	UNSET	UNSET	
2847	2868	maschinenlesbar	machine-readable	UNSET	UNSET	
2848	2869	mehrmonatig	lasting several months	UNSET	UNSET	
2849	2870	menschenverachtend	inhuman/misanthropic	UNSET	UNSET	
2850	2871	milliardenschwer	billion-euro/multi-billion	UNSET	UNSET	
2851	2872	muttersprachlich	native language	UNSET	UNSET	
2852	2873	orangefarben	orange-coloured	UNSET	UNSET	
2853	2874	publizistisch	journalistic/media	UNSET	UNSET	
2854	2875	reell	real/honest	UNSET	UNSET	
2855	2876	risikoreich	risky / high-risk	UNSET	UNSET	
2856	2877	rosig	rosy	B2	UNSET	
2857	2878	sagenumwoben	legendary/myth-enshrouded	UNSET	UNSET	
2858	2879	schnelllebig	fast-paced	UNSET	UNSET	
2859	2880	schonungslos	blunt/merciless/savage	UNSET	UNSET	
2860	2881	sibirisch	Siberian	UNSET	UNSET	
2861	2882	slowakisch	Slovak	UNSET	UNSET	
2862	2883	spätgotisch	late Gothic	UNSET	UNSET	
2863	2884	sportwissenschaftlich	sport-scientific	UNSET	UNSET	
2864	2885	standesamtlich	civil (registry-office), e.g. standesamtliche Trauung = civil wedding	UNSET	UNSET	
2865	2886	stillschweigend	implicit/implied/tacit	UNSET	UNSET	
2866	2887	transdisziplinär	transdisciplinary	UNSET	UNSET	
2867	2888	unausweichlich	inevitable/unavoidable	C1	UNSET	
2868	2889	unbebaut	undeveloped/unbuilt	UNSET	UNSET	
2869	2890	unerreichbar	unreachable / unattainable / (phone) not contactable	C1	UNSET	
2870	2891	unfähig	incapable/incompetent/unable	UNSET	UNSET	
2871	2892	unfreundlich	unfriendly/unkind	UNSET	UNSET	
2872	2893	unternehmenseigen	company-owned	UNSET	UNSET	
2873	2894	unüberwindbar	insurmountable / insuperable	UNSET	UNSET	
2874	2895	verärgert	annoyed / cross / angry	UNSET	UNSET	
2875	2896	verwunderlich	surprising	B2	UNSET	
2876	2897	vierstündig	four-hour	UNSET	UNSET	
2877	2898	wahrheitsgemäß	accurate/truthful	UNSET	UNSET	
2878	2899	windig	windy	A1	UNSET	
2879	2900	wohnlich	comfortable/cosy	UNSET	UNSET	
2880	2901	wundersam	wondrous	UNSET	UNSET	
2881	2902	zerstörerisch	destructive/devastating	UNSET	UNSET	
2882	2903	abgebrochen	broken off/aborted	C1	UNSET	
2883	2904	abgelehnt	declined/rejected	B1	UNSET	
2884	2905	abschließbar	lockable	UNSET	UNSET	
2885	2906	achtlos	careless	UNSET	UNSET	
2886	2907	allgemeinverständlich	generally understandable	UNSET	UNSET	
2887	2908	allumfassend	all-embracing	C1	UNSET	
2888	2909	ansprechbar	approachable / responsive / (medical) responsive, conscious	UNSET	UNSET	
2889	2910	antibakteriell	antibacterial	UNSET	UNSET	
2890	2911	arbeitsmedizinisch	occupational-medicine	UNSET	UNSET	
2891	2912	aufsuchend	outreach/visiting	UNSET	UNSET	
2892	2913	außenpolitisch	foreign-policy (attr.) / in terms of foreign policy	UNSET	UNSET	
2893	2914	berufen	appointed (to a post); (rare) competent, authoritative	UNSET	UNSET	
2894	2915	demenzkrank	suffering from dementia	UNSET	UNSET	
2895	2916	designiert	designated	UNSET	UNSET	
2896	2917	eigenartig	strange / odd / peculiar	UNSET	UNSET	
2897	2918	einstellig	single-digit	UNSET	UNSET	
2898	2919	eintönig	monotonous	UNSET	UNSET	
2899	2920	eklatant	blatant/flagrant/glaring	UNSET	UNSET	
2900	2921	elektrotechnisch	electrotechnical	UNSET	UNSET	
2901	2922	entgegenkommend	accommodating/friendly	UNSET	UNSET	
2902	2923	faschistisch	fascist	UNSET	UNSET	
2903	2924	fordernd	demanding / challenging	UNSET	UNSET	
2904	2925	forensisch	forensic	UNSET	UNSET	
2905	2926	fünfstellig	five-digit	UNSET	UNSET	
2906	2927	gefiedert	feathered; (botany) pinnate	UNSET	UNSET	
2907	2928	geflügelt	winged (also geflügeltes Wort = well-known saying)	UNSET	UNSET	
2908	2929	gefühlvoll	sensitive / soulful / with feeling	UNSET	UNSET	
2909	2930	genussvoll	with relish / pleasurable / savouring	UNSET	UNSET	
2910	2931	geparkt	parked	B1	UNSET	
2911	2932	geschieden	divorced	A2	UNSET	
