row	rank	article	word	plural	english	cefrLevel	flags
14001	13506	der	Hindernislauf	Hindernisläufe	steeplechase	UNSET	
14002	13507	die	Hinterachse	Hinterachsen	rear axle	UNSET	
14003	13508	das	Hinterrad	Hinterräder	rear wheel	UNSET	
14004	13509	die	Hirnregion	Hirnregionen	brain region	UNSET	
14005	13510	die	Hochschullehrerin	Hochschullehrerinnen	university lecturer/professor (female)	UNSET	
14006	13511	der	Hoffnungsträger	Hoffnungsträger	beacon of hope	UNSET	
14007	13512	die	Holzkirche	Holzkirchen	timber church	UNSET	
14008	8775	der	Honorarprofessor	Honorarprofessoren	honorary professor	C1	
14009	13514	die	Horizontale	Horizontale	horizontal line/plane	UNSET	
14010	13515	der	Hormonhaushalt	Hormonhaushalte	hormone balance	UNSET	
14011	13516	die	Hormontherapie	Hormontherapien	hormone therapy	UNSET	
14012	13517	der	Hörverlust	Hörverluste	hearing loss	UNSET	
14013	13518	die	Hufe	Hufen	oxgang	UNSET	
14014	13519	die	Hyäne	Hyänen	hyaena/hyena	UNSET	
14015	13520	die	Hygienevorschrift	Hygienevorschriften	hygiene regulation	UNSET	
14016	13521	die	Immunisierung	Immunisierungen	immunisation	UNSET	
14017	13522	der	Impressionismus	—	impressionism	UNSET	
14018	13523	die	Infektionsgefahr	Infektionsgefahren	risk of infection	UNSET	
14019	13524	die	Infrastrukturmaßnahme	Infrastrukturmaßnahmen	infrastructure measure/project	UNSET	
14020	13525	die	Inhalation	Inhalationen	inhalation	UNSET	
14021	13526	das	Insektizid	Insektizide	insecticide	UNSET	
14022	13527	die	Instruktion	Instruktionen	instruction	UNSET	
14023	13528	der	Internetkonzern	Internetkonzerne	internet company/tech group	UNSET	
14024	13529	die	Inzidenz	Inzidenzen	incidence	UNSET	
14025	13530	der	Isländer	Isländer	Icelander/Icelandic horse	UNSET	
14026	13531	die	Jahresfrist	Jahresfristen	period of one year	UNSET	
14027	13532	der	Jahrgangsbeste	Jahrgangsbesten	top of the class/valedictorian	UNSET	adjectivalNoun
14028	13533	die	Jahrhundertwende	Jahrhundertwenden	turn of the century	UNSET	
14029	13534	der	Jobsuchende	Jobsuchenden	job seeker	UNSET	adjectivalNoun
14030	13535	das	Kaff	Kaffs	dump/hicksville	UNSET	
14031	13536	die	Kakaobohne	Kakaobohnen	cocoa bean	UNSET	
14032	4612	der	Kaktus	Kakteen	cactus	C1	
14033	7613	die	Kampfkunst	Kampfkünste	martial art	B2	
14034	7615	der	Kampfsport	—	martial arts/combat sport	B2	
14035	13540	die	Kantate	Kantaten	cantata	UNSET	
14036	13541	der	Kanute	Kanuten	canoeist	UNSET	
14037	13542	der	Karpfen	Karpfen	carp	UNSET	
14038	13543	das	Kartellrecht	—	antitrust law/cartel law/monopolies law	UNSET	
14039	13544	das	Kaufangebot	Kaufangebote	purchase offer	UNSET	
14040	13545	der	Kernbestandteil	Kernbestandteile	core component	UNSET	
14041	13546	das	Kerosin	—	jet fuel/kerosene	UNSET	
14042	13547	der	Kescher	Kescher	dip net/hand net/landing net	UNSET	
14043	13548	der	Kiel	Kiele	keel	UNSET	
14044	13549	der	Kieler	Kieler	person from Kiel	UNSET	
14045	7616	der	Kiez	Kieze	neighbourhood/quarter	B2	
14046	13551	das	Kinderdorf	Kinderdörfer	children's village	UNSET	
14047	7617	die	Kinderzahl	Kinderzahlen	number of children	B2	
14048	13553	das	Kirchenschiff	Kirchenschiffe	nave	UNSET	
14049	13554	der	Klerus	—	clergy	UNSET	
14050	13555	die	Klientin	Klientinnen	client (female)	UNSET	
14051	13556	die	Klimakatastrophe	Klimakatastrophen	climate disaster	UNSET	
14052	13557	die	Klimakonferenz	Klimakonferenzen	climate conference	UNSET	
14053	13558	die	Klugheit	Klugheiten	cleverness/intelligence/prudence	UNSET	
14054	13559	der	Knaller	Knaller	firecracker	UNSET	
14055	13560	der	Knick	Knicke	kink/bend	UNSET	
14056	13561	die	Kochkunst	Kochkünste	cookery	UNSET	
14057	13562	der	Kochlöffel	Kochlöffel	cooking spoon/wooden spoon	UNSET	
14058	13563	der	Kode	Kodes	code	UNSET	
14059	13564	die	Kodierung	Kodierungen	codification/coding/encoding	UNSET	
14060	13565	die	Kokerei	Kokereien	coking plant	UNSET	
14061	13566	das	Kokosöl	Kokosöle	coconut oil	UNSET	
14062	13567	der	Komplementär	Komplementäre	general partner	UNSET	
14063	13568	der	Könner	Könner	expert/master	UNSET	
14064	13569	der	Konsul	Konsuln	consul	UNSET	
14065	13570	das	Kontrollzentrum	Kontrollzentren	control centre	UNSET	
14066	13571	die	Konversion	Konversionen	conversion	UNSET	
14067	13572	der	Konzertbesucher	Konzertbesucher	concertgoer	UNSET	
14068	13573	die	Konzession	Konzessionen	licence/concession	UNSET	
14069	13574	der	Kopfball	Kopfbälle	header	UNSET	
