row	rank	article	word	plural	english	cefrLevel	flags
1	1	das	Jahr	Jahre	year	A1	
2	2	das	Kind	Kinder	child	A1	
3	3	der	Mensch	Menschen	person/human/human being	A1	
4	4	das	Unternehmen	Unternehmen	company/enterprise	B2	
5	5	die	Zeit	Zeiten	time	A1	
6	6	der	Tag	Tage	day	A1	
7	7	das	Thema	Themen	topic/subject	A1	
8	8	der	Euro	Euro	euro	A1	
9	9	die	Stadt	Städte	city/town	A1	
10	10	die	Frage	Fragen	question	A1	
11	11	der	Bereich	Bereiche	area/field	B1	
12	12	die	Arbeit	Arbeiten	work/job	A1	
13	13	das	Prozent	Prozente	per cent	A1	
14	14	die	Schule	Schulen	school	A1	
15	15	die	Möglichkeit	Möglichkeiten	possibility/opportunity	A1	
16	16	das	Projekt	Projekte	project	A1	
17	17	die	Information	Informationen	information	A1	
18	18	die	Uhr	Uhren	clock/watch	A1	
19	19	die	Frau	Frauen	woman/wife	A1	
20	20	das	Datum	Daten	date	A1	
21	21	das	Beispiel	Beispiele	example	A1	
22	22	das	Land	Länder	country/land	A1	
23	23	die	Seite	Seiten	page/side	A1	
24	24	das	Angebot	Angebote	offer/selection	A1	
25	25	der	Schüler	Schüler	pupil/school student	A1	
26	26	das	Teil	Teile	part/piece/part (concrete: ein Ersatzteil)	A1	
27	27	der	Rahmen	Rahmen	frame/framework	B2	
28	28	der	Kunde	Kunden	customer/client	A1	
29	29	das	Ziel	Ziele	goal/destination	A1	
30	30	das	Leben	Leben	life	A1	
31	31	die	Entwicklung	Entwicklungen	development	B1	
32	32	der	Weg	Wege	way/path	A1	
33	33	das	Ende	Enden	end	A1	
34	34	die	Woche	Wochen	week	A1	
35	35	der	Mitarbeiter	Mitarbeiter	employee/colleague	A1	
36	36	der	Ort	Orte	place/location	A1	
37	37	die	Welt	Welten	world	A1	
38	38	die	Verfügung	Verfügungen	disposal/decree	B2	
39	39	die	Familie	Familien	family	A1	
40	40	der	Fall	Fälle	case/fall	B1	
41	41	die	Aufgabe	Aufgaben	task/assignment	A1	
42	42	die	Person	Personen	person	A2	
43	43	das	Ergebnis	Ergebnisse	result/outcome	A1	
44	44	das	Produkt	Produkte	product	A1	
45	45	der	Monat	Monate	month	A1	
46	46	das	Problem	Probleme	problem	A1	
47	47	die	Art	Arten	kind/type/species	A1	
48	48	das	Bild	Bilder	picture/image	A1	
49	49	der	Platz	Plätze	place/square/seat	A1	
50	50	die	Veranstaltung	Veranstaltungen	event	A1	
51	51	das	Programm	Programme	programme	A1	
52	52	der	Grund	Gründe	reason/ground	A1	
53	53	die	Million	Millionen	million	A1	
54	54	der	Jugendliche	Jugendlichen	young person/teenager	A1	adjectivalNoun
55	55	die	Region	Regionen	region	B1	
56	56	das	Team	Teams	team	A1	
57	57	die	Geschichte	Geschichten	history/story	A1	
58	58	der	Einsatz	Einsätze	use/deployment/commitment	A2	
59	59	die	Zukunft	Zukünfte	future	A2	
60	60	der	Preis	Preise	price/prize	A1	
61	61	die	Regel	Regeln	rule	A1	
62	62	das	Haus	Häuser	house/home	A1	
63	63	die	Stelle	Stellen	position/place/job	A1	
64	64	die	Erfahrung	Erfahrungen	experience	A2	
65	65	die	Hilfe	Hilfen	help	A1	
66	66	das	Mitglied	Mitglieder	member	A1	
67	67	die	Gruppe	Gruppen	group	A1	
68	68	der	Mann	Männer	man/husband	A1	
69	69	der	Raum	Räume	room/space	A1	
70	70	der	September	—	September	A1	
71	71	die	Schülerin	Schülerinnen	female student/pupil	A2	
72	72	das	Studium	Studien	studies	A1	
73	73	die	Leistung	Leistungen	performance/achievement	B1	
74	74	die	Universität	Universitäten	university	A1	
75	75	der	Patient	Patienten	patient	A1	
76	76	die	Stunde	Stunden	hour/lesson	A1	
77	77	der	Blick	Blicke	look/glance/view	A1	
78	78	die	Idee	Ideen	idea	A1	
79	79	die	Ausbildung	Ausbildungen	training/education	A2	
80	80	das	Gerät	Geräte	device/appliance	A1	
81	81	der	Beitrag	Beiträge	contribution/article	A2	
82	82	die	Maßnahme	Maßnahmen	measure/action	B2	
83	83	das	Mal	Male	time/occasion	A1	
84	84	der	Inhalt	Inhalte	content/contents	A2	
85	85	das	Internet	—	internet	A1	
86	86	die	Lösung	Lösungen	solution/answer	A1	
