row	rank	word	english	cefrLevel	source	flags
1	1	neu	new	A1	UNSET	
2	2	gut	good	A1	UNSET	
3	3	groß	big/large/tall	A1	UNSET	
4	4	weiter	further	A1	UNSET	
5	5	deutsch	German	A1	UNSET	
6	6	eigen	own	UNSET	UNSET	
7	7	klein	small/little	A1	UNSET	
8	8	gemeinsam	common/shared/joint	A2	UNSET	
9	9	verschieden	different/various	A1	UNSET	
10	10	aktuell	current	A1	UNSET	
11	11	wichtig	important	A1	UNSET	
12	12	hoch	high/tall	A1	UNSET	
13	13	schnell	fast/quick	A1	UNSET	
14	14	direkt	direct	A1	UNSET	
15	16	möglich	possible	A1	UNSET	
16	17	zusätzlich	additional	B1	UNSET	
17	18	alt	old	A1	UNSET	
18	19	richtig	correct/right	A1	UNSET	
19	20	international	international	A1	UNSET	
20	21	besser	better	A1	UNSET	
21	22	erst	first	A2	UNSET	
22	23	genau	exact/precise	A1	UNSET	
23	25	entsprechend	corresponding/accordingly	B2	UNSET	
24	26	kurz	short/brief	A1	UNSET	
25	27	jung	young	A1	UNSET	
26	28	unterschiedlich	different/varying	A2	UNSET	
27	30	ganz	whole/entire/quite	A1	UNSET	
28	31	lang	long	A1	UNSET	
29	32	stark	strong	A2	UNSET	
30	33	persönlich	personal	A1	UNSET	
31	34	digital	digital	B1	UNSET	
32	35	zahlreich	numerous	B1	UNSET	
33	36	öffentlich	public	A2	UNSET	
34	37	europäisch	European	A1	UNSET	
35	38	einzeln	individual/single	A2	UNSET	
36	39	deutlich	clear/distinct	A2	UNSET	
37	40	sozial	social	A2	UNSET	
38	41	erfolgreich	successful	A2	UNSET	
39	42	bestimmt	certain/specific	A1	UNSET	
40	43	frei	free	A1	UNSET	
41	44	technisch	technical	B1	UNSET	
42	45	einfach	simple/easy	A1	UNSET	
43	46	häufig	frequent/common	A2	UNSET	
44	47	individuell	individual	A1	UNSET	
45	48	schön	beautiful/nice	A1	UNSET	
46	49	später	later	A1	UNSET	
47	50	regelmäßig	regular	A1	UNSET	
48	51	leicht	light/easy	A1	UNSET	
49	52	sicher	safe/certain/sure	A1	UNSET	
50	53	gesamt	total/entire	B2	UNSET	
51	54	wirklich	real/really	A1	UNSET	
52	55	jeweilig	respective	B2	UNSET	
53	56	politisch	political	B1	UNSET	
54	57	offen	open	A2	UNSET	
55	58	modern	modern	A2	UNSET	
56	59	zentral	central	A1	UNSET	
57	60	bekannt	well-known/famous	A1	UNSET	
58	61	vergangen	past/last	B2	UNSET	
59	62	speziell	special	B1	UNSET	
60	63	gleichzeitig	simultaneous	B1	UNSET	
61	64	anschließend	afterwards, subsequently; subsequent	A2	UNSET	
62	65	aktiv	active	A1	UNSET	
63	66	früh	early	A1	UNSET	
64	67	weit	far/wide	A1	UNSET	
65	68	weltweit	worldwide/global	A2	UNSET	
66	69	kostenlos	free (of charge)	A2	UNSET	
67	70	privat	private	A2	UNSET	
68	71	sogenannt	so-called	B2	UNSET	
69	72	schwer	heavy/difficult	A1	UNSET	
70	73	allgemein	general	A2	UNSET	
71	74	nachhaltig	sustainable	B2	UNSET	
72	75	passend	suitable/fitting	A1	UNSET	
73	76	gesetzlich	legal/statutory	B2	UNSET	
74	77	klar	clear	A1	UNSET	
75	78	grundsätzlich	fundamental/in principle	B2	UNSET	
76	79	tatsächlich	actual/actually	A1	UNSET	
77	80	praktisch	practical	A1	UNSET	
78	81	positiv	positive	A1	UNSET	
79	82	täglich	daily	A1	UNSET	
80	83	konkret	concrete	B2	UNSET	
81	84	wissenschaftlich	scientific	B2	UNSET	
82	85	voll	full	A1	UNSET	
83	86	gleich	equal/same	A1	UNSET	
84	87	folgend	following	B1	UNSET	
85	88	jährlich	annual/yearly	A2	UNSET	
86	89	historisch	historic/historical	B1	UNSET	
87	90	toll	great/awesome	A1	UNSET	
88	91	künftig	future/upcoming	C1	UNSET	
89	92	interessant	interesting	A1	UNSET	
90	93	zuständig	responsible	B1	UNSET	
91	94	regional	regional	B1	UNSET	
92	95	beruflich	professional/occupational	A2	UNSET	
93	96	komplett	complete	A2	UNSET	
94	97	wesentlich	essential/significant	B2	UNSET	
95	98	spannend	exciting	A2	UNSET	
96	99	vielfältig	diverse/varied	B2	UNSET	
97	100	notwendig	necessary	A2	UNSET	
98	101	günstig	cheap/favourable	A1	UNSET	
99	102	kommend	coming/upcoming	UNSET	UNSET	
100	103	bayerisch	Bavarian	UNSET	UNSET	
101	104	klassisch	classic/classical	C1	UNSET	
102	105	vorhanden	available/existing	B2	UNSET	
103	106	eng	narrow/close/tight	A2	UNSET	
104	107	ehemalig	former	B2	UNSET	
105	108	optimal	optimal	B2	UNSET	
106	109	selten	rare/seldom	A1	UNSET	
107	110	ähnlich	similar	A1	UNSET	
108	111	umfassend	comprehensive	C1	UNSET	
109	112	echt	genuine/real	A2	UNSET	
110	113	finanziell	financial	A2	UNSET	
111	114	unabhängig	independent	A2	UNSET	
112	115	automatisch	automatic	A1	UNSET	
113	116	fest	firm/fixed/solid	A2	UNSET	
114	117	erforderlich	necessary	A2	UNSET	
115	118	breit	broad/wide	A1	UNSET	
116	119	wirtschaftlich	economic	B2	UNSET	
117	120	erneut	renewed/repeated	B2	UNSET	
118	121	gering	low/small/slight	B1	UNSET	
119	122	einzig	only/sole	UNSET	UNSET	
120	123	mobil	mobile	A2	UNSET	
121	124	medizinisch	medical	UNSET	UNSET	
122	125	geeignet	suitable/appropriate	B1	UNSET	
123	126	vollständig	complete	B2	UNSET	
124	127	zukünftig	future	B1	UNSET	
125	128	intensiv	intensive/intense	A2	UNSET	
126	129	perfekt	perfect	A1	UNSET	
127	130	national	national	B1	UNSET	
128	131	ausreichend	sufficient	B1	UNSET	
129	132	staatlich	state/government	B1	UNSET	
130	133	zweit	second	A1	UNSET	
131	134	heutig	today's/current	C1	UNSET	
132	135	umfangreich	extensive	B2	UNSET	
133	136	innovativ	innovative	B2	UNSET	
134	137	elektronisch	electronic	B1	UNSET	
135	138	schlecht	bad	A1	UNSET	
136	139	gesund	healthy	A1	UNSET	
137	140	gesellschaftlich	social/societal	B1	UNSET	
138	141	bundesweit	nationwide	B2	UNSET	
139	142	lokal	local	B1	UNSET	
140	143	kulturell	cultural	A1	UNSET	
141	144	offiziell	official	A1	UNSET	
142	145	herzlich	warm/cordial	A1	UNSET	
