row	rank	word	english	cefrLevel	source	flags
4201	4226	schulfrei	no school/school-free	UNSET	UNSET	
4202	4227	schwerelos	weightless	B2	UNSET	
4203	4228	sechseckig	hexagonal	UNSET	UNSET	
4204	4229	spannungsgeladen	tension-filled/suspenseful	UNSET	UNSET	
4205	4230	spektroskopisch	spectroscopic	UNSET	UNSET	
4206	4231	spielbar	playable	UNSET	UNSET	
4207	4232	spießig	bourgeois/square	UNSET	UNSET	
4208	4233	stählern	steely / of steel	UNSET	UNSET	
4209	4234	stufenweise	stepwise/gradually	UNSET	UNSET	
4210	4235	südeuropäisch	South European	UNSET	UNSET	
4211	4236	südostasiatisch	Southeast Asian	UNSET	UNSET	
4212	4237	tätlich	violent	UNSET	UNSET	
4213	4238	tektonisch	tectonic	UNSET	UNSET	
4214	4239	tiefblau	deep blue	UNSET	UNSET	
4215	4240	tiefenpsychologisch	depth-psychological	UNSET	UNSET	
4216	4241	topologisch	topologic/topological/topologically	UNSET	UNSET	
4217	4242	torlos	goalless/scoreless	UNSET	UNSET	
4218	4243	trotzig	defiant / stubborn / sulky	UNSET	UNSET	
4219	4244	trügerisch	deceptive/misleading	UNSET	UNSET	
4220	4245	überglücklich	overjoyed / delighted	UNSET	UNSET	
4221	4246	überschuldet	heavily indebted/overindebted	UNSET	UNSET	
4222	4247	übertariflich	above the collective wage agreement	UNSET	UNSET	
4223	4248	umjubelt	celebrated	UNSET	UNSET	
4224	4249	unabsichtlich	involuntary/unintentional/unwitting	UNSET	UNSET	
4225	4250	unangetastet	untouched	UNSET	UNSET	
4226	4251	unbändig	boisterous/unrestrained	C1	UNSET	
4227	4252	unbarmherzig	merciless/relentless/ruthless	UNSET	UNSET	
4228	4253	unbesorgt	unconcerned	UNSET	UNSET	
4229	4254	undeutlich	hazy/indistinct/vague	UNSET	UNSET	
4230	4255	uneigennützig	selfless	UNSET	UNSET	
4231	4256	unerreicht	unequaled/unequalled/unrivaled	UNSET	UNSET	
4232	4257	unerschrocken	intrepid	UNSET	UNSET	
4233	4258	unerschwinglich	exorbitant/prohibitive	UNSET	UNSET	
4234	4259	unhandlich	unwieldy	C1	UNSET	
