row	rank	article	word	plural	english	cefrLevel	flags
21001	20514	der	Intercity	Intercitys	intercity train	UNSET	
21002	20515	das	Interim	Interims	interim/interim period	UNSET	
21003	20516	die	Internetfirma	Internetfirmen	internet company	UNSET	
21004	20517	der	Internetprovider	Internetprovider	Internet provider	UNSET	
21005	8892	die	Internetsucht	—	Internet addiction	C1	
21006	20519	das	Internierungslager	Internierungslager	internment camp	UNSET	
21007	20520	der	Interpretationsspielraum	Interpretationsspielräume	room for interpretation	UNSET	
21008	20521	die	Interviewpartnerin	Interviewpartnerinnen	interview partner (female)	UNSET	
21009	20522	die	Investorin	Investorinnen	investor (female)	UNSET	
21010	20523	der	Iraker	Iraker	Iraqi	UNSET	
21011	20524	die	Islamisierung	Islamisierungen	Islamisation	UNSET	
21012	20525	der	Islamwissenschaftler	Islamwissenschaftler	Islamic studies scholar	UNSET	
21013	20526	der	Israelit	Israeliten	Israelite	UNSET	
21014	20527	die	Iteration	Iterationen	iteration	UNSET	
21015	20528	die	Jahresangabe	Jahresangaben	year indication/year reference	UNSET	
21016	20529	die	Jahresbilanz	Jahresbilanzen	annual balance sheet	UNSET	
21017	20530	die	Jahrespressekonferenz	Jahrespressekonferenzen	annual press conference	UNSET	
21018	1800	das	Japanisch	—	Japanese	A1	
21019	20532	die	Jazzszene	Jazzszenen	jazz scene	UNSET	
21020	20533	der	Jeside	Jesiden	Yazidi/Yezidi	UNSET	
21021	20534	der	Jetlag	Jetlags	jet lag/jet-lag/jetlag	UNSET	
21022	20535	die	Johanneskirche	Johanneskirchen	St John's Church	UNSET	
21023	20536	der	Jordanier	Jordanier	Jordanian	UNSET	
21024	20537	die	Judenverfolgung	Judenverfolgungen	persecution of Jews	UNSET	
21025	20538	die	Jugendliebe	Jugendlieben	youthful love/first love	UNSET	
21026	20539	die	Jugendseelsorge	—	youth pastoral care	UNSET	
21027	20540	die	Jugendsprache	Jugendsprachen	youth language	UNSET	
21028	20541	der	Jugendtag	Jugendtage	Youth Day	UNSET	
21029	20542	der	Jungenname	Jungennamen	boy's name	UNSET	
21030	20543	die	Jungfernfahrt	Jungfernfahrten	maiden voyage	UNSET	
21031	20544	der	Juniorpartner	Juniorpartner	junior partner	UNSET	
21032	20545	der	Junker	Junker	Junker	UNSET	
21033	20546	die	Jurte	Jurten	yurt	UNSET	
21034	20547	der	Justizpalast	Justizpaläste	Law Courts/Palace of Justice	UNSET	
21035	20548	der	Jutebeutel	Jutebeutel	jute bag	UNSET	
21036	20549	der	Kabelkanal	Kabelkanäle	cable channel/cable duct	UNSET	
21037	20550	der	Kaffeekonsum	—	coffee consumption	UNSET	
21038	20551	die	Kaffeemühle	Kaffeemühlen	coffee grinder/coffee mill/coffeemill	UNSET	
21039	8893	das	Kaffeepulver	Kaffeepulver	ground coffee/coffee powder	C1	
21040	20553	die	Kaffeesorte	Kaffeesorten	coffee type	UNSET	
21041	20554	die	Kaffeetasse	Kaffeetassen	coffee cup	UNSET	
21042	20555	das	Kälbchen	Kälbchen	calf	UNSET	
21043	20556	das	Kaltgetränk	Kaltgetränke	cold beverage	UNSET	
21044	20557	die	Kaltluft	—	cold air	UNSET	
21045	20558	das	Kamerabild	Kamerabilder	camera image	UNSET	
21046	20559	die	Kameraleute	Kameraleute	camera operators/camera crew	UNSET	
21047	20560	das	Kaminfeuer	Kaminfeuer	fireplace fire	UNSET	
21048	7711	die	Kämpferin	Kämpferinnen	fighter (female)	B2	
21049	20562	der	Kampfmittelräumdienst	Kampfmittelräumdienste	explosive ordnance disposal service	UNSET	
21050	20563	der	Kampfstoff	Kampfstoffe	combat agent/warfare agent	UNSET	
21051	20564	der	Kapitalbedarf	Kapitalbedarfe	capital requirements	UNSET	
21052	20565	die	Kapitalertragsteuer	Kapitalertragsteuern	capital gains tax	UNSET	
21053	20566	der	Karolinger	Karolinger	Carolingian	UNSET	
21054	20567	der	Kartoffelbrei	Kartoffelbreie	mashed potato/mashed potatoes	UNSET	
21055	20568	der	Kartoffelpuffer	Kartoffelpuffer	potato pancake/potato fritter	UNSET	
21056	20569	das	Kartoffelpüree	Kartoffelpürees	mashed potato/mashed potatoes	UNSET	
21057	20570	die	Kartografie	—	cartography	UNSET	
21058	20571	der	Käsekuchen	Käsekuchen	cheesecake	UNSET	
21059	20572	die	Käsetheke	Käsetheken	cheese counter	UNSET	
21060	20573	die	Kaskoversicherung	Kaskoversicherungen	comprehensive motor insurance	UNSET	
21061	20574	der	Katamaran	Katamarane	catamaran	UNSET	
21062	20575	das	Katapult	Katapulte	catapult	UNSET	
21063	20576	der	Katholizismus	—	Catholicism	UNSET	
21064	20577	der	Katzenbesitzer	Katzenbesitzer	cat owner	UNSET	
21065	20578	die	Katzenrasse	Katzenrassen	cat breed	UNSET	
21066	20579	die	Kaue	Kauen	miners' changing room	UNSET	
21067	20580	der	Kaufmannsladen	Kaufmannsläden	toy shop set/play shop (children's toy)	UNSET	
21068	20581	die	Kaulquappe	Kaulquappen	tadpole	UNSET	
21069	20582	der	Keil	Keile	wedge/gusset	UNSET	
21070	20583	das	Kernobst	—	pome fruit	UNSET	
21071	20584	die	Kerntemperatur	Kerntemperaturen	core temperature	UNSET	
21072	20585	die	Kettlebell	Kettlebells	kettlebell	UNSET	
21073	20586	der	Keyboarder	Keyboarder	keyboardist	UNSET	
21074	20587	der	Kibbuz	Kibbuzim	kibbutz	UNSET	
21075	20588	der	Kieferknochen	Kieferknochen	jaw bone	UNSET	
21076	20589	der	Kiesel	Kiesel	pebble	UNSET	
21077	20590	der	Kieselstein	Kieselsteine	pebble	UNSET	
21078	20591	der	Kiesstrand	Kiesstrände	pebble beach	UNSET	
