rank	article	word	plural	english	cefr	flags
15583	die	Pflichtaufgabe	Pflichtaufgaben	mandatory task	-	-
8162	die	Pinnwand	Pinnwände	pinboard	C1	-
15589	der	Politikwissenschaftler	Politikwissenschaftler	political scientist/politologist	-	-
15592	die	Powerbank	Powerbanks	powerbank	-	-
15614	der	Präses	Präsides	president/chairperson	-	-
15617	die	Präsidentschaft	Präsidentschaften	presidency	-	-
15657	der	Psychiater	Psychiater	psychiatrist/shrink	-	-
15662	die	Raiffeisenbank	Raiffeisenbanken	Raiffeisenbank	-	-
15669	die	Rallye	Rallyes	rally/rallye	-	-
15685	das	Raumschiff	Raumschiffe	spacecraft/spaceship/starship	-	-
8171	die	Rechenschaft	—	account/accountability	B2	-
15698	das	Rechteck	Rechtecke	rectangle	-	-
15755	der	Regenschauer	Regenschauer	rain shower	-	-
15835	die	Reibung	Reibungen	friction	-	-
15843	der	Rekordmeister	Rekordmeister	champion of champions/championship record-holders/record champion	-	-
15844	der	Renner	Renner	hit	-	-
15884	der	Rezipient	Rezipienten	recipient	-	weak
15919	die	Risikogruppe	Risikogruppen	risk group	-	-
15932	der	Rückzugsort	Rückzugsorte	retreat/refuge	-	-
8180	die	Rundfunkanstalt	Rundfunkanstalten	broadcaster/broadcasting company/broadcasting corporation	B2	-
15933	der	Saldo	Salden	balance/bottom line	-	-
15961	der	Schlagzeuger	Schlagzeuger	drummer	-	-
16004	die	Schnitzeljagd	Schnitzeljagden	scavenger hunt	-	-
16055	die	Schönste	Schönste	most beautiful one	-	-
16112	der	Schriftsatz	Schriftsätze	pleading	-	-
8186	der	Schulabgänger	Schulabgänger	school graduate	C1	-
16139	der	Schuldienst	Schuldienste	school service/teaching service	-	-
16160	das	Schulhaus	Schulhäuser	schoolhouse	-	-
16182	das	Schwergewicht	Schwergewichte	heavyweight	-	-
16205	das	Selbst	—	self	-	-
16211	der	Selbstmord	Selbstmorde	suicide	-	-
16308	das	Selbststudium	—	self-study	-	-
16311	die	Seuche	Seuchen	epidemic/pestilence	-	-
16343	der	Shitstorm	Shitstorms	internet uproar/shitstorm	-	-
16356	die	Sicherheitspolitik	Sicherheitspolitiken	security policy	-	-
16367	das	Sinnbild	Sinnbilder	allegory/symbol	-	-
