rank	article	word	plural	english	cefr	flags
12779	das	Helium	—	helium	-	-
12780	die	Herausgeberin	Herausgeberinnen	editor (female)	-	-
12781	die	Herrlichkeit	Herrlichkeiten	magnificence/splendour	-	-
12782	das	Herstellungsverfahren	Herstellungsverfahren	manufacturing process	-	-
8760	die	Hervorhebung	Hervorhebungen	highlighting	C1	-
12784	die	Hinterlegung	Hinterlegungen	deposit/lodging	-	-
4601	das	Hochdeutsch	—	Standard German	C1	-
12786	die	Hochebene	Hochebenen	mesa/plateau/tableland	-	-
12787	die	Hochkonjunktur	Hochkonjunkturen	economic boom	-	-
12788	die	Hochspannungsleitung	Hochspannungsleitungen	high-voltage power line	-	-
12789	der	Höhenflug	Höhenflüge	high-flying success/flight of fancy	-	-
12790	der	Hohn	—	derision/mockery/scorn	-	-
12791	der	Hoodie	Hoodies	hoodie	-	-
12792	die	Hündin	Hündinnen	female dog	-	-
12793	die	Hymne	Hymnen	anthem/hymn	-	-
12794	der	Idealismus	—	idealism	-	-
12795	die	Imkerei	Imkereien	beekeeping/apiary	-	-
12796	das	Immergrün	Immergrüne	periwinkle	-	-
12797	die	Immunantwort	Immunantworten	immune response	-	-
12798	die	Indizierung	Indizierungen	indexing/listing on the index	-	-
3203	die	Influencerin	Influencerinnen	influencer	B1	-
12800	das	Ingenieurwesen	—	engineering	-	-
12801	die	Initiale	Initialen	initial	-	-
12802	die	Interessenabwägung	Interessenabwägungen	weighing of interests	-	-
12803	der	Irrglaube	Irrglauben	misbelief/misconception	-	weak
12804	der	Irrsinn	—	insanity/lunacy/madness	-	-
12805	die	Jägerprüfung	Jägerprüfungen	hunting exam	-	-
12806	der	Jahresdurchschnitt	Jahresdurchschnitte	annual average	-	-
12807	der	Jahresrückblick	Jahresrückblicke	review of the year's event/year in review	-	-
12808	die	Jalousie	Jalousien	Venetian blinds/jalousie/window blind	-	-
12809	das	Jod	—	iodine	-	-
12810	die	Journalistenschule	Journalistenschulen	journalism school/school of journalism	-	-
12811	das	Jugendprojekt	Jugendprojekte	youth project	-	-
12812	die	Kaffeepause	Kaffeepausen	coffee break	-	-
12813	die	Kaltmiete	Kaltmieten	bare rent/base rent/basic rent	-	-
12814	der	Kämmerer	Kämmerer	chamberlain/treasurer	-	-
12815	die	Kampfhandlung	Kampfhandlungen	combat action	-	-
12816	die	Kapitalerhöhung	Kapitalerhöhungen	capital increase	-	-
12817	der	Kardiologe	Kardiologen	cardiologist	-	weak
3656	das	Kätzchen	Kätzchen	kitten	A2	-
12819	der	Kegel	Kegel	bowling pin/cone/skittle	-	-
12820	der	Keimling	Keimlinge	embryo/seedling	-	-
12821	die	Kenngröße	Kenngrößen	parameter/characteristic value	-	-
12822	die	Kernfrage	Kernfragen	core issue	-	-
12823	die	Keule	Keulen	club/leg/shank	-	-
4602	die	Kichererbse	Kichererbsen	chick-pea/chickpea	C1	-
12825	der	Kiefernwald	Kiefernwälder	pinewood	-	-
12826	der	Kindersoldat	Kindersoldaten	child soldier	-	weak
12827	der	Kinobesucher	Kinobesucher	cinemagoer/filmgoer/moviegoer	-	-
12828	das	Klavierkonzert	Klavierkonzerte	piano concert/piano concerto	-	-
12829	das	Klimagas	Klimagase	greenhouse gas/climate gas	-	-
12830	der	Klimagipfel	Klimagipfel	climate summit	-	-
12831	der	Klimaschützer	Klimaschützer	climate protector/climate activist	-	-
12832	das	Kohlenstoffdioxid	—	carbon dioxide	-	-
12833	der	Koloss	Kolosse	colossus	-	-
12834	die	Kommunikationsform	Kommunikationsformen	form of communication	-	-
12835	die	Kommunion	Kommunionen	Communion	-	-
12836	die	Kompensationsmaßnahme	Kompensationsmaßnahmen	compensation measure	-	-
12837	die	Konditorei	Konditoreien	pastry shop/confectionery	-	-
3204	die	Konfitüre	Konfitüren	confiture/jam	B1	-
12839	die	Königsfamilie	Königsfamilien	royal family	-	-
12840	das	Konjunkturpaket	Konjunkturpakete	economic stimulus package	-	-
12841	das	Konjunkturprogramm	Konjunkturprogramme	economic stimulus programme	-	-
12842	die	Kontoführung	—	account management	-	-
12843	der	Kormoran	Kormorane	Great Cormorant/cormorant	-	-
12844	der	Kotflügel	Kotflügel	fender/mud guard/mud wing	-	-
12845	das	Kratzen	—	scratching	-	-
12846	der	Kräutertee	Kräutertees	herbal tea	-	-
12847	der	Krawall	Krawalle	riot/disturbance	-	-
12848	die	Krebsforschung	Krebsforschungen	Cancer research	-	-
12849	das	Krebsmedikament	Krebsmedikamente	Cancer drug	-	-
12850	die	Kreditkartennummer	Kreditkartennummern	credit card number	-	-
12851	das	Kribbeln	—	tingling	-	-
12852	die	Kriegsgräberstätte	Kriegsgräberstätten	war cemetery	-	-
12853	das	Küchenutensil	Küchenutensilien	kitchen utensil	-	-
12854	der	Kulturbetrieb	Kulturbetriebe	cultural sector	-	-
12855	die	Kunsthistorikerin	Kunsthistorikerinnen	art historian (female)	-	-
12856	die	Kunststoffindustrie	Kunststoffindustrien	plastics industry	-	-
12857	das	Kunststoffteil	Kunststoffteile	plastic part	-	-
12858	das	Kupferkabel	Kupferkabel	copper cable	-	-
12859	die	Kupplung	Kupplungen	clutch	-	-
12860	der	Kursbeginn	Kursbeginne	course start	-	-
12861	der	Kurswechsel	Kurswechsel	change of course/change of policy	-	-
12862	die	Kurznachricht	Kurznachrichten	short message/text message	-	-
12863	die	Küstenlandschaft	Küstenlandschaften	coastal landscape	-	-
12864	die	Länderebene	Länderebenen	state level/country level	-	-
12865	der	Landesdurchschnitt	Landesdurchschnitte	national average	-	-
12866	die	Landespolizei	Landespolizeien	state police	-	-
12867	der	Landeswahlleiter	Landeswahlleiter	state election commissioner/returning officer	-	-
12868	das	Landgestüt	Landgestüte	state stud	-	-
12869	der	Landschaftsplan	Landschaftspläne	landscape plan	-	-
12870	die	Landtagsfraktion	Landtagsfraktionen	state parliament parliamentary group	-	-
12871	die	Langzeitstudie	Langzeitstudien	long-term study	-	-
12872	die	Lasur	Lasuren	glaze	-	-
12873	die	Latenz	—	latency	-	-
12874	der	Leasingvertrag	Leasingverträge	leasing agreement	-	-
12875	der	Leerlauf	Leerläufe	idle/idling	-	-
12876	die	Leerstelle	Leerstellen	blank space/gap	-	-
12877	die	Legalisierung	Legalisierungen	legalisation	-	-
12878	die	Legionelle	Legionellen	Legionella	-	-
12879	die	Leihfrist	Leihfristen	loan period	-	-
12880	das	Leistungsniveau	Leistungsniveaus	performance level	-	-
12881	das	Leistungsverzeichnis	Leistungsverzeichnisse	list of services/bill of quantities	-	-
12882	die	Lektorin	Lektorinnen	editor/proofreader	-	-
12883	die	Lernkurve	Lernkurven	learning curve	-	-
12884	der	Lichthof	Lichthöfe	atrium/light well	-	-
12885	der	Lichtschutzfaktor	Lichtschutzfaktoren	sun protection factor	-	-
12886	der	Liedermacher	Liedermacher	songwriter	-	-
12887	der	Lieferschein	Lieferscheine	bordereau/delivery note/docket	-	-
12888	der	Linkshänder	Linkshänder	left-hander/lefty/southpaw	-	-
12889	der	Literat	Literaten	writer/literary figure	-	weak
12891	die	Lizenzgebühr	Lizenzgebühren	licence fee	-	-
12892	die	Lohnfortzahlung	Lohnfortzahlungen	continued payment of wages	-	-
7596	der	Lokführer	Lokführer	locomotive driver/train driver	B2	-
12894	die	Löscharbeit	Löscharbeiten	extinguishing work/firefighting	-	-
12895	das	Losverfahren	Losverfahren	lottery procedure	-	-
12896	der	Luftaustausch	Luftaustausche	air exchange/exchange of air/renewed supply of air	-	-
12897	der	Luftstrom	Luftströme	air current	-	-
12898	das	Lumen	Lumen	lumen	-	-
12899	die	Madonna	Madonnen	Virgin Mary	-	-
12900	das	Mahl	Mähler	meal	-	-
12901	die	Mahnwache	Mahnwachen	candlelight vigil/protest	-	-
12902	die	Mangelerscheinung	Mangelerscheinungen	deficiency symptom	-	-
12903	die	Maniküre	Maniküren	manicure/manicurist	-	-
12904	der	Marienkäfer	Marienkäfer	ladybird/ladybug	-	-
12905	der	Markgraf	Markgrafen	margrave	-	weak
12906	das	Maschinenwesen	—	mechanical engineering	-	-
12907	die	Mediendidaktik	—	media didactics	-	-
12908	die	Meinungsvielfalt	—	diversity of opinion	-	-
8762	der	Menschenverstand	—	common sense	C1	-
12910	die	Messi	Messis	hoarder (slang)/Messi	-	-
12911	das	Messing	—	brass	-	-
12912	die	Metallbearbeitung	Metallbearbeitungen	metalworking	-	-
12913	die	Metrik	Metriken	metric	-	-
12914	der	Mikrokosmos	—	microcosm	-	-
12915	der	Millionenbetrag	Millionenbeträge	amount in millions	-	-
12916	die	Mitarbeiterzahl	Mitarbeiterzahlen	number of employees	-	-
12917	die	Modulation	Modulationen	modulation	-	-
12918	die	Mordserie	Mordserien	murder series	-	-
12919	der	Most	Moste	cider/must	-	-
12920	die	Mundhygiene	—	oral hygiene	-	-
12921	die	Muskelgruppe	Muskelgruppen	muscle group	-	-
12922	das	Mysterium	Mysterien	enigma/mystery	-	-
12923	die	Mystik	—	mysticism	-	-
12924	das	Nachbargrundstück	Nachbargrundstücke	neighbouring property	-	-
12925	die	Nachtwanderung	Nachtwanderungen	night walk/walk at night	-	-
12926	der	Nationalist	Nationalisten	nationalist	-	weak
12927	das	Nationalmuseum	Nationalmuseen	national museum	-	-
12928	das	Naturgesetz	Naturgesetze	law of nature	-	-
12929	der	Nebenfluss	Nebenflüsse	affluent/tributary	-	-
12930	die	Neuerkrankung	Neuerkrankungen	new case/new illness	-	-
12931	die	Neunzigerjahre	Neunzigerjahre	the nineties	-	-
12932	das	Neutron	Neutronen	neutron	-	-
12933	das	Nichtmitglied	Nichtmitglieder	non-member	-	-
7597	das	Nickerchen	Nickerchen	nap	B2	-
12935	der	Nikolaustag	Nikolaustage	St. Nicholas' Day	-	-
12936	das	Nordlicht	Nordlichter	northern light	-	-
12937	die	Obdachlosigkeit	Obdachlosigkeiten	homelessness	-	-
12938	die	Oberschicht	Oberschichten	upper class/upper stratum	-	-
12939	der	Oberstaatsanwalt	Oberstaatsanwälte	chief public prosecutor	-	-
12940	der	Öko	Ökos	eco/eco-friendly person	-	-
12941	der	Olivenbaum	Olivenbäume	olive tree	-	-
12942	die	Olympiade	Olympiaden	Olympiad/Olympics	-	-
12943	das	Opioid	Opioide	opioid	-	-
12944	der	Optionsschein	Optionsscheine	warrant	-	-
12945	die	Ortung	Ortungen	localisation	-	-
12946	das	Ostufer	Ostufer	east bank/east shore	-	-
12947	die	Parkbank	Parkbänke	park bench	-	-
12948	der	Parlamentspräsident	Parlamentspräsidenten	president of parliament	-	weak
12949	die	Parodontologie	—	periodontology	-	-
12950	der	Passus	Passus	passage	-	-
12951	der	Pfiff	Pfiffe	whistle	-	-
12952	der	Pflasterstein	Pflastersteine	cobblestone/flagstone/paving stone	-	-
12953	die	Pfütze	Pfützen	pool/puddle	-	-
12954	der	Pharmakonzern	Pharmakonzerne	pharmaceutical company	-	-
1704	die	Physiotherapeutin	Physiotherapeutinnen	therapist	A1	-
12956	das	Piercing	Piercings	piercing	-	-
12957	die	Pilgerreise	Pilgerreisen	pilgrimage	-	-
12958	die	Pinzette	Pinzetten	tweezers	-	-
8640	der	Plural	Plurale	plural	A1	-
12960	das	Polieren	—	polishing	-	-
12961	das	Polizeigesetz	Polizeigesetze	police act	-	-
1706	das	Präfix	Präfixe	prefix	A1	-
12963	die	Preissenkung	Preissenkungen	price reduction	-	-
12964	die	Presseerklärung	Presseerklärungen	press release	-	-
12965	die	Privatsammlung	Privatsammlungen	private collection	-	-
12966	die	Projektmanagerin	Projektmanagerinnen	project manager	-	-
12967	der	Prolog	Prologe	prolog/prologue	-	-
12968	die	Prosa	—	prose	-	-
12969	das	Provisorium	Provisorien	temporary arrangement/makeshift	-	-
8763	der	Publikumsmagnet	Publikumsmagnete	crowd-puller/crowd magnet	C1	-
3205	der	Pudding	Puddinge	blancmange/pudding	B1	-
12972	der	Punsch	Punsche	punch	-	-
12973	das	Puppenhaus	Puppenhäuser	doll's house	-	-
12974	die	Qualitätsstufe	Qualitätsstufen	quality level	-	-
7598	die	Qualle	Quallen	jellyfish	B2	-
12976	der	Quartalsbericht	Quartalsberichte	quarterly report	-	-
12977	die	Quere	—	way (in 'in die Quere kommen')	-	-
12978	das	Radon	—	radon	-	-
12979	der	Radwanderweg	Radwanderwege	bicycle trail	-	-
12980	der	Rasierer	Rasierer	razor/shaver	-	-
12981	die	Räumungsklage	Räumungsklagen	eviction lawsuit	-	-
12982	die	Rebfläche	Rebflächen	vineyard	-	-
12983	der	Rechenschaftsbericht	Rechenschaftsberichte	accountability report/statement of accounts	-	-
12984	die	Redensart	Redensarten	idiom/locution/saying	-	-
12985	der	Reigen	Reigen	round dance	-	-
12986	die	Reiserücktrittsversicherung	Reiserücktrittsversicherungen	trip cancellation insurance	-	-
12987	das	Rekordhoch	Rekordhochs	record high	-	-
12988	die	Religionspädagogik	—	religious pedagogics/religious pedagogy	-	-
12989	die	Repräsentanz	Repräsentanzen	representative office/representation	-	-
7599	die	Resignation	Resignationen	resignation	B2	-
12991	der	Rocker	Rocker	biker/rocker	-	-
12992	das	Rodeln	—	luge/sledding	-	-
12993	der	Rohstoffpreis	Rohstoffpreise	commodity price/price/raw materials	-	-
12994	die	Rollo	Rollos	roller blind	-	-
12995	der	Rosenmontag	Rosenmontage	Rose Monday (Carnival)	-	-
12996	der	Rosmarin	—	rosemary	-	-
12997	der	Rothirsch	Rothirsche	red deer	-	-
12998	die	Rückbank	Rückbänke	back seat/rear seat	-	-
12999	die	Rückbesinnung	Rückbesinnungen	reflection/recollection	-	-
13000	das	Rückenproblem	Rückenprobleme	back problem	-	-
13001	der	Rücksitz	Rücksitze	back seat	-	-
13002	der	Rückzugsraum	Rückzugsräume	retreat space/safe space	-	-
13003	der	Rummel	—	bustle/fair/fairground	-	-
13004	die	Saat	Saaten	seed/seedlings/sowing	-	-
13005	der	Samba	Sambas	samba	-	-
13006	der	Schallschutz	—	sound insulation/noise protection	-	-
13007	die	Schanze	Schanzen	ski jump/ramp	-	-
13008	der	Schaulustige	Schaulustigen	onlooker/rubberneck	-	adjNoun
4603	der	Scheibenwischer	Scheibenwischer	windscreen wiper/windshield wiper/wiper	C1	-
13010	die	Schießerei	Schießereien	gunfight/shooting/shootout	-	-
13011	die	Schlachtung	Schlachtungen	slaughter	-	-
13012	die	Schlägerei	Schlägereien	brawl/fight/fighting	-	-
13013	der	Schleier	Schleier	veil	-	-
13014	die	Schlinge	Schlingen	noose/sling/snare	-	-
13015	der	Schlüsselfaktor	Schlüsselfaktoren	key factor	-	-
13016	die	Schlüsselübergabe	Schlüsselübergaben	key handover	-	-
13017	das	Schmelzen	—	melting	-	-
13018	der	Schneeschuh	Schneeschuhe	snowshoe	-	-
13019	der	Schotten	—	Scots/the Scottish	-	-
8765	der	Schrei	Schreie	call/cry/shout	C1	-
13021	das	Schreien	—	screaming	-	-
13022	die	Schriftsprache	Schriftsprachen	literary language/standard language/written language	-	-
13023	die	Schulordnung	Schulordnungen	school rules/school regulations	-	-
13024	das	Schultergelenk	Schultergelenke	shoulder joint	-	-
3657	die	Schuluniform	Schuluniformen	school uniform	A2	-
13026	der	Schutzstreifen	Schutzstreifen	protective strip/advisory cycle lane	-	-
13027	der	Schwachsinn	—	folly/mental deficiency/nonsense	-	-
