rank	article	word	plural	english	cefr	flags
24657	die	Krisensituation	Krisensituationen	crisis situation	-	-
24658	die	Kulturpolitik	Kulturpolitiken	cultural politics	-	-
24659	die	Kundengruppe	Kundengruppen	client group	-	-
24660	die	Kunstschule	Kunstschulen	art school	-	-
24661	der	Kunstunterricht	—	art lessons	-	-
8672	die	Kurzform	Kurzformen	short form/abbreviation	A1	-
24662	das	Kuscheltier	Kuscheltiere	plush toy/plushie/stuffed animal	-	-
24663	das	Ladekabel	Ladekabel	charging cable	-	-
24664	das	Landesarbeitsgericht	Landesarbeitsgerichte	regional labor court	-	-
24665	die	Landesliste	Landeslisten	state list	-	-
24666	der	Lehrerberuf	Lehrerberufe	teaching profession	-	-
24667	die	Leiterplatte	Leiterplatten	printed circuit board	-	-
24668	der	Lernfortschritt	Lernfortschritte	learning progress	-	-
24669	das	Leuchtmittel	Leuchtmittel	illuminant	-	-
24670	die	Lilie	Lilien	lily	-	-
24671	der	Lobbyist	Lobbyisten	lobbyist	-	weak
24672	die	Losung	Losungen	bible quote/droppings/password	-	-
8674	das	Lotto	Lottos	lotto/sweapstakes	C1	-
24673	der	Luftangriff	Luftangriffe	airstrike	-	-
24674	die	Luftreinhaltung	—	air pollution control/air quality control	-	-
8677	die	Machenschaft	Machenschaften	machination	C1	-
3132	die	Malerin	Malerinnen	painter	A2	-
24676	die	Maut	Mauten	toll	-	-
24677	das	Mehr	—	plus	-	-
24678	die	Menschheitsgeschichte	—	history of humanity/human history	-	-
4544	die	Metapher	Metaphern	metaphor	C1	-
8683	die	Metzgerei	Metzgereien	butcher's	A1	-
24680	das	Microsoft	—	Microsoft	-	-
24681	der	Mini	Minis	mini	-	-
24682	das	Mitgliedsland	Mitgliedsländer	member country/member state	-	-
24683	der	Mittwochmorgen	Mittwochmorgen	Wednesday morning	-	-
24684	das	Modehaus	Modehäuser	fashion house	-	-
24685	das	Monument	Monumente	monument	-	-
3133	die	Müllabfuhr	Müllabfuhren	garbage collection/waste collection	A2	-
24687	die	Nachbildung	Nachbildungen	replica/reproduction	-	-
24688	der	Nachrichtendienst	Nachrichtendienste	intelligence agency/news agency	-	-
24689	der	Nachtschwärmer	Nachtschwärmer	night owl	-	-
24690	die	Nachwelt	—	posterity	-	-
24691	die	Nachzahlung	Nachzahlungen	back payment/subsequent payment	-	-
24692	die	Nanopartikel	Nanopartikel	nanoparticle	-	-
24693	das	Naturdenkmal	Naturdenkmale	natural monument	-	-
24694	die	Netzhaut	Netzhäute	retina	-	-
24695	der	Neubürger	Neubürger	new citizen/resident	-	-
3134	der	Nichtraucher	Nichtraucher	non-smoker/nonsmoker	B1	-
24697	das	Nichts	Nichtse	nothing/nothingness	-	-
24698	die	Ölheizung	Ölheizungen	oil heating	-	-
24699	der	Ölpreis	Ölpreise	oil price	-	-
24700	das	Ornament	Ornamente	ornament	-	-
24701	das	Östrogen	Östrogene	oestrogen/œstrogen	-	-
24702	die	Parodontitis	Parodontitiden	periodontitis/pyorrhea	-	-
24703	der	Parteitag	Parteitage	party congress	-	-
24704	die	Partnersuche	Partnersuchen	search for a partner	-	-
24705	die	Patin	Patinnen	godmother	-	-
24706	das	Pellet	Pellets	pellet	-	-
24707	der	Personenverkehr	—	passenger traffic	-	-
24708	der	Plattenspieler	Plattenspieler	gramophone/record player	-	-
24709	der	Populist	Populisten	populist	-	weak
24710	der	Portugiese	Portugiesen	Portuguese	-	weak
24711	der	Praxistest	Praxistests	practical test	-	-
24712	die	Preissteigerung	Preissteigerungen	price increase	-	-
24713	das	Pressegespräch	Pressegespräche	conversation with the press/press briefing	-	-
24714	die	Priorisierung	Priorisierungen	precedence/priority	-	-
8719	die	Produktionskosten	Produktionskosten	production costs	C1	-
