rank	word	english	cefr	flags
7001	purpurfarben	purple	-	-
7002	purpurrot	crimson/purplish-red	-	-
7003	quadrivalent	quadrivalent	-	-
7004	qualitätsbewusst	quality conscious/quality-conscious	-	-
7005	quietschbunt	garishly colourful	-	-
7006	rabiat	rough/ruthless	-	-
7007	radikalisch	radical/radically	-	-
7008	rahmig	creamy	-	-
7009	räudig	mangy/mean/scabby	-	-
7010	rautenförmig	lozenge-shaped/rhombic	-	-
7011	rebellierend	contesting	-	-
7012	redegewandt	articulate	-	-
7013	reflexhaft	reflex-like	-	-
7014	regellos	irregular/ruleless	-	-
7015	regierbar	governable/manageable	-	-
7016	regierungsfähig	capable of government	-	-
7017	regimetreu	loyal to the regime	-	-
7018	regressiv	regressive	-	-
7019	reichverziert	richly decorated	-	-
7020	reinlich	neat	-	-
7021	resignativ	resigned	-	-
7022	restaurativ	restorative	-	-
7023	retikulär	reticular	-	-
7024	risikobereit	risk-taking	-	-
7025	risikoscheu	risk-averse	-	-
7026	rohstoffarm	lacking in raw materials/resource-poor	-	-
7027	rostrot	auburn	-	-
7028	rückhaltlos	unreserved/unreservedly	-	-
7029	russlanddeutsch	Russia-German/Russian-German	-	-
7030	sacht	careful/gentle/soft	-	-
7031	sackartig	sack-shaped	-	-
7032	sadistisch	sadistic	-	-
7033	salisch	salic	-	-
7034	sardisch	Sardinian	-	-
7035	sauerstoffhaltig	containing oxygen	-	-
7036	säulenartig	columnar	-	-
7037	säurehaltig	containing acid	-	-
7038	schablonenhaft	stereotyped/formulaic	-	-
7039	schaffbar	achievable	-	-
7040	scharfzüngig	sharp-tongued	-	-
7041	schaufelförmig	scoop-shaped	-	-
7042	scheibenförmig	disc-shaped	-	-
7043	scheinheilig	hypocritical/sanctimonious	-	-
7044	schiedsrichterlich	referee/arbitral	-	-
7045	schienengebunden	rail-bound	-	-
7046	schlafähnlich	sleep-like	-	-
7047	schlampig	careless/slipshot/sloppy	-	-
7048	schlängelnd	meandering/sidling/winding	-	-
7049	schmucklos	plain/unadorned	-	-
7050	schneebehangen	snow-covered	-	-
7051	schnieke	dressy/great/snazzy	-	-
7052	schnulzig	cheesy/sentimental	-	-
7053	schrottreif	fit for the scrapyard	-	-
7054	schulterfrei	strapless	-	-
7055	schulterlang	shoulder-length	-	-
7056	schulterzuckend	shrugging	-	-
7057	schusselig	absent-minded	C1	-
7058	schwarzhumorig	black-humoured	-	-
7059	schwärzlich	blackish	-	-
7060	schwarzweiß	black-and-white	-	-
7061	schweigsam	silent/taciturn	-	-
7062	schweißgebadet	drenched in sweat	-	-
7063	schwerreich	filthy rich	-	-
7064	schwielig	calloused	-	-
7065	sechsgeschossig	six-storey	-	-
7066	sechsmalig	six-time/sixfold	-	-
7067	sechssemestrig	six-semester	-	-
7068	seeseitig	lakeside/seaside	-	-
7069	seiden	silk/silken	-	-
7070	seidenweich	silky-soft	-	-
7071	sekündlich	second by second	-	-
7072	selbstbezüglich	self-referential	-	-
7073	selbstgebraut	home-brewed/homebrewed	-	-
7074	selbstgenäht	self-sewn	-	-
7075	selbstherrlich	autocratic/autocratical/autocratically	-	-
7076	selbstzerstörerisch	self-destructive	-	-
7077	semiotisch	semiotic	-	-
7078	septisch	septic	-	-
7079	serifenlos	sanserif	-	-
7080	sichelförmig	crescent-shaped	-	-
7081	siebenstöckig	seven-storey	-	-
7082	siebenstufig	seven-step	-	-
7083	siebenstündig	seven-hour	-	-
7084	simbabwisch	Zimbabwean	-	-
7085	sinnfrei	absurd/futile/meaningless	-	-
7086	solid	solid/sturdy	-	-
7087	spannungsfrei	free of suspense	-	-
7088	spassig	fun	-	-
7089	spätabendlich	late-evening	-	-
7090	spendabel	generous	-	-
7091	spezial	special	-	-
7092	sprachgeschichtlich	linguistic-historical	-	-
7093	sprachgewandt	eloquent	-	-
7094	spruchreif	definite/official	-	-
7095	staatenbildend	state-forming/colonial (insects)	-	-
7096	staatsgefährdend	endangering the state	-	-
7097	stadtbremisch	Bremen city	-	-
7098	stahlblau	steel blue	-	-
7099	stahlhart	steel-hard	-	-
7100	startberechtigt	eligible to start	-	-
7101	statthaft	allowed	-	-
7102	sterisch	steric	-	-
7103	stichprobenhaft	by random sample	-	-
7104	stirnrunzelnd	frowning	-	-
7105	stocksteif	stiff as a board	-	-
7106	stoßartig	abrupt/jerky	-	-
7107	strafmündig	criminally liable/of age for criminal responsibility	-	-
7108	strahlenförmig	actinoid/radial	-	-
7109	strandnah	beach/close/near	-	-
7110	stressresistent	stress-resistant	-	-
7111	stupide	stupid/mindless	-	-
7112	submukös	submucous	-	-
7113	suchtbedingt	conditioned by addiction	-	-
7114	suchtpräventiv	addiction-preventive	-	-
7115	südenglisch	southern English	-	-
7116	südindisch	South Indian	-	-
7117	süditalienisch	South Italian	-	-
7118	süffisant	smug	-	-
7119	sumerisch	Sumerian	-	-
7120	supertoll	super great	-	-
7121	synästhetisch	synaesthetic	-	-
7122	synkretistisch	syncretistic	-	-
7123	synoptisch	synoptic/synoptical	-	-
7124	syntaktisch	syntactic/syntactical/syntactically	-	-
7125	szenetypisch	typical of the scene	-	-
7126	tadschikisch	Tajik	-	-
7127	taggleich	same-day	-	-
7128	taghell	as bright as day	-	-
7129	talentfrei	ungifted	-	-
7130	tasmanisch	Tasmanian	-	-
7131	teilnahmslos	apathetic/impassive/indifferent	-	-
7132	tellergroß	plate-sized	-	-
7133	temperaturbeständig	heat-resistant/temperature-resistant/thermoresistant	-	-
7134	terminal	terminal	-	-
7135	terrassenförmig	terraced/terrace-shaped	-	-
7136	theokratisch	theocratic	-	-
7137	therapieresistent	treatment-resistant	-	-
7138	todsicher	dead sure	-	-
7139	tolerabel	tolerable	-	-
7140	tollkühn	daredevil/temerarious	-	-
7141	topfit	in top form	-	-
7142	töricht	foolish	-	-
7143	totgeboren	stillborn	-	-
7144	traditionalistisch	traditionalistic	-	-
7145	trägerlos	strapless	-	-
7146	trainingswissenschaftlich	sports-science-related	-	-
7147	tränenreich	lachrymose/tearful/teary	-	-
7148	transitiv	transitive	-	-
7149	transregional	transregional	-	-
7150	transzendent	transcendental	-	-
7151	tribal	tribal	-	-
7152	trigonometrisch	trigonometric/trigonometrical	-	-
7153	trinkbar	drinkable/potable	-	-
7154	turkmenisch	Turkmen	-	-
7155	tyrannisch	tyrannical	-	-
7156	überreif	overripe	-	-
7157	überrumpelt	caught off guard	-	-
7158	übersättigt	supersaturated	-	-
7159	überspannt	overwrought/high-strung/exaggerated	-	-
7160	überwindbar	superable/surmountable	-	-
7161	ulkig	funny/odd/peculiar	-	-
7162	ultranationalistisch	ultranationalist	-	-
7163	umgänglich	affable/affably/agreeable	-	-
7164	umseitig	overleaf	-	-
7165	umstandslos	without further ado/without fuss	-	-
7166	unabänderlich	unchangeable	-	-
7167	unanständig	indecent	-	-
7168	unausgegoren	half-baked	-	-
7169	unbeheizt	unheated	-	-
7170	unbeobachtet	unobserved	-	-
7171	unbescholten	integer/spotless	-	-
7172	unbesiedelt	uninhabited	-	-
