rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
1401	herkommen	irregular	kam her	hergekommen	sein	come/derive/originate	-
1402	hingehen	irregular	ging hin	hingegangen	sein	go	-
1403	kühlen	regular	-	-	UNSET	cool/refrigerate	-
1404	restaurieren	regular	-	-	UNSET	restore	B2
1405	schweigen	irregular	schwieg	geschwiegen	haben	be silent/keep a secret/keep quiet	B1
1406	streben	regular	-	-	UNSET	strive	C1
1407	verabreichen	regular	-	-	UNSET	administer/give	-
1408	zurückhalten	irregular	hielt zurück	zurückgehalten	haben	hold back/hold back on sth./hold off	B2
1409	abfahren	irregular	fuhr ab	abgefahren	sein	depart/leave/remove	A1
1410	anlehnen	regular	-	-	UNSET	lean against/model on	C1
1411	bestärken	regular	-	-	UNSET	encourage	C1
1412	beziffern	regular	-	-	UNSET	amount to/come to/estimate	-
1413	ergattern	regular	-	-	UNSET	get hold of	-
1414	kippen	regular	-	-	UNSET	cant/overturn/tilt	-
1415	spalten	irregular	spaltete	gespalten	haben	cleave/split	-
1416	verfehlen	regular	-	-	UNSET	fail/miss	-
1417	auffüllen	regular	-	-	UNSET	fill up/refill/replenish	-
1418	durchbrechen	irregular	brach durch	durchgebrochen	sein	appear/break in two/break through	-
1419	herausfordern	regular	-	-	UNSET	challenge/provoke	-
1420	lauern	regular	-	-	UNSET	lie in wait/lurk/watch	-
1421	mobilisieren	regular	-	-	UNSET	mobilise/stimulate	-
1422	scheiden	irregular	schied	geschieden	haben	divorce/separate	B1
1423	stillen	regular	-	-	UNSET	allay/breastfeed/calm	-
1424	verborgen	regular	-	-	UNSET	hidden	C1
1425	vergüten	regular	-	-	UNSET	compensate	-
1426	verhängen	regular	-	-	UNSET	impose/decree	C1
1427	zuschreiben	irregular	schrieb zu	zugeschrieben	haben	add by writing/ascribe/attribute	-
1428	zusehen	irregular	sah zu	zugesehen	haben	make sure/watch	C1
1429	anlaufen	irregular	lief an	angelaufen	sein	start up/begin	-
1430	anstecken	regular	-	-	UNSET	attach/become infected/broach	C1
1431	beilegen	regular	-	-	UNSET	attach/resolve/settle	-
1432	checken	regular	-	-	UNSET	check	A2
1433	ertragen	irregular	ertrug	ertragen	haben	bear/endure/take	B2
1434	kalkulieren	regular	-	-	UNSET	calculate/compute/figure	-
1435	täuschen	regular	-	-	UNSET	be mistaken/deceive/delude	-
1436	umgestalten	regular	-	-	UNSET	alter/rearrange/redesign	B2
1437	verfeinern	regular	-	-	UNSET	refine	-
1438	voranschreiten	irregular	schritt voran	vorangeschritten	sein	progress	-
1439	züchten	regular	-	-	UNSET	breed/cultivate	C1
1440	antun	irregular	tat an	angetan	haben	cause/do/dress	-
1441	ausgestalten	regular	-	-	UNSET	decorate/develop	-
1442	eindämmen	regular	-	-	UNSET	stem	-
1443	erachten	regular	-	-	UNSET	consider/deem	B2
1444	gutschreiben	irregular	schrieb gut	gutgeschrieben	haben	credit	-
1445	klarmachen	regular	-	-	UNSET	to get ready (a ship)/to make clear	B2
1446	mahnen	regular	-	-	UNSET	admonish/dun/exhort	-
1447	rekonstruieren	regular	-	-	UNSET	reconstruct	C1
1448	schnappen	regular	-	-	UNSET	catch/snap/snatch	B2
1449	zuschauen	regular	-	-	UNSET	watch	B1
1450	dringen	irregular	drang	gedrungen	sein	insist/penetrate	-
1451	einwirken	regular	-	-	UNSET	affect/appeal/influence	-
1452	erben	regular	-	-	UNSET	inherit	B2
1453	erstrahlen	regular	-	-	UNSET	glitter/shine/sparkle	-
1454	grenzen	regular	-	-	UNSET	border on	-
1455	protestieren	regular	-	-	UNSET	protest	B1
1456	säubern	regular	-	-	UNSET	clean	-
1457	schnuppern	regular	-	-	UNSET	get a taste of/sniff	-
1458	schwächen	regular	-	-	UNSET	weaken	-
1459	umsehen	irregular	sah um	umgesehen	haben	browse/look around	A2
1460	verunsichern	regular	-	-	UNSET	unsettle	B2
1461	wehen	regular	-	-	UNSET	blow/drift/waft	C1
1462	wiederkommen	irregular	kam wieder	wiedergekommen	sein	come back	-
1463	würzen	regular	-	-	UNSET	flavour/season	C1
1464	abgehen	irregular	ging ab	abgegangen	sein	come off/depart/be missing	C1
1465	abwenden	irregular	wandte ab	abgewandt	haben	avert/turn away/turn away from	-
1466	anschreiben	irregular	schrieb an	angeschrieben	haben	write/write down	-
1467	aushandeln	regular	-	-	UNSET	negotiate	C1
1468	einwilligen	regular	-	-	UNSET	consent/agree	-
1469	gastieren	regular	-	-	UNSET	perform as a guest	-
1470	paaren	regular	-	-	UNSET	couple/mate	-
1471	radeln	regular	-	-	UNSET	bike/cycle/ride a bicycle	-
1472	spinnen	irregular	spann	gesponnen	haben	be crazy/spin	C1
1473	symbolisieren	regular	-	-	UNSET	symbolise	-
