rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
4201	uniformieren	regular	-	-	UNSET	dress in uniform; standardize	-
4202	unterminieren	regular	-	-	UNSET	undermine	-
4203	verbarrikadieren	regular	-	-	UNSET	barricade	-
4204	verbraten	irregular	verbriet	verbraten	haben	squander/use up; fry	-
4205	verchromen	regular	-	-	UNSET	chromium-plate	-
4206	verfünffachen	regular	-	-	UNSET	increase fivefold/quintuple	-
4207	vergeigen	regular	-	-	UNSET	bungle/mess up	-
4208	verhehlen	regular	-	-	UNSET	conceal	-
4209	verklären	regular	-	-	UNSET	brighten up/glorify/liven up	-
4210	verlanden	regular	-	-	UNSET	silt up	-
4211	verleimen	regular	-	-	UNSET	bond/glue	-
4212	verquirlen	regular	-	-	UNSET	whisk	-
4213	verramschen	regular	-	-	UNSET	sell off cheaply	-
4214	versiegen	regular	-	-	UNSET	run dry	-
4215	verwehen	regular	-	-	UNSET	blow away	-
4216	verwirken	regular	-	-	UNSET	forfeit	-
4217	vorsortieren	regular	-	-	UNSET	presort	-
4218	vortreten	irregular	trat vor	vorgetreten	sein	advance	-
4219	voten	regular	-	-	UNSET	vote	-
4220	walken	regular	-	-	UNSET	knead/full (textiles)	-
4221	walzen	regular	-	-	UNSET	mill/roll	-
4222	wegblasen	irregular	blies weg	weggeblasen	haben	blow away	-
4223	weismachen	regular	-	-	UNSET	make believe/persuade	C1
4224	weiterfliegen	irregular	flog weiter	weitergeflogen	sein	continue one's flight/fly on	-
4225	witzeln	regular	-	-	UNSET	joke	-
4226	würgen	regular	-	-	UNSET	choke/gag/retch	-
4227	wuseln	regular	-	-	UNSET	scurry	-
4228	zelten	regular	-	-	UNSET	camp	B1
4229	zerlassen	irregular	zerließ	zerlassen	haben	melt	-
4230	zermürben	regular	-	-	UNSET	wear down	-
4231	zerschießen	irregular	zerschoss	zerschossen	haben	brick/hose/shoot	-
4232	zerschmettern	regular	-	-	UNSET	shatter/smash	-
4233	zerstückeln	regular	-	-	UNSET	dismember	-
4234	zukleistern	regular	-	-	UNSET	cover/plaster	-
4235	zurückerlangen	regular	-	-	UNSET	regain	-
4236	zurücktragen	irregular	trug zurück	zurückgetragen	haben	carry back	B2
4237	zusammenrufen	irregular	rief zusammen	zusammengerufen	haben	call together/convene/summon	-
4238	zusammenschreiben	irregular	schrieb zusammen	zusammengeschrieben	haben	write as one word/compile	B2
4239	zusammenwerfen	irregular	warf zusammen	zusammengeworfen	haben	lump together/pool/throw together	-
4240	abatmen	regular	-	-	UNSET	exhale	-
4241	abbaggern	regular	-	-	UNSET	excavate	-
4242	abbeißen	irregular	biss ab	abgebissen	haben	bite off	-
4243	abblättern	regular	-	-	UNSET	flake off/peel/peel off	-
4244	abblenden	regular	-	-	UNSET	dim/dip/stop down	-
4245	abbröckeln	regular	-	-	UNSET	crumble away/ease off	-
4246	abdreschen	irregular	drosch ab	abgedroschen	haben	thresh; overuse	-
4247	abernten	regular	-	-	UNSET	harvest/pick	-
4248	abfrieren	irregular	fror ab	abgefroren	sein	freeze off	-
4249	abhärten	regular	-	-	UNSET	harden/harden oneself/toughen	-
4250	abhusten	regular	-	-	UNSET	cough up/expectorate	-
4251	abisolieren	regular	-	-	UNSET	skin/strip	-
4252	abkacken	regular	-	-	UNSET	crash/die/pass out	-
4253	abklappern	regular	-	-	UNSET	canvass	-
4254	ablecken	regular	-	-	UNSET	lick clean/lick off	-
4255	abmähen	regular	-	-	UNSET	mow/scythe	-
4256	abnötigen	regular	-	-	UNSET	extort/wring out	-
4257	abrasieren	regular	-	-	UNSET	raze/shave off	-
4258	abspulen	regular	-	-	UNSET	reel off/unwind	-
4259	abstillen	regular	-	-	UNSET	wean	-
4260	abteilen	regular	-	-	UNSET	divide/group/hyphenate	-
4261	abtörnen	regular	-	-	UNSET	turn somebody off	-
4262	abzäunen	regular	-	-	UNSET	fence off	-
4263	abzwacken	regular	-	-	UNSET	cut off/pinch off	-
4264	adjustieren	regular	-	-	UNSET	adjust/issue	-
4265	akkumulieren	regular	-	-	UNSET	accumulate	-
4266	alternieren	regular	-	-	UNSET	alternate	-
4267	amalgamieren	regular	-	-	UNSET	amalgamate	-
4268	anbeißen	irregular	biss an	angebissen	haben	accept/bite/buy into	-
4269	anbellen	regular	-	-	UNSET	bark at	-
4270	anhaken	regular	-	-	UNSET	hook/tick off	-
4271	anlächeln	regular	-	-	UNSET	smile at	-
4272	anlachen	regular	-	-	UNSET	smile at	-
4273	annotieren	regular	-	-	UNSET	annotate	-
4274	anschleichen	irregular	schlich an	angeschlichen	haben	come sneaking up/creep up on	-
4275	anschwärzen	regular	-	-	UNSET	blacken/denigrate	-
4276	anstupsen	regular	-	-	UNSET	nudge/poke	-
4277	argwöhnen	regular	-	-	UNSET	suspect	-
4278	arrondieren	regular	-	-	UNSET	round off/consolidate	-
4279	assimilieren	regular	-	-	UNSET	assimilate	-
4280	aufbahren	regular	-	-	UNSET	lay out	-
4281	aufbauschen	regular	-	-	UNSET	billow/blow up/exaggerate	-
4282	aufblinken	regular	-	-	UNSET	flash	-
4283	aufbrezeln	regular	-	-	UNSET	dress up/doll up	-
4284	auffädeln	regular	-	-	UNSET	string together/thread together	-
4285	aufnähen	regular	-	-	UNSET	patch/sew	-
4286	aufplatzen	regular	-	-	UNSET	burst	-
4287	aufprägen	regular	-	-	UNSET	emboss/imprint on/stamp	-
4288	aufprallen	regular	-	-	UNSET	crash into/collide with/bounce off	-
4289	aufschwimmen	irregular	schwamm auf	aufgeschwommen	haben	float up; aquaplane	-
4290	aufstöhnen	regular	-	-	UNSET	groan	-
4291	aufstreben	regular	-	-	UNSET	aspire	-
4292	auftreffen	irregular	traf auf	aufgetroffen	haben	hit/impinge/strike	-
