rank	word	english	cefr	flags
1	neu	new	A1	-
2	gut	good	A1	-
3	groß	big/large/tall	A1	-
4	weiter	further	A1	-
5	deutsch	German	A1	-
6	eigen	own	-	-
7	klein	small/little	A1	-
8	gemeinsam	common/shared/joint	A2	-
9	verschieden	different/various	A1	-
10	aktuell	current	A1	-
11	wichtig	important	A1	-
12	hoch	high/tall	A1	-
13	schnell	fast/quick	A1	-
14	direkt	direct	A1	-
15	letzt	last	-	-
16	möglich	possible	A1	-
17	zusätzlich	additional	B1	-
18	alt	old	A1	-
19	richtig	correct/right	A1	-
20	international	international	A1	-
21	besser	better	A1	-
22	erst	first	A2	-
23	genau	exact/precise	A1	-
24	besonder	special/particular	-	-
25	entsprechend	corresponding/accordingly	B2	-
26	kurz	short/brief	A1	-
27	jung	young	A1	-
28	unterschiedlich	different/varying	A2	-
29	nächst	next	-	-
30	ganz	whole/entire/quite	A1	-
31	lang	long	A1	-
32	stark	strong	A2	-
33	persönlich	personal	A1	-
34	digital	digital	B1	-
35	zahlreich	numerous	B1	-
36	öffentlich	public	A2	-
37	europäisch	European	A1	-
38	einzeln	individual/single	A2	-
39	deutlich	clear/distinct	A2	-
40	sozial	social	A2	-
41	erfolgreich	successful	A2	-
42	bestimmt	certain/specific	A1	-
43	frei	free	A1	-
44	technisch	technical	B1	-
45	einfach	simple/easy	A1	-
46	häufig	frequent/common	A2	-
47	individuell	individual	A1	-
48	schön	beautiful/nice	A1	-
49	später	later	A1	-
50	regelmäßig	regular	A1	-
51	leicht	light/easy	A1	-
52	sicher	safe/certain/sure	A1	-
53	gesamt	total/entire	B2	-
54	wirklich	real/really	A1	-
55	jeweilig	respective	B2	-
56	politisch	political	B1	-
57	offen	open	A2	-
58	modern	modern	A2	-
59	zentral	central	A1	-
60	bekannt	well-known/famous	A1	-
61	vergangen	past/last	B2	-
62	speziell	special	B1	-
63	gleichzeitig	simultaneous	B1	-
64	anschließend	following	A2	-
65	aktiv	active	A1	-
66	früh	early	A1	-
67	weit	far/wide	A1	-
68	weltweit	worldwide/global	A2	-
69	kostenlos	free (of charge)	A2	-
70	privat	private	A2	-
71	sogenannt	so-called	B2	-
72	schwer	heavy/difficult	A1	-
73	allgemein	general	A2	-
74	nachhaltig	sustainable	B2	-
75	passend	suitable/fitting	A1	-
76	gesetzlich	legal/statutory	B2	-
77	klar	clear	A1	-
78	grundsätzlich	fundamental/in principle	B2	-
79	tatsächlich	actual/actually	A1	-
80	praktisch	practical	A1	-
81	positiv	positive	A1	-
82	täglich	daily	A1	-
83	konkret	concrete	B2	-
84	wissenschaftlich	scientific	B2	-
85	voll	full	A1	-
86	gleich	equal/same	A1	-
87	folgend	following	B1	-
88	jährlich	annual/yearly	A2	-
89	historisch	historic/historical	B1	-
90	toll	great/awesome	A1	-
91	künftig	future/upcoming	C1	-
92	interessant	interesting	A1	-
93	zuständig	responsible	B1	-
94	regional	regional	B1	-
95	beruflich	professional/occupational	A2	-
96	komplett	complete	A2	-
97	wesentlich	essential/significant	B2	-
98	spannend	exciting	A2	-
99	vielfältig	diverse/varied	B2	-
100	notwendig	necessary	A2	-
101	günstig	cheap/favourable	A1	-
102	kommend	coming/upcoming	-	-
103	bayerisch	Bavarian	-	-
104	klassisch	classic/classical	C1	-
105	vorhanden	available/existing	B2	-
106	eng	narrow/close/tight	A2	-
107	ehemalig	former	B2	-
108	optimal	optimal	B2	-
109	selten	rare/seldom	A1	-
110	ähnlich	similar	A1	-
