rank	article	word	plural	english	cefr	flags
8574	der	Fanartikel	Fanartikel	fan merchandise	A2	-
8575	die	Fanseite	Fanseite	fan page	A2	-
8576	der	Klettergurt	Klettergurt	climbing harness	A2	-
8577	die	Kletterin	Kletterinnen	climber	A2	-
8578	die	Eishöhle	Eishöhlen	ice cave	A2	-
8579	die	Wortfamilie	Wortfamilie	word family	A2	-
8580	das	Kitesurfen	None	kitesurfing	A2	-
8582	die	Ferienwohnung	Ferienwohnungen	holiday flat	A2	-
8583	die	Wagenburg	Wagenburgen	wagon fort/wagon laager	A2	-
8584	der	Lampion	Lampions	lantern	A2	-
8585	das	Positionsverb	Positionsverb	position verb	A2	-
8586	das	Richtungsverb	Richtungsverb	directional verb	A2	-
8587	die	Nebenkosten	Nebenkosten	ancillary costs	A2	pluraleTantum
8588	der	Satzakzent	Satzakzent	sentence accent	A2	-
8589	das	Bärchen	Bärchen	little bear	A2	-
8590	das	Hasilein	None	little bunny	A2	-
8591	der	Kosename	Kosenamen	pet name	A2	weak
8592	das	Mäuschen	Mäuschen	little mouse	A2	-
8593	das	Mausi	Mausi	mouse	A2	-
8594	der	Tiername	Tiernamen	animal name	A2	weak
8595	die	Lebenssituation	Lebenssituationen	life situation	A2	-
8596	die	Tiergeschichte	Tiergeschichte	animal story	A2	-
8597	der	Textanfang	Textanfang	beginning of the text	A2	-
8598	die	Satzhälfte	Satzhälfte	half of the sentence	A2	-
8599	der	Gegenvorschlag	Gegenvorschläge	counter-proposal	A2	-
8600	der	Arme	Arme	poor person	A2	-
8601	die	Kajaktour	Kajaktouren	kayak tour	A2	-
8602	das	Märchenschloss	Märchenschloss	fairytale castle	A2	-
8604	der	Synchronsprecher	Synchronsprecher	dubbing artist	A2	-
8605	die	Synchronsprecherin	Synchronsprecherinnen	dubbing artist	A2	-
8606	die	Wanderin	Wanderinnen	hiker	A2	-
8607	der	Festivalbesuch	Festivalbesuch	festival visit	A2	-
8608	die	AGB	AGB	terms and conditions	A2	-
8609	die	Datenschutzbestimmung	Datenschutzbestimmungen	privacy policy	A2	-
8610	der	Firmenkunde	Firmenkunde	corporate client	A2	-
8611	die	Kontaktdaten	Kontaktdaten	contact details	A2	pluraleTantum
8612	die	Rechnungsinformation	Rechnungsinformationen	invoice information	A2	-
8613	die	Sofort-Überweisung	Sofort-Überweisungen	instant bank transfer	A2	-
8614	die	Ticketwahl	None	ticket selection	A2	-
8615	die	Versandart	Versandart	shipping method	A2	-
8616	die	Zahlungsart	Zahlungsart	payment method	A2	-
8617	die	Zwischensumme	Zwischensumme	subtotal	A2	-
8618	der	Hardrock	None	hard rock	A2	-
8619	der	Pop	None	pop	A2	-
8620	der	Kunstexperte	Kunstexperten	art expert	A2	-
8621	die	Kunstexpertin	Kunstexpertinnen	art expert	A2	-
8622	die	Nachrichtensprecherin	Nachrichtensprecherinnen	newsreader	A2	-
8623	der	Radiosprecher	Radiosprecher	radio announcer	A2	-
8624	die	Radiosprecherin	Radiosprecherinnen	radio announcer	A2	-
8625	das	Relativpronomen	Relativpronomen	relative pronoun	A2	-
8626	das	Bezugswort	Bezugswörter	reference word	A2	-
8627	das	Tierbild	Tierbild	animal picture	A2	-
8630	die	Tiermalerei	Tiermalerei	animal painting	A2	-
8631	die	Bildbeschreibung	Bildbeschreibungen	image description	A2	-
25964	der	Urlaubsgruß	Urlaubsgruße	holiday greeting	-	-
25965	der	Urlaubstyp	Urlaubstypen	type of vacationer/holiday type	-	-
25966	die	Urlaubsplanung	Urlaubsplanungen	holiday planning	-	-
25967	das	Wellnesshotel	Wellnesshotels	spa hotel	-	-
25968	die	Fahrtzeit	Fahrtzeiten	travel time	-	-
25969	der	Reisebüro-Mitarbeiter	Reisebüro-Mitarbeiter	travel agent (m)	-	-
25970	die	Reisebüro-Mitarbeiterin	Reisebüro-Mitarbeiterinnen	travel agent (f)	-	-
25971	der	Skibus	Skibusse	ski bus	-	-
25972	der	Wellness-Bereich	Wellness-Bereiche	spa area	-	-
25973	die	Werbesprache	—	language of advertising	-	-
25974	das	Adverb	Adverbien	adverb	-	-
25975	die	Vergangenheitsform	Vergangenheitsformen	past tense/past form	-	-
25976	die	Geschäftsfrau	Geschäftsfrauen	businesswoman	-	-
25977	die	Chemikerin	Chemikerinnen	chemist	-	-
25978	die	Einwegflasche	Einwegflaschen	disposable bottle	-	-
25979	die	Mehrwegflasche	Mehrwegflaschen	reusable bottle	-	-
25980	das	Solarpanel	Solarpanele	solar panel	-	-
25981	der	Satzanfang	Satzanfänge	beginning of a sentence	-	-
25982	der	Herbststurm	Herbststürme	autumn storm	-	-
25983	das	Nachbardorf	Nachbardörfer	neighbouring village	-	-
25984	die	Windturbine	Windturbinen	wind turbine	-	-
25985	der	Kasus	—	case	-	-
25986	die	Ehegattin	Ehegattinnen	wife	-	-
25987	das	Tempus	Tempora	tense	-	-
25988	die	Liebesszene	Liebesszenen	love scene	-	-
25989	die	Kursstunde	Kursstunden	class session	-	-
25990	der	Ethnologe	Ethnologen	ethnologist	-	weak
25991	der	Farbstift	Farbstifte	coloured pencil	-	-
25992	das	Passiv	—	passive voice	-	-
25993	das	Garagentor	Garagentore	garage door	-	-
25994	der	Wortstamm	Wortstämme	stem	-	-
25995	die	Kaufmannsfamilie	Kaufmannsfamilien	merchant family	-	-
