rank	word	english	cefr	flags
701	tierisch	animal	C1	-
702	vorgestellt	presented	B1	-
703	optional	optional	-	-
704	konstant	constant/constantly	B2	-
705	parlamentarisch	parliamentary	C1	-
706	atemberaubend	breathtaking/jaw-dropping	C1	-
707	etwaig	possible	-	-
708	ästhetisch	aesthetic	-	-
709	didaktisch	didactic/didactical	-	-
710	eingeschränkt	limited/restricted	-	-
711	empfindlich	sensitive	C1	-
712	ewig	eternal	A2	-
713	therapeutisch	therapeutic/therapeutical	-	-
714	zeitgleich	simultaneous	C1	-
715	empfehlenswert	advisable/recommendable	B2	-
716	erstaunlich	amazing	B2	-
717	gerichtlich	judicial/court	-	-
718	indirekt	indirect	A2	-
719	informativ	informative	B2	-
720	leise	quiet/soft	A1	-
721	funktional	functional	-	-
722	gebraucht	second-hand/secondhand	A2	-
723	vertraulich	confidential	-	-
724	definiert	defined	-	-
725	dezentral	decentralised	-	-
726	sachlich	factual/objective	B2	-
727	tödlich	deadly	B1	-
728	psychologisch	psychologic/psychological	C1	-
729	zugehörig	belonging to/associated	-	-
730	erwachsen	adult/grown-up	-	-
731	gemeinschaftlich	collective/joint	C1	-
732	problematisch	problematic	B2	-
733	geheim	secret	B1	-
734	motiviert	motivated	B2	-
735	still	quiet/silent	B1	-
736	vernünftig	reasonable/sensible	B1	-
737	ausgestattet	equipped	-	-
738	befindlich	located	-	-
739	flüssig	liquid/fluent	A2	-
740	fröhlich	cheerful/happy	A2	-
741	gleichmäßig	even/regular	-	-
742	schrittweise	step-by-step	-	-
743	steil	steep	B1	-
744	verbreitet	popular	B2	-
745	bedeutsam	important/significant	B2	-
746	einstimmig	unanimous	-	-
747	überdurchschnittlich	above average/outstanding	C1	-
748	umliegend	surrounding	-	-
749	niederländisch	Dutch/netherlands	-	-
750	auswärtig	external/foreign	-	-
751	energetisch	energetic/energetically	C1	-
752	mutig	brave/courageous	B1	-
753	unerwünscht	unwanted/undesirable	-	-
754	zwischenzeitlich	in the meantime/in the meanwhile	-	-
755	beispielhaft	exemplary	C1	-
756	bloß	bare/just	B1	-
757	denkbar	conceivable/imaginable	C1	-
758	grafisch	graphic	B2	-
759	islamisch	Islamic	-	-
760	neutral	neuter/neutral	A1	-
761	satt	full/saturated	A1	-
762	ansässig	resident	-	-
763	betriebswirtschaftlich	business management	-	-
764	einseitig	onesided	C1	-
765	nachvollziehbar	comprehensible/traceable	B2	-
766	ökumenisch	ecumenical	-	-
767	schwerwiegend	serious/severe	C1	-
768	anstrengend	exhausting/demanding	A1	-
769	datenschutzrechtlich	data protection (legal)	-	-
770	erstklassig	first-class/first-rate	-	-
771	radikal	radical	B2	-
772	zusammengefasst	summarily	-	-
773	grenzüberschreitend	transnational	-	-
774	prinzipiell	on principle/principled	B2	-
775	unverändert	unchanged	B2	-
776	bar	cash/bare	A1	-
777	farbig	coloured	B1	-
778	hübsch	nice/pretty	A2	-
779	sonnig	sunny	A1	-
780	blind	blind	B1	-
781	böse	angry/evil	A1	-
782	kassenärztlich	statutory health insurance	-	-
783	unangenehm	disagreeable/nasty	B1	-
784	vegan	vegan	B1	-
785	gewaltig	enormous/immense	-	-
786	naturnah	near/close to nature	-	-
787	traurig	sad	A2	-
788	preiswert	inexpensive	A2	-
789	bürgerlich	civic/civil/bourgeois	B2	-
790	fortgeschritten	advanced	-	-
791	seelisch	emotional/psychological	-	-
792	souverän	sovereign	C1	-
793	traumhaft	fantastic/dreamlike	-	-
794	ausgiebig	extensive/thorough	-	-
795	gepflegt	well-maintained/neat	B2	-
796	legendär	legendary	C1	-
797	literarisch	literary	C1	-
798	durchgängig	consistent/continuous	-	-
799	pur	absolute/pure	C1	-
800	urban	urban	-	-
801	fleißig	diligent/hardworking	A1	-
802	ganzjährig	perennial/year-round	-	-
803	intuitiv	intuitive	C1	-
804	schädlich	damaging/harmful	A2	-
805	besetzt	occupied/busy	A1	-
806	indisch	Indian	-	-
807	tschechisch	Czech	A2	-
808	fantastisch	fantastic	A2	-
809	konservativ	conservative/tory	B1	-
810	sofortig	immediate/instant	-	-
811	wert	valued/worth	B1	-
812	eingehend	detailed/thorough	-	-
813	fehlerhaft	faulty/flawed	-	-
814	prominent	prominent	B2	-
815	redaktionell	editing/editorial	-	-
816	bemerkenswert	remarkable/noteworthy	B2	-
817	erfreulich	pleasant/pleasing	-	-
818	magisch	magic/magical	B2	-
819	unzureichend	insufficient	-	-
820	reichhaltig	abundant/rich	-	-
821	froh	glad/happy	A1	-
822	jugendlich	youthful/young	-	-
823	schick	elegant	-	-
824	zukunftsfähig	future-proof	-	-
825	hautnah	near/close to covering	C1	-
826	schwanger	pregnant	A2	-
827	alljährlich	annual/every year	-	-
828	schwedisch	Swedish	-	-
829	umstritten	controversial/disputed	B2	-
830	untersucht	probed	A2	-
831	drastisch	drastic	-	-
832	gravierend	grave/serious	C1	-
833	lebenslang	lifelong	A2	-
834	angepasst	adapted/adjusted	-	-
835	identisch	identic/identical	C1	-
836	pflanzlich	vegetable	C1	-
837	geringfügig	minor/slight	-	-
838	treu	loyal	A2	-
839	zielgerichtet	targeted/purposeful	C1	-
840	aussagekräftig	expressive/meaningful	B2	-
841	dreijährig	three-year	-	-
842	fern	far	B1	-
843	asiatisch	Asian	A1	-
844	charakteristisch	characteristic	B2	-
845	großflächig	large-scale/extensive	-	-
846	befristet	limited in time/temporary	A2	-
847	experimentell	experimental	-	-
848	humanitär	humanitarian	-	-
849	materiell	material	C1	-
850	selbstbestimmt	autonomous/self-determined	-	-
851	einheimisch	local/native	-	-
852	imposant	impressive	B2	-
853	quantitativ	quantitative	-	-
