rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
3501	picken	regular	-	-	UNSET	peck/pick	-
3502	pimpen	regular	-	-	UNSET	pimp	-
3503	protzen	regular	-	-	UNSET	show off/splurge	-
3504	punktieren	regular	-	-	UNSET	dot/puncture	-
3505	randomisieren	regular	-	-	UNSET	randomise	-
3506	raufen	regular	-	-	UNSET	scuffle/fight/tussle	-
3507	rausfliegen	irregular	flog raus	rausgeflogen	sein	be kicked out/fly out	-
3508	reinziehen	irregular	zog rein	reingezogen	haben	check out/pull in	-
3509	remisieren	regular	-	-	UNSET	draw	-
3510	retuschieren	regular	-	-	UNSET	retouch	-
3511	röten	regular	-	-	UNSET	become red/make red/redden	-
3512	schliefen	regular	-	-	UNSET	crawl into a burrow (hunting)	-
3513	schmuggeln	regular	-	-	UNSET	smuggle	-
3514	schwärzen	regular	-	-	UNSET	blacken	-
3515	sezieren	regular	-	-	UNSET	dissect	-
3516	sinnieren	regular	-	-	UNSET	ponder	-
3517	skandieren	regular	-	-	UNSET	chant	-
3518	spitzen	regular	-	-	UNSET	sharpen; prick up	-
3519	stigmatisieren	regular	-	-	UNSET	brand/stigmatise	-
3520	stottern	regular	-	-	UNSET	stutter/stammer	-
3521	stülpen	regular	-	-	UNSET	evert/pull over	-
3522	taxieren	regular	-	-	UNSET	assess/estimate/look somebody up and down	-
3523	touchieren	regular	-	-	UNSET	touch/graze	-
3524	trachten	regular	-	-	UNSET	strive	-
3525	tränken	regular	-	-	UNSET	soak/water	-
3526	träufeln	regular	-	-	UNSET	drip/trickle	-
3527	tunken	regular	-	-	UNSET	dip	-
3528	überrumpeln	regular	-	-	UNSET	take by surprise	-
3529	übertrumpfen	regular	-	-	UNSET	one-up/outdo/overtrump	-
3530	überwachsen	irregular	überwuchs	überwachsen	haben	grow all over/overgrow	-
3531	umherstreifen	regular	-	-	UNSET	roam	-
3532	umklammern	regular	-	-	UNSET	clutch onto/hold tight onto	-
3533	untersetzen	regular	-	-	UNSET	place underneath/underpin	-
3534	untervermieten	regular	-	-	UNSET	sublease/sublet	-
3535	vegetieren	regular	-	-	UNSET	vegetate	-
3536	verabscheuen	regular	-	-	UNSET	abhor/detest	-
3537	verarschen	regular	-	-	UNSET	fool/taunt/trick	-
3538	verbriefen	regular	-	-	UNSET	document/guarantee	-
3539	vereisen	regular	-	-	UNSET	freeze/freeze over/freeze up	-
3540	verlocken	regular	-	-	UNSET	entice/tempt	-
3541	vermasseln	regular	-	-	UNSET	mess up/screw up	-
3542	verprellen	regular	-	-	UNSET	alienate/scare off	-
3543	verschrotten	regular	-	-	UNSET	scrap	B1
3544	verschweißen	regular	-	-	UNSET	weld together	-
3545	verstimmen	regular	-	-	UNSET	upset/annoy; detune	-
3546	verwarnen	regular	-	-	UNSET	book/caution/warn	-
3547	verzagen	regular	-	-	UNSET	despair/lose heart	-
3548	vorgreifen	irregular	griff vor	vorgegriffen	haben	anticipate	-
3549	wegbrechen	irregular	brach weg	weggebrochen	haben	break off/lose	C1
3550	wegbringen	irregular	brachte weg	weggebracht	haben	take away	-
3551	wegwischen	regular	-	-	UNSET	wipe off	-
3552	wildern	regular	-	-	UNSET	poach	-
3553	wurzeln	regular	-	-	UNSET	be rooted/root	-
3554	zähmen	regular	-	-	UNSET	tame	-
3555	zersägen	regular	-	-	UNSET	saw up	-
3556	zubringen	irregular	brachte zu	zugebracht	haben	spend/pass time	-
3557	zufahren	irregular	fuhr zu	zugefahren	sein	drive toward/head for	-
3558	zügeln	regular	-	-	UNSET	rein in/restrain	-
3559	zurechtlegen	regular	-	-	UNSET	lay out/prepare	-
3560	zurechtschneiden	irregular	schnitt zurecht	zurechtgeschnitten	haben	crop/cut	-
3561	zurückstehen	irregular	stand zurück	zurückgestanden	haben	stand back	-
3562	zusammenschneiden	irregular	schnitt zusammen	zusammengeschnitten	haben	splice	-
3563	zusammenschrauben	regular	-	-	UNSET	screw together/assemble	-
3564	zusammentrommeln	regular	-	-	UNSET	rally/round up	-
3565	zweiteilen	regular	-	-	UNSET	bisect/split in two	-
3566	abdriften	regular	-	-	UNSET	drift	-
3567	abdunkeln	regular	-	-	UNSET	black out/darken/dim	-
3568	abfliegen	irregular	flog ab	abgeflogen	sein	depart/overfly/patrol	A1
3569	abhandeln	regular	-	-	UNSET	beat down the price/deal with	-
3570	abheften	regular	-	-	UNSET	file/file away	-
3571	abklemmen	regular	-	-	UNSET	disconnect/pinch off	-
3572	abnicken	regular	-	-	UNSET	agree	-
3573	abpacken	regular	-	-	UNSET	pack/package	-
3574	abrichten	regular	-	-	UNSET	train	-
3575	abschrauben	regular	-	-	UNSET	unscrew	-
3576	abwiegeln	regular	-	-	UNSET	appease	-
3577	abwürgen	regular	-	-	UNSET	crush/quash/stall	-
3578	akklimatisieren	regular	-	-	UNSET	acclimate (to)/acclimatise (to), be/become acclimatised (to)	-
3579	amtieren	regular	-	-	UNSET	hold office/officiate	-
3580	andrehen	regular	-	-	UNSET	turn on; palm off/sell	-
3581	anflehen	regular	-	-	UNSET	beg/beseech/implore	-
3582	anlügen	irregular	log an	angelogen	haben	to lie to somebody	B2
3583	anreden	regular	-	-	UNSET	address	-
3584	anwärmen	regular	-	-	UNSET	warm up	-
3585	aromatisieren	regular	-	-	UNSET	aromatise/flavour	-
3586	aufbekommen	irregular	bekam auf	aufbekommen	haben	get open; be assigned	-
3587	aufblicken	regular	-	-	UNSET	look up	-
3588	auferwecken	regular	-	-	UNSET	resurrect/awaken	-
3589	auflauern	regular	-	-	UNSET	ambush	-
3590	auflesen	irregular	las auf	aufgelesen	haben	catch/pick up	-
3591	aufschäumen	regular	-	-	UNSET	foam up	-
3592	aufsehen	irregular	sah auf	aufgesehen	haben	look up	-
3593	aufsitzen	irregular	saß auf	aufgesessen	haben	sit up; mount; be taken in	-
3594	aufsparen	regular	-	-	UNSET	put aside	-
3595	auftischen	regular	-	-	UNSET	dish up/serve	-
3596	auftrennen	regular	-	-	UNSET	rip open/undo/unravel	-
3597	auschecken	regular	-	-	UNSET	check out	-
3598	auseinanderziehen	irregular	zog auseinander	auseinandergezogen	haben	move out/pull apart/pull open	-
3599	auskurieren	regular	-	-	UNSET	cure/heal/recover	-
3600	ausquetschen	regular	-	-	UNSET	squeeze out; grill/question closely	-
3601	aussitzen	irregular	saß aus	ausgesessen	haben	ride out	-
3602	ausstreuen	regular	-	-	UNSET	scatter/sprinkle	-
3603	austrinken	irregular	trank aus	ausgetrunken	haben	drink up	-
3604	auswischen	regular	-	-	UNSET	clean out/wipe out	-
3605	begrünen	regular	-	-	UNSET	plant greenery/green	-
3606	bereden	regular	-	-	UNSET	converse/discuss/persuade	-
3607	beschlagen	irregular	beschlug	beschlagen	haben	fog up/shoe/steam up	-
3608	besticken	regular	-	-	UNSET	embroider	-
3609	bevormunden	regular	-	-	UNSET	act as guardian/domineer/patronise	-
3610	bewehren	regular	-	-	UNSET	reinforce/arm	-
3611	blanchieren	regular	-	-	UNSET	blanch	-
3612	borgen	regular	-	-	UNSET	borrow/lend	-
3613	boykottieren	regular	-	-	UNSET	boycott	-
3614	brandmarken	regular	-	-	UNSET	brand/denounce/stigmatise	-
3615	browsen	regular	-	-	UNSET	browse	-
3616	brutzeln	regular	-	-	UNSET	sizzle	-
3617	büffeln	regular	-	-	UNSET	swot	-
3618	chartern	regular	-	-	UNSET	affreight/charter	-
3619	cruisen	regular	-	-	UNSET	cruise	-
3620	dalassen	irregular	ließ da	dagelassen	haben	leave behind/leave there	-
3621	dichthalten	irregular	hielt dicht	dichtgehalten	haben	keep mum/keep one’s mouth shut	-
3622	dreschen	irregular	drosch	gedroschen	haben	thresh	-
3623	durchscheinen	irregular	durchschien	durchschienen	haben	shine through	-
3624	durchspülen	regular	-	-	UNSET	flush/rinse thoroughly	-
3625	durchstellen	regular	-	-	UNSET	put through	-
3626	durchstreichen	irregular	strich durch	durchgestrichen	haben	cancel/cross out/scratch out	-
3627	durchwinken	regular	-	-	UNSET	wave through	-
3628	durchzählen	regular	-	-	UNSET	count through/count off	-
3629	eichen	regular	-	-	UNSET	calibrate	-
3630	einäschern	regular	-	-	UNSET	cremate	-
3631	eintüten	regular	-	-	UNSET	bag	-
3632	entarten	regular	-	-	UNSET	degrade	-
3633	entern	regular	-	-	UNSET	board	-
3634	entflammen	regular	-	-	UNSET	inflame	-
3635	entgleisen	regular	-	-	UNSET	derail	-
3636	entlehnen	regular	-	-	UNSET	borrow	-
3637	entschwinden	irregular	entschwand	entschwunden	haben	disappear/vanish	-
3638	ergaunern	regular	-	-	UNSET	obtain by fraud/swindle	-
3639	erhören	regular	-	-	UNSET	grant	-
3640	ermüden	regular	-	-	UNSET	tyre	-
3641	erspähen	regular	-	-	UNSET	catch sight of/espy/spot	-
3642	exmatrikulieren	regular	-	-	UNSET	take one's name off the university register/take someone's name off the university register	-
3643	federn	regular	-	-	UNSET	be elastic/be flexible/be springy	-
3644	frittieren	regular	-	-	UNSET	deep-fry	C1
3645	glasieren	regular	-	-	UNSET	glaze	-
3646	grassieren	regular	-	-	UNSET	be rife/run rampant	-
