rank	article	word	plural	english	cefr	flags
19782	die	Abfalltonne	Abfalltonnen	waste bin	-	-
19783	der	Abfuhrtag	Abfuhrtage	collection day	-	-
19784	der	Abgabetermin	Abgabetermine	date of delivery/deadline	-	-
19785	das	Abgangszeugnis	Abgangszeugnisse	diploma/leaving certificate	-	-
19786	der	Abhängige	Abhängigen	dependent/addict	-	adjNoun
19787	der	Ablehnungsbescheid	Ablehnungsbescheide	rejection letter	-	-
19788	das	Abschlusstraining	Abschlusstrainings	final training	-	-
19789	die	Absolventenfeier	Absolventenfeiern	graduate ceremony	-	-
19790	die	Abstützung	Abstützungen	support/bracing	-	-
19791	die	Abwasserreinigung	Abwasserreinigungen	wastewater treatment	-	-
19792	die	Abwendung	Abwendungen	averting/prevention	-	-
19793	der	Abzocker	Abzocker	swindler	-	-
19794	die	Achillessehne	Achillessehnen	Achilles tendon	-	-
19795	der	Actionheld	Actionhelden	action hero	-	weak
19796	der	Aderlass	Aderlässe	bloodletting/phlebotomy	-	-
19797	die	Adressatin	Adressatinnen	addressee (female)	-	-
19798	das	Adverbium	Adverbien	adverb	-	-
19799	die	Agitation	Agitationen	agitation	-	-
19800	die	Agrarwende	Agrarwenden	agricultural transition	-	-
19801	der	Akkumulator	Akkumulatoren	rechargeable battery/storage battery/storage cell	-	-
1797	der	Akkusativ	Akkusative	accusative	A1	-
19803	die	Akribie	—	meticulousness	-	-
19804	der	Aktienkauf	Aktienkäufe	share purchase	-	-
19805	die	Aktionsform	Aktionsformen	action form	-	-
19806	die	Alarmstufe	Alarmstufen	alarm level	-	-
19807	der	Albumtitel	Albumtitel	album title	-	-
19808	das	Alibi	Alibis	alibi	-	-
19809	der	Alkoholmissbrauch	Alkoholmissbräuche	alcohol abuse	-	-
19810	das	Alleinsein	—	being alone/solitude	-	-
19811	der	Allergietest	Allergietests	allergy test	-	-
19812	der	Allgemeinarzt	Allgemeinärzte	general practitioner	-	-
19813	die	Allmacht	—	omnipotence	-	-
19814	der	Alltagsrassismus	—	everyday racism	-	-
19815	das	Altenpflegeheim	Altenpflegeheime	nursing home for the elderly	-	-
3721	die	Altersangabe	Altersangaben	age indication/age information	A2	-
19817	das	Alttier	Alttiere	adult animal/old animal	-	-
19818	die	Alveole	Alveolen	alveole/teethridge	-	-
19819	der	Amboss	Ambosse	anvil/incus	-	-
19820	das	Amen	Amen	amen	-	-
19821	der	Amiga	Amigas	Amiga	-	-
19822	die	Amöbe	Amöben	ameba/amoeba/amœba	-	-
19823	der	Amtssitz	Amtssitze	office/official residence	-	-
19824	das	Anabolikum	Anabolika	anabolic steroid	-	-
19825	der	Analbereich	Analbereiche	anal area	-	-
19826	der	Anbruch	Anbrüche	advent/dawn/dawning	-	-
19827	das	Anfangskapital	—	initial capital	-	-
19828	der	Anfangsverdacht	Anfangsverdachte	initial suspicion	-	-
19829	der	Anglizismus	Anglizismen	anglicism	-	-
19830	das	Angstgefühl	Angstgefühle	feeling of anxiety	-	-
19831	die	Ängstlichkeit	Ängstlichkeiten	anxiousness	-	-
19832	das	Anion	Anionen	anion	-	-
19833	die	Annullierung	Annullierungen	annulment	-	-
19834	die	Anode	Anoden	anode	-	-
19835	die	Anorexie	Anorexien	anorexia/anorexia nervosa	-	-
3722	die	Anruferin	Anruferinnen	caller (female)	A2	-
19837	die	Ansteckungsgefahr	Ansteckungsgefahren	risk of infection	-	-
19838	der	Antiziganismus	—	anti-Roma racism/antiziganism	-	-
19839	der	Apfelmus	Apfelmuse	apple sauce/applesauce	-	-
19840	der	Apfelwein	Apfelweine	cider	-	-
19841	das	Applet	Applets	applet	-	-
19842	die	Äquivalenz	Äquivalenzen	equivalence	-	-
19843	die	Arbeiterpartei	Arbeiterparteien	labour party	-	-
19844	die	Arbeiterschaft	—	workforce/working class	-	-
19845	der	Arbeitgebervertreter	Arbeitgebervertreter	employer representative	-	-
19846	der	Arbeitsgeber	Arbeitsgeber	employer	-	-
19847	das	Arbeitsziel	Arbeitsziele	work target	-	-
19848	das	Archivieren	—	archiving	-	-
19849	der	Arztberuf	Arztberufe	medical profession	-	-
19850	der	As	Asse	as/ace	-	-
19851	das	Aschenputtel	—	Cinderella	-	-
19852	die	Ascorbinsäure	—	ascorbic acid	-	-
19853	die	Assel	Asseln	pill bug/slater/woodlouse	-	-
19854	der	Asthmatiker	Asthmatiker	asthmatic	-	-
19855	das	Ästuar	Ästuare	estuary	-	-
7704	der	Asylberechtigte	Asylberechtigten	person entitled to asylum	B2	adjNoun
19857	das	Asylbewerberheim	Asylbewerberheime	asylum-seeker accommodation/home	-	-
19858	die	Atemfrequenz	Atemfrequenzen	respiratory rate	-	-
19859	die	Atempause	Atempausen	breather	-	-
19860	die	Atemwegsinfektion	Atemwegsinfektionen	respiratory tract infection	-	-
19861	das	Atommodell	Atommodelle	atom model/atomic model	-	-
19862	der	Atommüll	—	nuclear waste/radioactive waste	-	-
19863	die	Attrappe	Attrappen	dummy/mock-up/mockup	-	-
19864	die	Audienz	Audienzen	audience	-	-
19865	die	Aufbauarbeit	Aufbauarbeiten	development work/reconstruction work	-	-
19866	die	Aufbruchsstimmung	Aufbruchsstimmungen	spirit of optimism	-	-
19867	der	Auffangbehälter	Auffangbehälter	collecting container/catch container	-	-
19868	die	Aufführungspraxis	—	performance practice	-	-
19869	die	Aufgabenerledigung	Aufgabenerledigungen	task completion	-	-
19870	die	Aufhellung	Aufhellungen	lightening/clarification	-	-
19871	das	Aufmaß	Aufmaße	measurement/take-off (construction)	-	-
19872	der	Aufseher	Aufseher	guard/invigilator/overseer	-	-
19873	der	Aufständische	Aufständischen	insurgent	-	adjNoun
19874	die	Augenbewegung	Augenbewegungen	eye movement	-	-
19875	der	Augenkontakt	Augenkontakte	eye contact	-	-
19876	die	Ausatmung	Ausatmungen	expiration	-	-
19877	die	Ausbesserung	Ausbesserungen	correction/repair/touch up	-	-
19878	die	Ausbuchtung	Ausbuchtungen	bulge/convexity/salient	-	-
19879	die	Ausdrucksstärke	Ausdrucksstärken	expressiveness	-	-
19880	der	Ausleger	Ausleger	cantilever/exegete/jib	-	-
19881	der	Ausrüstungsgegenstand	Ausrüstungsgegenstände	piece of equipment	-	-
19882	die	Ausschabung	Ausschabungen	curettage	-	-
19883	der	Ausschussvorsitzende	Ausschussvorsitzenden	chairman of the committee/committee chair/committee chairman	-	adjNoun
19884	die	Außenansicht	Außenansichten	exterior view	-	-
19885	die	Außentreppe	Außentreppen	exterior staircase	-	-
7705	die	Ausstellerin	Ausstellerinnen	exhibitor (female)	B2	-
19887	der	Ausstellungsbesucher	Ausstellungsbesucher	exhibition visitor	-	-
19888	die	Autobahnbrücke	Autobahnbrücken	highway bridge/motorway bridge	-	-
19889	der	Automobilkonzern	Automobilkonzerne	automotive group	-	-
19890	der	Autopilot	Autopiloten	automatic pilot/autopilot	-	weak
19891	der	Autoschlüssel	Autoschlüssel	car key	-	-
19892	die	Badeanstalt	Badeanstalten	public bath/swimming pool	-	-
19893	das	Badehaus	Badehäuser	bathhouse	-	-
19894	das	Badetuch	Badetücher	bath towel	-	-
19895	die	Bahnunterführung	Bahnunterführungen	railway underpass/subway/underpass	-	-
19896	der	Bakterienstamm	Bakterienstämme	bacterial strain	-	-
19897	das	Bällebad	Bällebäder	ball pit	-	-
19898	der	Ballverlust	Ballverluste	turnover	-	-
19899	die	Banderole	Banderolen	wrapper/seal	-	-
19900	die	Bange	—	fear	-	-
19901	der	Bankangestellte	Bankangestellten	bank employee	-	adjNoun
19902	der	Bariton	Baritone	baritone	-	-
19903	die	Barkasse	Barkassen	launch	-	-
19904	der	Basispunkt	Basispunkte	basis point	-	-
19905	die	Bauabnahme	Bauabnahmen	building acceptance/final inspection	-	-
19906	das	Bauholz	Bauhölzer	lumber/timber	-	-
19907	der	Bauklotz	Bauklötze	building brick	-	-
19908	der	Baumwollstoff	Baumwollstoffe	cotton fabric/scrim	-	-
19909	der	Bauschaden	Bauschäden	building damage/structural damage	-	-
19910	die	Befangenheit	—	bias/prejudice/timidity	-	-
19911	die	Befestigungsanlage	Befestigungsanlagen	fortification	-	-
19912	die	Befolgung	Befolgungen	compliance	-	-
19913	das	Beförderungsmittel	Beförderungsmittel	means of transport	-	-
19914	die	Behindertentoilette	Behindertentoiletten	disabled toilet	-	-
19915	die	Beifügung	Beifügungen	addendum	-	-
19916	der	Beinbruch	Beinbrüche	broken leg	-	-
19917	die	Beisitzerin	Beisitzerinnen	associate judge/assessor (female)	-	-
19918	die	Beitrittserklärung	Beitrittserklärungen	application for membership	-	-
19919	das	Beiwerk	Beiwerke	accessory	-	-
19920	das	Bekunden	—	expression/declaration	-	-
19921	der	Benediktiner	Benediktiner	Benedictine/Order of Saint Benedict	-	-
19922	die	Bergstraße	Bergstraßen	mountain road	-	-
19923	der	Berufskollege	Berufskollegen	professional colleague	-	weak
19924	der	Berufsrichter	Berufsrichter	professional judge	-	-
19925	die	Berufsunfähigkeitsrente	Berufsunfähigkeitsrenten	occupational disability pension	-	-
19926	das	Berufsverbot	Berufsverbote	occupational ban/professional ban	-	-
19927	die	Beschuldigung	Beschuldigungen	accusation	-	-
19928	die	Besichtigungstour	Besichtigungstouren	sightseeing tour	-	-
19929	der	Betonboden	Betonböden	concrete floor	-	-
19930	der	Betonmauer	Betonmauern	concrete wall	-	-
19931	die	Betonplatte	Betonplatten	concrete slab	-	-
19932	der	Betreuungsschlüssel	Betreuungsschlüssel	caregiver ratio/staff-to-child ratio	-	-
19933	die	Betriebsratswahl	Betriebsratswahlen	works council election	-	-
19934	der	Bevölkerungsanteil	Bevölkerungsanteile	population share	-	-
19935	die	Bevölkerungsstruktur	Bevölkerungsstrukturen	population structure	-	-
