rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
2101	pfeifen	irregular	pfiff	gepfiffen	haben	whistle	C1
2102	prallen	regular	-	-	sein	bounce/collide	-
2103	pumpen	regular	-	-	UNSET	lend/pump/weightlift	-
2104	schlängeln	regular	-	-	UNSET	snake	-
2105	tüfteln	regular	-	-	UNSET	fiddle about/tinker/tweak	-
2106	überblicken	regular	-	-	UNSET	survey/have an overview of	-
2107	umfunktionieren	regular	-	-	UNSET	convert/repurpose	-
2108	verlesen	irregular	verlas	verlesen	haben	misread/prune/read out	C1
2109	verlorengehen	irregular	ging verloren	verlorengegangen	sein	be lost/get lost	-
2110	vermengen	regular	-	-	UNSET	blend/confound/confuse	-
2111	verstreichen	irregular	verstrich	verstrichen	haben	elapse/expire/fill in	-
2112	versüßen	regular	-	-	UNSET	make more attractive/make more pleasant/sugar over	C1
2113	vortäuschen	regular	-	-	UNSET	pretend/simulate	-
2114	wiederbeleben	regular	-	-	UNSET	reanimate/resuscitate/revive	-
2115	zünden	regular	-	-	UNSET	detonate/fire/lit	-
2116	abbestellen	regular	-	-	UNSET	ask someone not to come/cancel	-
2117	absorbieren	regular	-	-	UNSET	absorb/imbibe	-
2118	absteigen	irregular	stieg ab	abgestiegen	sein	descend	C1
2119	adaptieren	regular	-	-	UNSET	adapt	-
2120	ankreuzen	regular	-	-	UNSET	tick/check	A1
2121	bannen	regular	-	-	UNSET	avert/banish/enthrall	-
2122	beaufsichtigen	regular	-	-	UNSET	oversee/supervise	-
2123	bejubeln	regular	-	-	UNSET	cheer	-
2124	besinnen	irregular	besann	besonnen	haben	bethink/consider/contemplate	-
2125	blitzen	regular	-	-	UNSET	flash/there's lightning	B1
2126	diskriminieren	regular	-	-	UNSET	discriminate	-
2127	durchfallen	irregular	fiel durch	durchgefallen	sein	fail/flop	C1
2128	durchmachen	regular	-	-	UNSET	endure/go through/suffer	-
2129	großziehen	irregular	zog groß	großgezogen	haben	bring somebody up/educate/nurse	-
2130	herantragen	irregular	trug heran	herangetragen	haben	approach/bring over	-
2131	herleiten	regular	-	-	UNSET	deduce/derive	-
2132	implizieren	regular	-	-	UNSET	imply	-
2133	irren	regular	-	-	UNSET	be mistaken/err/roam	B2
2134	klemmen	regular	-	-	UNSET	clamp/jam	-
2135	küssen	regular	-	-	UNSET	kiss	B1
2136	mobben	regular	-	-	UNSET	bully/harass	-
2137	propagieren	regular	-	-	UNSET	propagandise/propagate	-
2138	rösten	regular	-	-	UNSET	bake/broil/calcine	C1
2139	schlachten	regular	-	-	UNSET	butcher/sacrifice/slaughter	-
2140	spezifizieren	regular	-	-	UNSET	specify	-
2141	verstreuen	regular	-	-	UNSET	scatter	-
2142	vorbeifahren	irregular	fuhr vorbei	vorbeigefahren	sein	drive past/pass	C1
2143	wiederwählen	regular	-	-	UNSET	reelect	-
2144	zusammenbauen	regular	-	-	UNSET	assemble	-
2145	abfinden	irregular	fand ab	abgefunden	haben	come to terms with/compensate	-
2146	absinken	irregular	sank ab	abgesunken	sein	fall/plummet/sag	-
2147	anrühren	regular	-	-	UNSET	stir/mix/touch	-
2148	aufblühen	regular	-	-	sein	bloom/blossom/blossom out	C1
2149	aufkleben	regular	-	-	UNSET	affix/glue	C1
2150	bebauen	regular	-	-	UNSET	build/cultivate	C1
2151	beglaubigen	regular	-	-	UNSET	accredit/attest/authenticate	-
2152	brauen	regular	-	-	UNSET	brew	-
2153	editieren	regular	-	-	UNSET	edit	-
2154	einleben	regular	-	-	UNSET	immerse oneself/project oneself/settle down	B2
2155	einprägen	regular	-	-	UNSET	impress/imprint/memorise	B2
2156	garnieren	regular	-	-	UNSET	garnish	C1
2157	improvisieren	regular	-	-	UNSET	improvise	-
2158	kicken	regular	-	-	UNSET	kick/play football	-
2159	konstituieren	regular	-	-	UNSET	assemble/constitute/convene	-
2160	lahmlegen	regular	-	-	UNSET	paralyze	-
2161	läuten	regular	-	-	UNSET	ring	B2
2162	maximieren	regular	-	-	UNSET	maximise	C1
2163	nahen	regular	-	-	UNSET	approach/be approaching/be imminent	-
2164	pürieren	regular	-	-	UNSET	puree	C1
2165	rasten	regular	-	-	UNSET	rest	-
2166	schlemmen	regular	-	-	UNSET	gormandise/gourmandise	-
2167	schmunzeln	regular	-	-	UNSET	smile/smirk	-
2168	überdauern	regular	-	-	UNSET	outlast	-
2169	vergiften	regular	-	-	UNSET	contaminate/poison	-
2170	verhüten	regular	-	-	UNSET	prevent/use contraception	-
2171	verschlucken	regular	-	-	UNSET	choke/swallow	-
2172	weilen	regular	-	-	UNSET	linger/stay	-
2173	abbekommen	irregular	bekam ab	abbekommen	haben	get/receive/get hit	-
2174	abfedern	regular	-	-	UNSET	cushion/spring	-
2175	ausschlagen	irregular	schlug aus	ausgeschlagen	haben	decline/dislodge/refuse	-
2176	bestatten	regular	-	-	UNSET	bury	-
2177	bummeln	regular	-	-	UNSET	loiter	B2
2178	dirigieren	regular	-	-	UNSET	conduct	A1
