rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
1	sein	irregular	war	gewesen	sein	be	A1
2	werden	irregular	wurde	geworden	sein	become/get	A1
3	haben	irregular	hatte	gehabt	haben	have	A1
4	können	irregular	konnte	gekonnt	haben	can/be able to	A1
5	sollen	irregular	sollte	gesollt	haben	should/shall	A1
6	geben	irregular	gab	gegeben	haben	give	A1
7	müssen	irregular	musste	gemusst	haben	must/have to	A1
8	finden	irregular	fand	gefunden	haben	find	A1
9	machen	regular	-	-	UNSET	make/do	A1
10	kommen	irregular	kam	gekommen	sein	come	A1
11	stehen	irregular	stand	gestanden	haben	stand	A1
12	lassen	irregular	ließ	gelassen	haben	let/leave	A2
13	gehen	irregular	ging	gegangen	sein	go/walk	A1
14	wollen	irregular	wollte	gewollt	haben	want	A1
15	bieten	irregular	bot	geboten	haben	offer	A2
16	liegen	irregular	lag	gelegen	haben	lie/be located	A1
17	erhalten	irregular	erhielt	erhalten	haben	receive/get	A2
18	zeigen	regular	-	-	UNSET	show	A1
19	sehen	irregular	sah	gesehen	haben	see	A1
20	stellen	regular	-	-	UNSET	put/place	A1
21	nutzen	regular	-	-	UNSET	use	A2
22	gelten	irregular	galt	gegolten	haben	apply/be valid	A2
23	führen	regular	-	-	UNSET	lead	A1
24	sagen	regular	-	-	UNSET	say/tell	A1
25	dürfen	irregular	durfte	gedurft	haben	may/be allowed to	A1
26	bleiben	irregular	blieb	geblieben	sein	stay/remain	A1
27	unterstützen	regular	-	-	UNSET	support	B1
28	nehmen	irregular	nahm	genommen	haben	take	A1
29	bringen	irregular	brachte	gebracht	haben	bring/take	A1
30	anbieten	irregular	bot an	angeboten	haben	offer	A1
31	bestehen	irregular	bestand	bestanden	haben	exist/consist of/insist on	A2
32	arbeiten	regular	-	-	UNSET	work	A1
33	entwickeln	regular	-	-	UNSET	develop	A2
34	bekommen	irregular	bekam	bekommen	haben	get/receive	A1
35	halten	irregular	hielt	gehalten	haben	hold/keep/stop	A1
36	wissen	irregular	wusste	gewusst	haben	know	A1
37	erreichen	regular	-	-	UNSET	reach/achieve	A2
38	stattfinden	irregular	fand statt	stattgefunden	haben	take place	A1
39	helfen	irregular	half	geholfen	haben	help	A1
40	setzen	regular	-	-	UNSET	put/place/set	A2
41	suchen	regular	-	-	UNSET	search/look for	A1
42	verwenden	regular	-	-	UNSET	use	A1
