rank	article	word	plural	english	cefr	flags
9978	die	Musikszene	Musikszenen	music scene	-	-
9979	die	Nachbarstadt	Nachbarstädte	neighbouring city	-	-
9980	der	Nachbau	Nachbauten	replica/reconstruction	-	-
9981	das	Nachrichtenportal	Nachrichtenportale	news portal	-	-
9982	der	Nachschub	Nachschübe	replenishment/supplies	-	-
9983	die	Nahversorgung	—	local supply/local amenities	-	-
9984	das	Natrium	—	sodium	-	-
9985	der	Naturforscher	Naturforscher	naturalist	-	-
9986	die	Natürlichkeit	—	naturalness	-	-
9987	die	Nebenrolle	Nebenrollen	supporting role	-	-
9988	der	Nexus	Nexus	nexus	-	-
9989	die	Niederung	Niederungen	lowland	-	-
9990	die	Nierenfunktion	Nierenfunktionen	kidney function	-	-
9991	der	Nomade	Nomaden	nomad/wanderer	-	weak
9992	der	Notendurchschnitt	Notendurchschnitte	grade point average/average grade	-	-
9993	die	Nutztierhaltung	Nutztierhaltungen	livestock farming/farm animal husbandry	-	-
8236	die	Odyssee	Odysseen	odyssey	B2	-
9995	der	Ohrwurm	Ohrwürmer	catchy tune/earworm	-	-
9996	der	Ombudsmann	Ombudsmänner	ombudsman	-	-
9997	die	Order	Orders	order	-	-
9998	der	Organist	Organisten	organist	-	weak
9999	der	Ortsname	Ortsnamen	place name/placename/toponym	-	weak
10000	die	Palliativmedizin	—	palliative medicine	-	-
10001	das	Patentamt	Patentämter	patent office	-	-
10002	die	Patientengruppe	Patientengruppen	patient group	-	-
10003	der	Pfahl	Pfähle	stake/post	-	-
10004	das	Pflanzenöl	Pflanzenöle	vegetable oil	-	-
10005	der	Pinselstrich	Pinselstriche	brush stroke	-	-
10006	der	Platzbedarf	Platzbedarfe	space requirement	-	-
10007	die	Plenarsitzung	Plenarsitzungen	plenary session	-	-
10008	die	Polsterung	Polsterungen	padding	-	-
10009	der	Prediger	Prediger	preacher	-	-
10010	der	Preview	Previews	preview	-	-
10011	der	Privatbesitz	—	private property	-	-
10012	der	Privatpatient	Privatpatienten	private patient	-	weak
10013	die	Profilierung	Profilierungen	profiling	-	-
10014	die	Psychosomatik	—	psychosomatic medicine	-	-
10015	die	Rauchentwicklung	Rauchentwicklungen	smoke development	-	-
10016	das	Rauchverbot	Rauchverbote	ban on smoking/smoking ban	-	-
10017	das	Recherchieren	—	researching	-	-
8237	der	Rechtschreibfehler	Rechtschreibfehler	misspelling/spelling mistake	B2	-
1666	der	Regenschirm	Regenschirme	brolly/umbrella	A1	-
10020	die	Rentabilität	—	profitability	-	-
10021	das	Reservat	Reservate	reserve	-	-
10022	der	Restaurantbesuch	Restaurantbesuche	restaurant visit	-	-
10023	die	Retrospektive	Retrospektiven	retrospective/review	-	-
10024	das	Rittergut	Rittergüter	manor/estate	-	-
10025	das	Rückenmark	—	spinal cord	-	-
10026	das	Rufen	—	calling	-	-
8687	die	Ruhepause	Ruhepausen	respite	C1	-
10028	der	Rum	Rums	rum	-	-
10029	der	Sanitäter	Sanitäter	paramedic	-	-
10030	das	Satteldach	Satteldächer	double pitch roof/double-pitched roof/gable roof	-	-
10031	der	Sauerstoffmangel	—	lack of oxygen	-	-
10032	der	Schadstoffausstoß	Schadstoffausstöße	pollutant emissions	-	-
10033	der	Schatzmeister	Schatzmeister	treasurer	-	-
8238	der	Schicksalsschlag	Schicksalsschläge	blow/blow of fate/stroke	B2	-
8239	der	Schlafmangel	Schlafmängel	sleep deprivation	B2	-
10036	die	Schlaufe	Schlaufen	becket/loop	-	-
10037	das	Schlusswort	Schlussworte	closing words	-	-
10038	der	Schnupperkurs	Schnupperkurse	taster course	-	-
3154	der	Schreck	Schrecke	fright/scare	B1	-
10040	die	Schulbank	Schulbänke	school desk	-	-
10041	die	Schwarzarbeit	Schwarzarbeiten	illicit work/moonlighting	-	-
10042	der	Schwede	Schweden	Swede	-	weak
10043	die	Schwerhörigkeit	—	hearing loss	-	-
10044	das	Schwermetall	Schwermetalle	heavy metal	-	-
10045	das	Schwimmbecken	Schwimmbecken	swimming pool	-	-
10046	der	Scooter	Scooter	scooter	-	-
10047	das	Sediment	Sedimente	sediment	-	-
10048	der	Seehund	Seehunde	common seal/harbour seal	-	-
10049	das	Segelboot	Segelboote	sailboat	-	-
1210	der	Sekretär	Sekretäre	secretary	A1	-
1211	die	Sekretärin	Sekretärinnen	secretary	A1	-
10052	das	Sicherheitsgefühl	Sicherheitsgefühle	feeling of security/sense of security	-	-
10053	der	Simulator	Simulatoren	simulator	-	-
10054	der	Skilift	Skilifte	ski lift	-	-
10055	die	Sojabohne	Sojabohnen	soy bean	-	-
10056	das	Sommerkonzert	Sommerkonzerte	summer concert	-	-
10057	der	Sonntagmorgen	Sonntagmorgen	Sunday morning	-	-
10058	das	Sozialrecht	Sozialrechte	social law/social legislation/social security law	-	-
10059	das	Sparbuch	Sparbücher	bankbook/passbook	-	-
10060	der	Specht	Spechte	woodpecker	-	-
10061	die	Spielart	Spielarten	type/variety	-	-
10062	die	Spielsache	Spielsachen	toy/plaything	-	-
10063	der	Spielverlauf	Spielverläufe	course of the game	-	-
10064	die	Spielweise	Spielweisen	playing style	-	-
10065	die	Spirituose	Spirituosen	spirit	-	-
1667	die	Sprachschule	Sprachschulen	language school	A1	-
10067	der	Spritpreis	Spritpreise	fuel price/gas price	-	-
10068	das	Standardmodell	Standardmodelle	standard model	-	-
10069	der	Ständer	Ständer	stand/rack	-	-
10070	der	Sterbende	Sterbenden	dying person	-	adjNoun
10071	die	Steuernummer	Steuernummern	tax number	-	-
10072	die	Streuung	Streuungen	dispersion/scattering	-	-
10073	der	Stromkreis	Stromkreise	electric circuit/electrical circuit	-	-
10074	der	Studienabschnitt	Studienabschnitte	stage of study	-	-
10075	der	Stundentakt	Stundentakte	hourly interval/hourly service	-	-
10076	das	Styling	Stylings	styling	-	-
10077	die	Subkultur	Subkulturen	subculture	-	-
10078	die	Substitution	Substitutionen	replacement/substitution	-	-
10079	die	Teststrecke	Teststrecken	test track	-	-
10080	der	Tick	Ticks	tic/quirk	-	-
10081	das	Titelbild	Titelbilder	cover image	-	-
10082	der	Titelkampf	Titelkämpfe	title fight	-	-
10083	der	Token	Tokens	token	-	-
10084	die	Tonaufnahme	Tonaufnahmen	sound recording	-	-
10085	der	Truck	Trucks	truck	-	-
8688	die	Überlegenheit	Überlegenheiten	superiority	C1	-
10087	das	Umfrageergebnis	Umfrageergebnisse	poll outcome	-	-
1669	der	Umlaut	Umlaute	umlaut/vowel mutation	A1	-
10089	die	Umwälzung	Umwälzungen	upheaval	-	-
10090	die	Ungenauigkeit	Ungenauigkeiten	inaccuracy	-	-
10091	die	Unschuld	—	innocence/virginity	-	-
10092	die	Unternehmensleitung	Unternehmensleitungen	company management	-	-
10093	die	Unwissenheit	—	ignorance	-	-
10094	der	Urologe	Urologen	urologist	-	weak
10095	die	Verabreichung	Verabreichungen	administration	-	-
10096	die	Verbandsversammlung	Verbandsversammlungen	association assembly	-	-
10097	die	Verdienstmöglichkeit	Verdienstmöglichkeiten	earning potential	-	-
10098	die	Verdoppelung	Verdoppelungen	doubling	-	-
10099	das	Vereinsregister	Vereinsregister	register of associations	-	-
10100	die	Vergebung	Vergebungen	forgiveness/pardon	-	-
10101	der	Vermisste	Vermissten	missing person	-	adjNoun
10102	die	Versandapotheke	Versandapotheken	mail-order pharmacy	-	-
10103	die	Verwaltungsaufgabe	Verwaltungsaufgaben	administrative task	-	-
10104	die	Verwaltungseinheit	Verwaltungseinheiten	administrative unit	-	-
10105	die	Verweigerung	Verweigerungen	denial/refusal	-	-
10106	die	Verzierung	Verzierungen	ornament/ornamentation	-	-
10107	die	Visite	Visiten	medical round/visit/ward round	-	-
10108	das	Vokabular	Vokabulare	list of words/vocabulary	-	-
10109	die	Volkszählung	Volkszählungen	census	-	-
10110	der	Volltreffer	Volltreffer	bullseye/direct hit	-	-
