rank	article	word	plural	english	cefr	flags
8966	die	Vereinsmeierei	—	clubbiness/parochial club mentality	C1	-
8967	das	Gesagte	—	what has been said	C1	-
8969	die	Vereinsarbeit	—	work of the association	C1	-
8970	das	Stand-up-paddling	—	stand-up paddling	C1	-
8971	das	Internetangebot	Internetangebote	online offering/internet service	C1	-
8973	der	Klickgarant	Klickgaranten	click magnet/reliable click draw	C1	weak
8974	der	Computerwissenschaftler	Computerwissenschaftler	computer scientist	C1	-
8975	die	Erholungsphase	Erholungsphasen	recovery phase	C1	-
8976	die	Großtante	Großtanten	great aunt	C1	-
8977	die	Handysucht	—	mobile phone addiction	C1	-
8978	der	Juniorprofessor	Juniorprofessoren	junior professor	C1	-
8979	die	Nachrichtenseite	Nachrichtenseiten	news page	C1	-
8980	der	Schweinezüchter	Schweinezüchter	pig farmer	C1	-
8981	das	Spielcasino	Spielcasinos	casino	C1	-
8982	der	Topwert	Topwerte	top value	C1	-
8983	das	Nutzungsverhalten	—	usage behaviour	C1	-
8984	die	Verstehenshilfe	Verstehenshilfen	aid to understanding	C1	-
8985	der	Studiogast	Studiogäst	studio guest	C1	-
8986	die	Nervensäge	Nervensägen	annoying person/pain in the neck	C1	-
8987	der	Putzplan	Putzplän	cleaning plan	C1	-
8988	das	Architekturstudium	Architekturstudiumstudien	architecture programme	C1	-
3758	das	Arbeitsleben	—	working life	A2	-
8989	das	Extra	Extras	extra	C1	-
8990	die	Gemeinschaftskasse	Gemeinschaftskassen	communal fund/shared kitty	C1	-
8991	die	Hausetage	Hausetagen	house floor	C1	-
8992	die	Holzwerkstatt	Holzwerkstätt	wood workshop	C1	-
8993	das	Lebensprinzip	Lebensprinzipien	life principle	C1	-
8994	der	Beruhigungssauger	Beruhigungssauger	soother	C1	-
8995	der	Doppelstich	Doppelstiche	double stitch	C1	-
8996	die	Fahrradkette	Fahrradketten	bicycle chain	C1	-
8998	die	Klette	Kletten	burdock	C1	-
8999	der	Korbmacher	Korbmacher	basket maker	C1	-
9000	der	Korbstuhl	Korbstühl	wicker chair	C1	-
9001	das	Löschblatt	Löschblätter	blotter	C1	-
9002	das	Markenzeichen	Markenzeichen	trademark	C1	-
9003	der	Messingtopf	Messingtöpf	brass pot	C1	-
9004	der	Sauger	Sauger	suction cup	C1	-
9005	der	Sud	Sude	brew	C1	-
9006	die	Weidenrinde	Weidenrinden	willow bark	C1	-
9007	der	Würfelzucker	Würfelzucker	sugar cube	C1	-
9008	das	Dauerfeuer	Dauerfeuer	continuous fire	C1	-
9009	die	Kommunikationskultur	Kommunikationskulturen	communication culture	C1	-
9010	das	Kommunikationsmanagement	Kommunikationsmanagements	communication management	C1	-
9011	die	Sendepause	Sendepausen	broadcast break	C1	-
9012	der	Angeber	Angeber	show-off	C1	-
9013	der	Berufskontext	Berufskontexte	professional context	C1	-
9014	die	Konfliktsituation	Konfliktsituationen	conflict situation	C1	-
9016	die	Schlagfertigkeit	—	quick-wittedness	C1	-
9017	die	Seminarlänge	—	length of the seminar	C1	-
9018	das	Trainingsbuch	Trainingsbüch	training book	C1	-
9019	die	Abwehrstrategie	Abwehrstrategien	defence strategy	C1	-
9020	die	Ironisierung	Ironisierungen	ironisation	C1	-
9021	die	Entwicklungspsychologie	—	developmental psychology	C1	-
9022	der	Forschungsgegenstand	Forschungsgegenständ	object of research	C1	-
9023	die	Fremdsprachenkenntnisse	Fremdsprachenkenntnisse	foreign language skills	C1	pluraleTantum
9024	der	Immigrant	Immigranten	immigrant	C1	weak
3759	der	Lehrende	Lehrenden	teacher	A2	-
9025	der	Lernprozess	Lernprozesse	learning process	C1	-
9026	der	Sprachkontakt	Sprachkontakte	language contact	C1	-
9027	die	Sprachregel	Sprachregeln	language rule	C1	-
9028	das	Sprachvermögen	—	ability to speak	C1	-
9029	die	Trainingszeit	Trainingszeiten	training time	C1	-
9031	die	Hauptbedeutung	Hauptbedeutungen	main meaning	C1	-
9032	der	Regiolekt	Regiolekte	regiolect	C1	-
9034	die	Reinform	Reinformen	pure form	C1	-
9035	das	Stadtteilschild	Stadtteilschilder	neighbourhood sign	C1	-
9036	die	Theaterleute	Theaterleute	theatre people	C1	pluraleTantum
9037	die	Verdummung	—	dumbing down	C1	-
9038	der	Intellekt	Intellekte	intellect	C1	-
9039	das	Arbeitsergebnis	Arbeitsergebnisse	work result	C1	-
9040	die	Karrierebremse	Karrierebremsen	career brake	C1	-
9041	der	Karriereschritt	Karriereschritte	career step	C1	-
9042	die	Manieren	Manieren	manners	C1	pluraleTantum
9043	das	Sprachgefüge	Sprachgefüge	language structure	C1	-
9044	das	Sprachgefühl	—	feeling for language	C1	-
9045	die	Verbesserungsmöglichkeit	Verbesserungsmöglichkeiten	possibility of improvement	C1	-
9046	das	Clubkonzert	Clubkonzerte	club concert	C1	-
9047	der	Konzertfilm	Konzertfilme	concert film	C1	-
9048	das	Körpergefühl	Körpergefühle	body awareness	C1	-
9049	der	Leadsänger	Leadsänger	lead singer	C1	-
9050	das	Livealbum	Livealbumalben	live album	C1	-
9051	die	Musikart	Musikarten	type of music	C1	-
9053	das	Musikkonservatorium	Musikkonservatorium	music conservatory	C1	-
9054	der	Ska	—	Ska	C1	-
9055	die	Stimmfarbe	Stimmfarben	voice colour	C1	-
9056	der	Vollblutmusiker	Vollblutmusiker	thoroughbred musician	C1	-
9057	die	Durchsetzung	—	enforcement	C1	-
9058	das	Entwicklerteam	Entwicklerteams	development team	C1	-
9059	die	Fertigware	Fertigwaren	finished product	C1	-
