rank	article	word	plural	english	cefr	flags
6850	der	Kölner	Kölner	inhabitant of Cologne/native of Cologne	-	-
4486	die	Lebensgefahr	Lebensgefahren	danger to life/mortal danger	C1	-
6852	das	Lehrjahr	Lehrjahre	apprenticeship year	C1	-
6853	die	Lernzeit	Lernzeiten	study time/learning period	-	-
6854	die	Liegewiese	Liegewiesen	sunbathing lawn	-	-
6855	der	Mac	Macs	mac	-	-
6856	das	Maul	Mäuler	mouth/muzzle/snout (of an animal)	-	-
6857	der	Mechatroniker	Mechatroniker	mechatronics engineer	-	-
6858	die	Meisterin	Meisterinnen	champion (female)/master craftswoman	-	-
6859	das	Menschenbild	Menschenbilder	view of humanity/image of humankind	-	-
6860	der	Merkzettel	Merkzettel	note	C1	-
6861	das	Milligramm	Milligramm	milligram	-	-
6862	der	Ministerrat	Ministerräte	council of ministers/state government	-	-
6863	die	Missachtung	Missachtungen	contempt/disregard/flouting	-	-
6864	die	Nachrüstung	Nachrüstungen	retrofitting/upgrading	-	-
6865	der	Nenner	Nenner	denominator	-	-
6866	die	Neugründung	Neugründungen	new foundation/new establishment	-	-
6867	der	Normalfall	Normalfälle	normal case	C1	-
6868	die	Ostküste	Ostküsten	east coast	-	-
6869	der	Palästinenser	Palästinenser	Palestinian	-	-
6870	das	Pendel	Pendel	pendular/pendulum	-	-
6871	der	Perspektivwechsel	Perspektivwechsel	change of perspective	-	-
6872	das	Pflegegeld	Pflegegelder	care benefit/care allowance	-	-
6873	die	Pflegestufe	Pflegestufen	care level	-	-
6874	der	Plenarsaal	Plenarsäle	plenary chamber	-	-
6875	die	Privatschule	Privatschulen	private school	-	-
3611	der	Rap	Raps	rap	A2	-
6877	der	Receiver	Receiver	receiver	-	-
6878	die	Reederei	Reedereien	shipping company	-	-
6879	das	Referendum	Referenden	referendum	-	-
6880	der	Riff	Riffe	reef	-	-
6881	der	Rückflug	Rückflüge	return flight	-	-
6882	der	Sachstand	Sachstände	state of affairs	-	-
6883	der	Samstagnachmittag	Samstagnachmittage	Saturday afternoon	-	-
6884	der	Scan	Scans	scan	-	-
3064	die	Schallplatte	Schallplatten	gramophone record	B1	-
6886	die	Schatzsuche	Schatzsuchen	treasure hunt	-	-
6887	der	Scherz	Scherze	joke	-	-
6888	die	Schlüsseltechnologie	Schlüsseltechnologien	key technology	-	-
1165	das	Schnupfen	—	cold/runny nose	A1	-
6890	die	Schulkonferenz	Schulkonferenzen	school conference	-	-
6891	der	Screen	Screens	screen	-	-
3612	die	Seilbahn	Seilbahnen	cable car/ropeway	A2	-
6893	die	Sicherheitslage	Sicherheitslagen	security situation	-	-
6894	die	Silhouette	Silhouetten	silhouette	-	-
6895	das	Sonderzeichen	Sonderzeichen	special character	-	-
6896	die	Sonnencreme	Sonnencremes	sun creme/sunblock/suntan cream	A1	-
6897	die	Sozialkompetenz	Sozialkompetenzen	social competence	-	-
6898	der	Sperrmüll	—	bulky refuse/bulky waste	-	-
6899	der	Spielplan	Spielpläne	schedule/fixture list	-	-
6900	der	Spinat	Spinate	spinach	C1	-
6901	die	Spitzenposition	Spitzenpositionen	leading position	-	-
6902	das	Spurenelement	Spurenelemente	trace element	-	-
6903	der	Stammkunde	Stammkunden	patron/regular customer	-	weak
6904	das	Sternchen	Sternchen	asteric/asterisk/star	-	-
6905	das	Sternzeichen	Sternzeichen	zodiac sign	-	-
6906	die	Stilllegung	Stilllegungen	shutdown/decommissioning	-	-
6907	die	Streichung	Streichungen	cancellation/cutting	-	-
6908	die	Stromkosten	Stromkosten	electricity costs/power costs	-	-
3071	die	Taschenlampe	Taschenlampen	electric torch/flashlight/torch	B1	-
6910	der	Terroranschlag	Terroranschläge	terrorist attack	-	-
6911	das	Tesla	Tesla	tesla	-	-
6912	der	Thermostat	Thermostate	thermostat	-	-
6913	der	Todestag	Todestage	anniversary of death/date of death	-	-
6914	die	Tragfähigkeit	Tragfähigkeiten	load-bearing capacity	-	-
6915	der	Traumberuf	Traumberufe	dream job	-	-
