rank	word	english	cefr	flags
8401	proppevoll	jam-packed	-	-
8402	prosaisch	earth-bound/prosaic	-	-
8403	prosodisch	prosodic	-	-
8404	psychogen	psychogenic	-	-
8405	psychopathologisch	psychopathological	-	-
8406	psychotrop	psychotropic	-	-
8407	pudrig	powdery	-	-
8408	puerperal	puerperal	-	-
8409	pulvrig	powdery	-	-
8410	punisch	Carthaginian/Punic	-	-
8411	punkig	punk-like	-	-
8412	pyramidenartig	pyramid-shaped	-	-
8413	pyramidenförmig	pyramid-shaped/pyramidal	-	-
8414	quantenphysikalisch	quantum-physical/quantum-physics-related	-	-
8415	quartär	quaternary	-	-
8416	quasistatisch	quasistatic	-	-
8417	quellenkritisch	source-critical	-	-
8418	quellfrisch	fresh from the source	-	-
8419	quietschrosa	shocking pink	-	-
8420	quotal	pro rata	-	-
8421	radialsymmetrisch	radially symmetric	-	-
8422	radiziert	rooted/with a root	-	-
8423	raketenhaft	meteoric/rocket-like	-	-
8424	ranggleich	of equal rank	-	-
8425	rappelvoll	chock-a-block/jam-packed	-	-
8426	rasiermesserscharf	razor-sharp	-	-
8427	rassenkundlich	ethnological/race-related	-	-
8428	raubeinig	bluff/rough-and-ready	-	-
8429	rauch	thick	-	-
8430	rauchlos	smokeless	-	-
8431	raumhoch	ceiling-high	-	-
8432	rechenschaftspflichtig	obligatory/subject to account	-	-
8433	rechtsbündig	flush right	-	-
8434	rechtsdrehend	dextrogyrated/dextrorotatory/right-hand	-	-
8435	rechtsfehlerhaft	legally flawed	-	-
8436	recyclebar	recyclable	-	-
8437	reformerisch	reformist	-	-
8438	refraktär	fireproof/heat-resistant/refractory	-	-
8439	regelgerecht	according to the rules	-	-
8440	regenbogenfarben	rainbow-coloured	-	-
8441	regendicht	rainproof	-	-
8442	regierungsunabhängig	non-governmental	-	-
8443	regsam	active/lively	-	-
8444	reichsdeutsch	Imperial German	-	-
8445	reichsstädtisch	imperial-city	-	-
8446	reinweiß	pure white	-	-
8447	reisefähig	fit to travel/able to travel	-	-
8448	reizbar	irritable	-	-
8449	reizlos	unattractive	-	-
8450	reliefartig	relief-like/embossed	-	-
8451	religionsfrei	non-religious/free of religion	-	-
8452	religionsgeschichtlich	religious-historical	-	-
8453	religionslos	without/free of faith	-	-
8454	renditestark	high-yield	-	-
8455	rentierlich	profitable	-	-
8456	reparaturbedürftig	in need of repair	-	-
8457	reparierbar	repairable	-	-
8458	republiktreu	loyal to the republic	-	-
8459	resch	crisp/snappy (Austrian/Bavarian)	-	-
8460	resistiv	resistive	-	-
8461	resonant	resonant	-	-
8462	respekteinflößend	commanding respect	-	-
8463	restituiert	restituted/restored	-	-
8464	retrograd	retrograde	-	-
8465	revisionistisch	revisionist	-	-
8466	ripuarisch	Ripuarian	-	-
8467	risikoaffin	risk-seeking/risk-tolerant	-	-
8468	risikoavers	risk-averse	-	-
8469	röhrenartig	tubular	-	-
8470	rohstoffreich	resource-rich/rich in raw materials	-	-
8471	romanhaft	novelistic	-	-
8472	romanistisch	romance	-	-
8473	rotzfrech	cheeky/insolent	-	-
8474	rubinrot	ruby/ruby red	-	-
8475	rücklaufend	running back/retrograde	-	-
8476	rückschrittlich	regressive/backward	-	-
8477	ruiniert	ruined	-	-
8478	rußverschmiert	soot-smeared	-	-
8479	saalartig	hall-like	-	-
8480	sachbezogen	germane/pertinent/relevant	-	-
8481	sachlogisch	factual-logical	-	-
8482	sachte	gentle/softly	-	-
8483	sakrosankt	sacrosanct	-	-
8484	salomonisch	Solomon Islands/Solomonian/Solomonic	-	-
8485	salzarm	low-salt/low in salt	-	-
8486	salzresistent	salt-resistant	-	-
8487	samstäglich	Saturday/of a Saturday	-	-
8488	samten	velvety	-	-
8489	sängerisch	vocal/singing	-	-
8490	saphirblau	sapphire blue	-	-
8491	sardonisch	sardonic	-	-
8492	satanisch	satanic	-	-
8493	sattelfest	experienced/have a firm grasp of something	-	-
8494	saturiert	satiated/comfortable	-	-
8495	sauerstoffarm	oxygen-deficient	-	-
8496	saugut	really good (vulgar)	-	-
8497	sauteuer	really expensive (vulgar)	-	-
8498	schadstoffbelastet	polluted/contaminated	-	-
8499	schadstoffreich	rich in harmful substance	-	-
8500	schalenförmig	bowl-shaped	-	-
8501	schallgedämpft	sound-deadened	-	-
8502	schamhaft	bashful/bashfully/coy	-	-
8503	schauderhaft	awful/dreadful/ghastly	-	-
8504	schaulustig	curious/eager	-	-
8505	scheißegal	couldn't care less (vulgar)	-	-
8506	schemenhaft	shadowy/dimly visible	-	-
8507	schiffbar	navigable	-	-
8508	schikanös	vexatious/bullying	-	-
8509	schimmlig	mouldy	-	-
8510	schirmförmig	umbrella-shaped	-	-
8511	schlachtwarm	freshly slaughtered	-	-
8512	schlaffördernd	soporific	-	-
8513	schlagbar	beatable	-	-
8514	schlagzeilenträchtig	headline-grabbing	-	-
8515	schlangenähnlich	snake-like	-	-
8516	schlauchartig	tube-like	-	-
8517	schlossartig	palatial	-	-
8518	schmalbrüstig	narrow-chested/half-hearted	-	-
8519	schmelzbar	fusible/meltable	-	-
8520	schmerzarm	poor in/low in ache	-	-
8521	schmerzverzerrt	pain-twisted	-	-
8522	schmerzvoll	painful	-	-
8523	schnoddrig	impudent	-	-
8524	schokoladenbraun	chocolate brown	-	-
8525	schreibfaul	lazy about writing	-	-
8526	schriftsprachlich	written-language/standard written	-	-
8527	schrumpelig	wrinkly/shrivelled	-	-
8528	schrundig	cracked/chapped/fissured	-	-
8529	schuldbeladen	burdened with guilt	-	-
8530	schuppenförmig	scale-shaped/squamous	-	-
8531	schussähnlich	shot-like	-	-
8532	schwächlich	feeble/weak	-	-
8533	schwanzlos	tailless	-	-
8534	schwärmerisch	enraptured/gushing	-	-
8535	schwarzhaarig	black-haired	-	-
8536	schwarzmagisch	black-magic	-	-
8537	schwefelgelb	sulfur yellow	-	-
8538	schweizweit	Switzerland-wide/across (the whole of) Switzerland	-	-
8539	schwermütig	melancholic/melancholy/pensive	-	-
8540	schwesterlich	sisterly/sororal	-	-
8541	schwulenfeindlich	homophobic	-	-
8542	sechsachsig	six-axled	-	-
8543	sechsbeinig	six-legged	-	-
8544	sechsmotorig	six-engine	-	-
8545	sechsstrahlig	six-pointed/six-rayed	-	-
8546	sechstägig	six-day	-	-
8547	sechzigjährig	sixty-year-old	-	-
8548	seelenvoll	soulful	-	-
8549	seewärtig	seaward	-	-
8550	seifig	soapy	-	-
8551	seitenverkehrt	mirror-reversed	-	-
8552	seitherig	hitherto	-	-
8553	selbstgeschneidert	self-tailored	-	-
8554	selbstreferenziell	self-referential	-	-
8555	selbstsüchtig	self-centred/selfish	-	-
8556	selbstverursacht	self-inflicted	-	-
8557	senatorisch	senatorial	-	-
8558	sensationsgeil	sensation-seeking	-	-
8559	sensationslüstern	sensationalist	-	-
8560	sensuell	sensual	-	-
8561	sephardisch	Sephardi/Sephardic	-	-
8562	serbokroatisch	Serbo-Croatian	-	-
8563	seren	serene	-	-
8564	sexbesessen	oversexed	-	-
8565	sexhungrig	sex-hungry	-	-
8566	sexpositiv	sex-positive	-	-
8567	seychellisch	Seychellois	-	-
8568	siebenbürgisch	Transylvanian	-	-
8569	siebeneckig	heptagonal/seven-angled	-	-
8570	siebengeschossig	seven-storey	-	-
8571	siebenjährlich	every seven years	-	-
8572	siebenminütig	seven-minute	-	-
8573	siebenprozentig	seven per cent	-	-
8574	siebensemestrig	seven-semester	-	-
8575	siebentägig	seven-day	-	-
8576	siech	ailing/infirm/sick	-	-
8577	singhalesisch	Sinhalese	-	-
8578	sinister	sinister	-	-
8579	sinnenfreudig	sensual/joyful	-	-
8580	sinnentstellend	distorting the meaning	-	-
8581	sinngleich	synonymous	-	-
8582	sinnreich	clever/ingenious	-	-
8583	situationsbedingt	conditioned by situation	-	-
8584	skalar	scalar	-	-
8585	soldatisch	military/soldierly	-	-
8586	somnambul	somnambulant	-	-
8587	sonnenähnlich	sun-like	-	-
8588	sonnenarm	poor in/low in Sun	-	-
8589	sonnenbeschienen	sun-lit	-	-
8590	sorgenlos	carefree	-	-
8591	sowjetzonal	Soviet-zone (East German)	-	-
8592	spätnachmittäglich	late-afternoon	-	-
8593	spätrömisch	Late Roman	-	-
8594	spendenfinanziert	donation-funded	-	-
8595	spiegelverkehrt	mirror-inverted	-	-
8596	spielpädagogisch	play-education-related	-	-
8597	spielsüchtig	addicted to gambling/gambling-addicted	C1	-
8598	spindelförmig	fusiform/spindle-shaped	-	-
8599	spinnert	crazy/mad/nutty	-	-
8600	spiralartig	spiral-like	-	-
8601	spitzig	pointed/spiky	-	-
8602	sportverrückt	sports-mad	-	-
8603	spottbillig	cheap as chips/dirt cheap	-	-
8604	sprachbegabt	linguistically gifted	-	-
8605	sprachgewaltig	eloquent/with command of language	-	-
8606	staatsmännisch	statesmanlike	-	-
8607	stadiongroß	stadium-sized	-	-
8608	stahlverstärkt	steel-reinforced	-	-
8609	standrechtlich	according to martial law	-	-
8610	starrsinnig	obstinate/stubborn	-	-
8611	startbereit	ready to start	-	-
8612	stauanfällig	prone to traffic jams	-	-
8613	steinalt	ancient/hoary/old as the hills	-	-
8614	steinhart	stone-hard	-	-
8615	steinsichtig	with exposed stonework	-	-
8616	stellar	stellar	-	-
8617	sterbenslangweilig	deadly boring	-	-
8618	stereotypisch	stereotypical	-	-
8619	sternenübersät	star-strewn	-	-
8620	steuerpolitisch	tax-policy-related	-	-
8621	stichfest	semisolid	-	-
8622	stickstoffhaltig	containing azote	-	-
8623	stillos	without style	-	-
8624	stinknormal	perfectly ordinary	-	-
8625	stöchiometrisch	stoichiometric	-	-
8626	stockdunkel	pitch-black/pitch-dark	-	-
8627	stockfinster	pitch-black/pitch-dark	-	-
8628	stocksauer	absolutely livid	-	-
8629	strafbefreiend	exempting from prosecution	-	-
8630	strafmildernd	mitigating	-	-
8631	strafmindernd	mitigating	-	-
8632	straight	straight	-	-
8633	strebsam	assiduous/industrious/striving	-	-
8634	streichbar	spreadable	-	-
8635	streifenfrei	free of patrol	-	-
8636	streitsüchtig	quarrelsome	-	-
8637	strohdumm	dumb as a post/empty-headed	-	-
8638	stromlos	without/free of current	-	-
8639	strunzdumm	thick as a brick	-	-
8640	stümperhaft	amateurish/botched/bumbling	-	-
8641	stumpfsinnig	apathetic/stupid	-	-
8642	stupend	stupendous	-	-
8643	stupsnasig	snub-nosed	-	-
8644	sturmumtost	storm-tossed	-	-
8645	subantarktisch	subantarctic	-	-
8646	subdural	subdural	-	-
8647	subgingival	subgingival	-	-
8648	subkulturell	subcultural	-	-
8649	submarin	submarine	-	-
8650	submissiv	submissive	-	-
8651	substantivisch	substantival	-	-
8652	subterran	subterranean/subterraneous	-	-
8653	südasiatisch	South Asian	-	-
8654	südschwedisch	South Swedish	-	-
8655	südslawisch	South Slavonic	-	-
8656	summativ	summative	-	-
8657	superb	superb	-	-
8658	superior	superior	-	-
8659	superlativ	superlative	-	-
8660	superstark	super strong	-	-
8661	supplementär	supplementary	-	-
8662	suprapubisch	suprapubic	-	-
8663	surrealistisch	surrealist	-	-
8664	sympathetisch	sympathetic (in occult sense)	-	-
8665	syphilitisch	syphilitic	-	-
8666	systemweit	system-wide	-	-
8667	tangibel	tangible	-	-
8668	tariffähig	capable of pay scale	-	-
8669	taubenblau	pigeon blue	-	-
8670	taufrisch	fresh as the morning dew	C1	-
8671	tausendst	thousandth	-	notDeclinable
8672	tautologisch	tautological	-	-
8673	taxonomisch	taxonomic	-	-
8674	teerartig	tar-like	-	-
8675	teleologisch	teleological	-	-
8676	telepathisch	telepathic	-	-
8677	tendenziös	biased/partisan/prejudiced	-	-
8678	teratogen	teratogenic	-	-
8679	terranisch	Terran	-	-
8680	terrassenartig	terraced	-	-
8681	tetravalent	tetravalent	-	-
8682	thermal	thermal	-	-
8683	thermophil	thermophile/thermophilic	-	-
8684	thrakisch	Thracian	-	-
8685	tiefschürfend	profound/deep-probing	-	-
8686	tierökologisch	animal-ecological	-	-
8687	tirolerisch	Tyrolean	-	-
8688	todernst	deadly serious	-	-
