rank	word	english	cefr	flags
5601	stufig	stepped/tiered	-	-
5602	südfranzösisch	Southern French	-	-
5603	suffizient	sufficient	-	-
5604	suizidal	suicidal	-	-
5605	suizidgefährdet	suicidal/at risk of suicide	-	-
5606	synergistisch	synergistic	-	-
5607	systemrelevant	systemically important	-	-
5608	taff	demanding/tough	-	-
5609	tarifpolitisch	wage-policy-related	-	-
5610	taubblind	deafblind	-	-
5611	tausendjährig	millennial/thousand-year old	-	-
5612	teutsch	German	-	-
5613	textsicher	by heart/inside out/letter-perfect	-	-
5614	thermodynamisch	thermodynamical	-	-
5615	thorakal	thoracal	-	-
5616	tiefenentspannt	deeply relaxed	-	-
5617	tiefgrün	dark green	-	-
5618	tönern	of clay/earthen	-	-
5619	torreich	high-scoring/rich in goals	-	-
5620	tough	tough	-	-
5621	transdermal	transdermal	-	-
5622	transzendental	transcendental	-	-
5623	trickreich	tricky	-	-
5624	triumphal	triumphal/triumphant	-	-
5625	trivalent	trivalent	-	-
5626	trutzig	defiant	-	-
5627	türkis	turquoise	-	-
5628	überfallartig	hit-and-run	-	-
5629	überlebensgroß	larger-than-life	-	-
5630	übermütig	coltish	-	-
5631	überzählig	surplus/excess	-	-
5632	ugandisch	Ugandan	-	-
5633	ultramodern	ultra-modern	-	-
5634	unansehnlich	unsightly	-	-
5635	unappetitlich	unappetising	-	-
5636	unaufschiebbar	not postponable	-	-
5637	unauslöschlich	indelible	-	-
5638	unaussprechlich	unspeakable/unpronounceable	-	-
5639	unbesiegbar	invincible	-	-
5640	unbeständig	changeable/fickle/instable	-	-
5641	unbewaffnet	unarmed	-	-
5642	unbewohnbar	uninhabitable	-	-
5643	undeutsch	un-German	-	-
5644	undurchschaubar	enigmatic/inexplicable/inscrutable	-	-
5645	unersetzbar	irreplaceable	-	-
5646	unethisch	unethical	-	-
5647	ungeniert	free and easy/unashamed/unembarrassed	-	-
5648	ungeschoren	scot-free/unshorn	-	-
5649	ungewaschen	unwashed	-	-
5650	uniert	unified	-	-
5651	unkontrollierbar	incontrollable/uncontrollable	-	-
5652	unkundig	unknowledgeable	-	-
5653	unmoralisch	immoral/inhumane/unethical	C1	-
5654	unorthodox	unorthodox	-	-
5655	unprätentiös	unpretentious	-	-
5656	unrecht	wrong/unjust	C1	-
5657	unrentabel	unprofitable	-	-
5658	unteilbar	indivisible	-	-
5659	unterernährt	malnourished/undernourished	-	-
5660	untragbar	intolerable/unbearable	-	-
5661	unveräußerlich	inalienable	-	-
5662	unvollkommen	imperfect	-	-
5663	unzeitgemäß	old-fashioned/out-of-date	-	-
5664	urgemütlich	really cosy	-	-
5665	urplötzlich	very sudden	-	-
5666	uruguayisch	Uruguayan	-	-
5667	verächtlich	contemptuous/despicable	-	-
5668	verbesserungswürdig	in need of improvement	-	-
5669	verchromt	chromium-plated	-	-
5670	vereinsintern	internal to the club	-	-
5671	verhandelbar	negotiable	-	-
5672	verrucht	wicked/disreputable	-	-
5673	versandfertig	ready for dispatch	-	-
5674	versorgungsrechtlich	pension-law-related	-	-
5675	verstümmelt	mutilated	-	-
5676	vertrauensbildend	confidence-building	-	-
5677	verwandtschaftlich	familial/related	-	-
5678	verwitwet	widowed	-	-
5679	verzerrungsfrei	distortion-free	-	-
5680	verzichtbar	dispensable/expendable	-	-
5681	vibrierend	vibrating	-	-
5682	vierfarbig	four-colour	-	-
5683	viergeschossig	four-storey	-	-
5684	viertürig	four-door	-	-
5685	volksnah	close to the people/popularly accessible	-	-
5686	vorzeigbar	presentable	-	-
5687	wahlfrei	optional/elective	-	-
5688	walisisch	Welsh	-	-
5689	wärmedämmend	heat-insulting/thermally insulating	-	-
5690	wartungsfrei	free of maintenance	-	-
5691	weinrot	burgundy/claret/wine-red	-	-
5692	weißrussisch	Belorussian	-	-
5693	wellenförmig	undulate/wave-shaped/wavy	-	-
5694	wesensmäßig	by nature/essentially	-	-
5695	wetterbeständig	weather-resistant	-	-
5696	wiedererkennbar	recognisable	-	-
5697	wiederverheiratet	remarried	-	-
5698	wilhelminisch	Wilhelminian	-	-
5699	winterfest	hardy/suitable for winter/winterised	-	-
5700	winterhart	hardy	-	-
5701	wohlbekannt	well-known	-	-
5702	wohlfeil	inexpensive/trite	-	-
5703	wohlriechend	giving off a pleasant scent/pleasant smelling	-	-
5704	wohnhaft	resident	C1	-
5705	wüchsig	vigorous (in growth)	-	-
5706	wunderhübsch	fetching/gorgeous/handsome	-	-
5707	wunschgemäß	in accordance with request	-	-
5708	zahlungsfähig	solvent	-	-
5709	zehnköpfig	ten-member	-	-
5710	zersplittert	splintered/fragmented	-	-
5711	ziellos	aimless	-	-
5712	zionistisch	Zionistic	-	-
5713	zitierfähig	citeable/quotable	-	-
5714	zuckerreich	rich in blood sugar level	-	-
5715	zweckdienlich	convenient/useful	-	-
5716	zweijährlich	biennial	-	-
5717	zweisemestrig	two-semester	-	-
5718	zweitklassig	second rate	-	-
5719	zytotoxisch	cytotoxic	-	-
5720	abführend	laxative	-	-
5721	abgabepflichtig	subject to duty/tax/levy	-	-
5722	abgebrüht	hard-nosed	-	-
5723	abgeneigt	opposed	-	-
5724	abgesprochen	agreed/arranged	C1	-
5725	abgrundtief	fathomless	-	-
5726	ablösefrei	on a free transfer	-	-
5727	abnorm	abnormal	-	-
5728	abnormal	abnormal	-	-
5729	achtbar	reputable	-	-
5730	achter	aft	-	-
5731	achtmalig	eight-time/eightfold	-	-
5732	achtstündig	eight-hour	-	-
5733	achttägig	eight-day	-	-
5734	akzentfrei	accentless	-	-
5735	allfällig	possible	-	-
5736	allwissend	all-knowing/omniscient	-	-
5737	alphanumerisch	alphanumeric/alphanumerical	-	-
5738	altertumswissenschaftlich	relating to classical studies	-	-
