rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
4901	kapitalisieren	regular	-	-	UNSET	capitalise/cash in	-
4902	kegeln	regular	-	-	UNSET	bowl	-
4903	kehrtmachen	regular	-	-	UNSET	turn back	-
4904	kerben	regular	-	-	UNSET	carve	-
4905	kiebitzen	regular	-	-	UNSET	kibitz	-
4906	kippeln	regular	-	-	UNSET	tilt/wobble	-
4907	klackern	regular	-	-	UNSET	click	-
4908	kläffen	regular	-	-	UNSET	yap	-
4909	klauben	regular	-	-	UNSET	collect/pick/sort out	-
4910	kleinbekommen	irregular	bekam klein	kleinbekommen	haben	defeat/break down/wear down	-
4911	kleinschreiben	irregular	schrieb klein	kleingeschrieben	haben	begin a word without a capital letter/lowercase/not set much store	-
4912	knechten	regular	-	-	UNSET	enslave/oppress/subjugate	-
4913	knuffen	regular	-	-	UNSET	poke	-
4914	knuspern	regular	-	-	UNSET	crunch/munch	-
4915	knutschen	regular	-	-	UNSET	canoodle/mack/smooch	-
4916	kodifizieren	regular	-	-	UNSET	codify	-
4917	kollaborieren	regular	-	-	UNSET	collaborate	-
4918	kommandieren	regular	-	-	UNSET	command	-
4919	komplementieren	regular	-	-	UNSET	complement	-
4920	kondolieren	regular	-	-	UNSET	condole	-
4921	konkatenieren	regular	-	-	UNSET	concatenate	-
4922	kontrahieren	regular	-	-	UNSET	contract	-
4923	kören	regular	-	-	UNSET	select for breeding purposes	-
4924	korrumpieren	regular	-	-	UNSET	corrupt	-
4925	koten	regular	-	-	UNSET	defecate	-
4926	krakeln	regular	-	-	UNSET	doodle/scrawl	-
4927	kränkeln	regular	-	-	UNSET	ail	-
4928	kreischen	regular	-	-	UNSET	scream/screech/shriek	B2
4929	kulminieren	regular	-	-	UNSET	culminate	-
4930	kungeln	regular	-	-	UNSET	collude/horse-trade/machinate	-
4931	lädieren	regular	-	-	UNSET	damage/injure	-
4932	laichen	regular	-	-	UNSET	spawn	-
4933	lärmen	regular	-	-	UNSET	be noisy/brawl/fuss	-
4934	latinisieren	regular	-	-	UNSET	Latinise	-
4935	lavieren	regular	-	-	UNSET	manoeuvre/tack	-
4936	leerräumen	regular	-	-	UNSET	clean out	-
4937	leichttun	irregular	tat leicht	leichtgetan	haben	find easy	-
4938	liften	regular	-	-	UNSET	lift	-
4939	logieren	regular	-	-	UNSET	lodge	-
4940	lohen	regular	-	-	UNSET	tan (leather)	-
4941	löhnen	regular	-	-	UNSET	pay/shell out	-
4942	loseisen	regular	-	-	UNSET	pry loose; get away; persuade someone to part with something	-
4943	losmarschieren	regular	-	-	UNSET	march off	-
4944	lukrieren	regular	-	-	UNSET	acquire/win	-
4945	magnetisieren	regular	-	-	UNSET	magnetise	-
4946	malträtieren	regular	-	-	UNSET	maltreat	-
4947	mampfen	regular	-	-	UNSET	munch/nosh/scrump	-
4948	marodieren	regular	-	-	UNSET	maraud/rage	-
4949	massakrieren	regular	-	-	UNSET	massacre	-
4950	mäßigen	regular	-	-	UNSET	control/moderate/restrain	-
4951	mauscheln	regular	-	-	UNSET	Yiddish/cheat/fiddle	-
4952	menstruieren	regular	-	-	UNSET	menstruate	-
4953	mikroskopieren	regular	-	-	UNSET	examine/microscope	-
4954	mineralisieren	regular	-	-	sein	mineralise	-
4955	mitsegeln	regular	-	-	UNSET	sail along/join a sailing trip	-
4956	moralisieren	regular	-	-	UNSET	moralise	-
4957	müffeln	regular	-	-	UNSET	smell musty/stink	-
4958	nachgießen	irregular	goss nach	nachgegossen	haben	add in/cast/pour in	-
4959	nachgrübeln	regular	-	-	UNSET	brood/think	-
4960	nachsitzen	irregular	saß nach	nachgesessen	haben	serve detention/stay after school	-
