rank	article	word	plural	english	cefr	flags
17681	das	Outing	Outings	coming out/outing	-	-
17682	der	Overdrive	Overdrives	overdrive	-	-
17683	das	Oxytocin	—	oxytocin	-	-
17684	die	Pacht	Pachten	lease	-	-
17685	das	Palladium	Palladien	palladium	-	-
17686	der	Palmsonntag	Palmsonntage	Palm Sunday	-	-
4655	die	Pandemie	Pandemien	pandemic/pestilence	C1	-
17688	die	Papierindustrie	Papierindustrien	paper industry	-	-
17689	der	Papyrus	Papyri	papyrus	-	-
17690	der	Parkschein	Parkscheine	parking ticket	-	-
17691	der	Patriot	Patrioten	patriot	-	weak
4656	der	Perfektionismus	—	perfectionism	C1	-
17693	die	Personalausgabe	Personalausgaben	personnel expenses/staff costs	-	-
17694	die	Personalunion	Personalunionen	personal union	-	-
17695	die	Personalwirtschaft	—	human resources management	-	-
17696	die	Personenkontrolle	Personenkontrollen	identity check/person check	-	-
17697	das	Persönlichkeitsmerkmal	Persönlichkeitsmerkmale	personality trait	-	-
17698	der	Pesto	Pestos	pesto	-	-
17699	der	Pfarrgemeinderat	Pfarrgemeinderäte	parish council	-	-
17700	der	Pferdemarkt	Pferdemärkte	horse market	-	-
17701	die	Pferderasse	Pferderassen	horse breed	-	-
17702	das	Pferderennen	Pferderennen	horse race	-	-
17703	der	Pfifferling	Pfifferlinge	chanterelle/girolle	-	-
17704	der	Pflanzenfresser	Pflanzenfresser	herbivore	-	-
17705	der	Pflanzenrest	Pflanzenreste	plant residue/plant remains	-	-
17706	die	Pflegeanstalt	Pflegeanstalten	nursing home/care institution	-	-
17707	das	Phosphat	Phosphate	phosphate	-	-
17708	die	Pilzart	Pilzarten	fungal species/species of mushroom/type of mushroom	-	-
17709	die	Piraterie	Piraterien	piracy	-	-
7687	die	Plattenfirma	Plattenfirmen	record company	B2	-
8845	der	Plattenvertrag	Plattenverträge	record contract/record deal/recording contract	C1	-
17712	das	Polarlicht	Polarlichter	aurora/aurora polaris/polar light	-	-
17713	das	Politbüro	Politbüros	politburo	-	-
17714	die	Politikwissenschaftlerin	Politikwissenschaftlerinnen	political scientist	-	-
17715	die	Polizeiangabe	Polizeiangaben	police statement	-	-
17716	die	Polizeibeamtin	Polizeibeamtinnen	police officer	-	-
17717	der	Polizeisprecher	Polizeisprecher	police spokesperson	-	-
17718	die	Polizeistation	Polizeistationen	police station	-	-
17719	die	Polizeiwache	Polizeiwachen	police station	-	-
17720	das	Poloshirt	Poloshirts	polo/polo shirt	-	-
17721	der	Polyeder	Polyeder	polyhedron	-	-
17722	der	Pontifikat	Pontifikate	pontificate	-	-
17723	der	Porträtierte	Porträtierten	portrait subject	-	adjNoun
17724	der	Postkasten	Postkästen	collection box/drop box/letter box	-	-
17725	der	Potsdamer	Potsdamer	person from Potsdam	-	-
17726	das	Präsidiumsmitglied	Präsidiumsmitglieder	executive committee member/presidium member	-	-
17727	die	Preissuchmaschine	Preissuchmaschinen	comparison shopping site	-	-
17728	die	Premiummarke	Premiummarken	premium brand	-	-
17729	der	Pressetext	Pressetexte	press release/press text	-	-
17730	das	Priesteramt	Priesterämter	priesthood/priestly office	-	-
17731	die	Priesterweihe	Priesterweihen	ordination to the priesthood	-	-
17732	das	Prinzenpaar	Prinzenpaare	carnival royal couple	-	-
17733	der	Privatmann	Privatmänner	private individual	-	-
17734	der	Problemlöser	Problemlöser	problem-solver	-	-
17735	die	Problemsituation	Problemsituationen	problem situation	-	-
17736	die	Produktionsfläche	Produktionsflächen	production area	-	-
17737	der	Profisport	—	professional sport	-	-
3247	der	Profisportler	Profisportler	professional athlete	B1	-
17739	der	Promotionsausschuss	Promotionsausschüsse	doctorate committee	-	-
17740	der	Promovend	Promovenden	doctoral candidate	-	weak
17741	die	Prüfsumme	Prüfsummen	checksum	-	-
17742	das	Prüfungsverfahren	Prüfungsverfahren	examination procedure/review procedure	-	-
17743	das	Psychologiestudium	Psychologiestudien	psychology studies	-	-
8846	der	Psychopath	Psychopathen	psychopath	C1	weak
17745	das	Putten	—	putting (golf)	-	-
17746	die	Pyrotechnik	Pyrotechniken	pyrotechnics	-	-
