rank	word	english	cefr	flags
6301	unterentwickelt	underdeveloped	-	-
6302	untergewichtig	underweight	-	-
6303	unüberwindlich	insuperable/insurmountable	-	-
6304	unveränderbar	immutable/unalterable/unchangeable	-	-
6305	unverbraucht	unconsumed	-	-
6306	unverbrüchlich	steadfast	-	-
6307	unverdächtig	unsuspected/unsuspicious	-	-
6308	unverrückbar	immovable/unshakeable	-	-
6309	unversöhnlich	irreconcilable/unforgiving	-	-
6310	unversteuert	untaxed	-	-
6311	unvorsichtig	careless	-	-
6312	unwidersprochen	uncontradicted	-	-
6313	unzusammenhängend	disjointed/incoherent	-	-
6314	unzuständig	not responsible/not competent	-	-
6315	unzustellbar	undeliverable	-	-
6316	unzweideutig	unequivocal	-	-
6317	verbandspolitisch	association-policy-related	-	-
6318	verbeult	battered	-	-
6319	verfressen	gluttonous	-	-
6320	vergesslich	forgetful	C1	-
6321	vergilbt	yellowed	-	-
6322	vergittert	barred/latticed	-	-
6323	verhaftet	arrested/rooted in	B1	-
6324	verkalkt	calcified/senile	-	-
6325	verkappt	disguised/closet	C1	-
6326	verkohlt	charred	-	-
6327	vermeidlich	avoidable	-	-
6328	vermint	mined	-	-
6329	vermittelbar	placeable/conveyable	-	-
6330	vermummt	hooded/masked	-	-
6331	vernachlässigbar	negligible	-	-
6332	vernarbt	scarred	-	-
6333	verschleiert	blurred/concealed/hazily	-	-
6334	verschmust	cuddly	-	-
6335	verschnupft	sniffly; peeved	-	-
6336	verschroben	eccentric/quirky	-	-
6337	verschwägert	related by marriage	-	-
6338	vertan	wasted/missed	-	-
6339	verworren	tangled/confused	-	-
6340	vielbefahren	heavily used (of roads)	-	-
6341	vielfarbig	multi-coloured	-	-
6342	vielsagend	meaningful/telling	-	-
6343	vierstöckig	four-storey	-	-
6344	vierwöchentlich	every four weeks	-	-
6345	vorbezeichnet	previously designated	-	-
6346	vorfristig	ahead of schedule	-	-
6347	vorkonziliar	pre-conciliar	-	-
6348	vorrömisch	pre-Roman	-	-
6349	vulnerabel	vulnerable	-	-
6350	wacker	brave/upright	-	-
6351	waffenlos	without/free of arm	-	-
6352	wahnwitzig	insane/crazy	-	-
6353	wasserdurchlässig	permeable to water/pervious to water/water-permeable	-	-
6354	wassergefüllt	water-filled	-	-
6355	wassergekühlt	water-cooled	-	-
6356	wechselständig	alternate	-	-
6357	wechselwarm	cold-blooded/poikilotherm/poikilothermic	-	-
6358	weitgereist	much-travelled/well-travelled/widely travelled	-	-
6359	wertstabil	stable in value	-	-
6360	wettbewerbsverzerrend	anticompetitive/distortive	-	-
6361	widerlegbar	rebuttable/refutable	-	-
6362	widerspruchsfrei	consistent	-	-
6363	widerstrebend	reluctantly/grudgingly	-	-
6364	wiederverwertbar	recyclable	-	-
6365	willensstark	strong-willed	-	-
6366	wissenschaftshistorisch	history-of-science-related	-	-
6367	wohlgesonnen	well-disposed	-	-
6368	wortgewandt	eloquent/felicitous/glib	-	-
6369	wortgleich	equally worded	-	-
6370	wunschlos	desireless	C1	-
6371	wurzelnackt	bare root	-	-
6372	zählbar	countable	-	-
6373	zahlungswirksam	cash-effective	-	-
6374	zellular	cellular	-	-
6375	zerebral	cerebral/highbrow/intellectual	-	-
6376	zerebrovaskulär	cerebrovascular	-	-
6377	zerlegbar	disassemblable	-	-
6378	zerrüttet	dysfunctional	-	-
6379	zivilisiert	civilised	-	-
6380	zottelig	shaggy	-	-
6381	züchtig	virtuous	-	-
6382	zugeknöpft	buttoned up/reserved	-	-
6383	zügellos	unbridled	-	-
6384	zugig	drafty/draughty	-	-
6385	zuordenbar	relatable/relateable	-	-
6386	zuteilungsreif	ready for allocation	-	-
6387	zuzahlungsfrei	free of co-payment	-	-
6388	zweieinhalbstündig	two-and-a-half-hour	-	-
6389	zweimonatlich	bimonthly	-	-
6390	zweisitzig	two-seater	-	-
6391	zweitrangig	secondary	-	-
6392	zystisch	cystic	-	-
6393	zytologisch	cytological	-	-
6394	aalglatt	glib/silky/slick	-	-
6395	abbezahlt	paid off	-	-
6396	abdominal	abdominal	-	-
6397	abermalig	repeated	-	-
6398	abfallarm	low-waste/producing little waste	-	-
6399	abfällig	derogatory/disdainful/disparaging	C1	-
6400	abgefallen	fallen off/apostate	-	-
6401	abgegriffen	well-thumbed/worn	-	-
6402	abgehalftert	abandoned/neglected	-	-
6403	abgeklärt	prudent	-	-
6404	abgewetzt	worn/threadbare	-	-
6405	abgründig	abysmal/inscrutable/mysterious	-	-
6406	ablandig	offshore	-	-
6407	abortiv	abortive	-	-
6408	abschnittsweise	in sections	-	-
6409	abstinent	abstinent	-	-
6410	achtstellig	eight-digit	-	-
6411	achtstöckig	eight-storey	-	-
6412	achtungsvoll	full of attention	-	-
6413	achtzigjährig	eighty-year-old	-	-
6414	affirmativ	affirmative	-	-
6415	agitatorisch	agitational	-	-
6416	albtraumhaft	nightmarish	-	-
6417	alchimistisch	alchemical	-	-
6418	allmonatlich	monthly	-	-
6419	allmorgendlich	every morning	-	-
6420	allogen	allogeneic	-	-
6421	altägyptisch	ancient Egyptian	-	-
6422	altfranzösisch	Old French/ancient French	-	-
6423	amyloid	amyloide	-	-
6424	andersfarbig	colour/different	-	-
6425	angriffslustig	aggressive/belligerent	-	-
6426	angsteinflößend	frightening	-	-
6427	antagonistisch	antagonistic	-	-
6428	antiamerikanisch	anti-American	-	-
6429	antidepressiv	antidepressant	-	-
6430	antideutsch	anti-German	-	-
6431	antistatisch	antistatic	-	-
6432	apodiktisch	apodictic	-	-
6433	äquatornah	near/close to equator	-	-
6434	aramäisch	Aramaean/Aramaic/Aramean	-	-
6435	arid	arid	-	-
6436	aristotelisch	Aristotelian	-	-
6437	armdick	as thick as an arm	-	-
6438	armutsgefährdet	at risk of poverty	-	-
6439	arretierbar	lockable	-	-
6440	artesisch	artesian	-	-
6441	asymptotisch	asymptotic	-	-
6442	atemlos	breathless	-	-
6443	atheistisch	atheistic	-	-
6444	athenisch	Athenian	-	-
6445	attisch	Attic	-	-
6446	aufbrausend	irascible/liable to flare up/quick-tempered	-	-
6447	aufkommensneutral	revenue-neutral	-	-
6448	auflandig	onshore (wind)	-	-
6449	auflösbar	dissolvable/resolvable	-	-
6450	auserlesen	exquisite/select	-	-
6451	ausgebufft	shrewd/streetwise	-	-
6452	ausgefuchst	cunning/shrewd/sly	-	-
6453	auskunftspflichtig	obligatory/subject to information	-	-
6454	auslaufsicher	leak-proof/leakproof/non-spillable	-	-
6455	außenliegend	external/on the outside	-	-
6456	außerhäuslich	outside the home	-	-
6457	außertariflich	outside the collective agreement	-	-
6458	autoimmun	autoimmune	-	-
6459	aviär	avian	-	-
6460	aztekisch	Aztecan	-	-
6461	bajuwarisch	Bavarian	-	-
6462	bakteriologisch	bacteriological	-	-
6463	balinesisch	Balinese	-	-
6464	ballsicher	safe with the ball	-	-
6465	barfüßig	barefoot	-	-
6466	barometrisch	barometric	-	-
6467	basaltisch	basaltic	-	-
6468	basslastig	bass-heavy	-	-
6469	bedauernswert	pitiful	-	-
6470	befangen	be caught up in/biased/biassed	-	-
6471	begehrlich	covetous/desirous	-	-
6472	begierig	eager	-	-
6473	behebbar	fixable/remediable	-	-
6474	behelfsmäßig	makeshift/temporary	-	-
6475	benebelt	groggy/dazed	-	-
6476	berechnend	scheming	-	-
6477	beredt	eloquent/expressive/meaningful	-	-
6478	beringt	ringed	-	-
6479	beritten	mounted	-	-
6480	berückend	captivating/enchanting	-	-
6481	beschützt	protected	-	-
6482	bestialisch	bestial	-	-
6483	betäubt	anaesthetised/numbed	-	-
6484	betretbar	to be stepped over	-	-
6485	bettelarm	destitute	-	-
6486	bettfertig	ready for bed	-	-
6487	betulich	fussy	-	-
6488	beurkundet	officially recorded	-	-
6489	bewegungsunfähig	unable to move	-	-
6490	bewehrt	armored/armoured/protected	-	-
6491	bewundert	admired/adored/renowed	-	-
6492	bewusstseinsverändernd	mind-altering	-	-
6493	bezeugt	evidenced/testified	-	-
6494	beziehungsreich	allusive/suggestive	-	-
6495	bildhübsch	stunning	-	-
6496	bildreich	rich in images/visual	-	-
6497	binomisch	binomial	-	-
6498	bissfest	al dente	-	-
6499	blaugrau	blue-grey	-	-
6500	blütenweiß	lily-white	-	-
6501	blutrot	crimson	-	-
6502	bombastisch	bombastic	-	-
6503	brach	fallow	B1	-
6504	bravourös	bravura	-	-
6505	brüderlich	brotherly/fraternal	-	-
6506	brünett	brunette	-	-
6507	bullig	brawny	-	-
6508	bundesstaatlich	federal	-	-
6509	bundesunmittelbar	federally direct	-	-
6510	butterweich	butter-soft/very tender	-	-
6511	chiral	chiral	-	-
6512	chlorfrei	chlorine-free	-	-
6513	cholesterinarm	low-cholesterol	-	-
6514	christdemokratisch	Christian-democratic	-	-
6515	comichaft	cartoon-like	-	-
6516	cremeweiß	creamy-white/creme-white	-	-
6517	dadaistisch	dadaistic	-	-
6518	dämonisch	demoniac/demonic	-	-
6519	deckenhoch	ceiling-high	-	-
6520	deduktiv	deductive	-	-
6521	dehydriert	dehydrated	-	-
6522	demontierbar	dismountable	-	-
6523	dendrologisch	dendrological	-	-
6524	deplatziert	misplaced/out of place	-	-
6525	dermal	dermal	-	-
6526	desillusioniert	disaffected/disenchanted	-	-
6527	diakritisch	diacritic/diacritical	-	-
6528	diamanten	diamond	-	-
6529	dichtbesiedelt	densely populated	-	-
6530	dickköpfig	obstinate/stubborn	-	-
6531	diesseitig	near-side/temporal	-	-
6532	differentiell	differential	-	-
6533	differenzierbar	differentiable	-	-
6534	dimensional	dimensional	-	-
6535	direktional	directional	-	-
6536	diskontinuierlich	discontinuous	-	-
6537	dispers	dispersed	-	-
6538	dissonant	dissonant	-	-
6539	dissoziativ	dissociative	-	-
6540	domänenspezifisch	domain-specific	-	-
6541	dorsal	dorsal	-	-
6542	dosierbar	dosable/doseable	-	-
6543	drakonisch	draconian	-	-
6544	draufgängerisch	daring/reckless	-	-
6545	dreirädrig	three-wheeled	-	-
6546	dreizehnt	thirteenth	-	notDeclinable
6547	drittklassig	third-class/third-rate	-	-
6548	drogenfrei	drug-free/free of drugs	-	-
6549	druckfest	pressure-resistant/compression-resistant	-	-
6550	drucktechnisch	printing-technical	-	-
6551	dschihadistisch	jihadi	-	-
6552	dufte	great	-	-
6553	durchgegart	thoroughly cooked	-	-
6554	durchtränkt	soaked through	-	-
6555	dusselig	silly/dim	-	-
6556	dyadisch	dyadic	-	-
6557	dysplastisch	dysplastic	-	-
6558	edelmütig	noble-minded/magnanimous	-	-
6559	effekthascherisch	gimmicky/sensationalist	-	-
6560	egalitär	egalitarian	-	-
6561	eichen	oak/oaken	-	-
6562	einarmig	one-armed	-	-
6563	eineiig	identical/monozygotic	-	-
6564	eingebildet	conceited/imaginary/smug	-	-
6565	eingestürzt	collapsed	-	-
6566	einhändig	one-handed/single-handed/unimanual	-	-
6567	einhundertprozentig	one hundred per cent	-	-
6568	einlagig	single-layer	-	-
6569	einmotorig	single-engine	-	-
6570	einstöckig	single-storey	-	-
6571	ekelerregend	disgusting/nasty/nauseating	-	-
6572	ekstatisch	ecstatic	-	-
6573	elegisch	elegiac	-	-
6574	elektiv	elective	-	-
6575	eloxiert	anodised	-	-
6576	emotionslos	emotionless/unemotional	-	-
6577	energiearm	low in energy/low in energy resources/low-energy	-	-
6578	energierelevant	energy-relevant	-	-
6579	energieverbrauchsrelevant	relevant to energy consumption	-	-
6580	engelsgleich	angel-like	-	-
6581	enkeltauglich	fit for our grandchildren/sustainable	-	-
6582	entbehrungsreich	full of hardship/privation	-	-
6583	entscheidungsrelevant	decision-relevant	-	-
6584	entstellt	deformed/disfigured/distorted	-	-
6585	entwicklungsgeschichtlich	evolutionary-historical	-	-
6586	epidemisch	epidemic	-	-
6587	erbaulich	edifying	-	-
6588	erbost	angry/furious	-	-
6589	erbsengroß	pea-sized	-	-
6590	erdähnlich	earth-like	-	-
6591	erdnah	near-Earth	-	-
6592	erdrutschartig	landslide/landslidish/like a landslide	-	-
6593	ereignislos	uneventful	-	-
6594	eremitisch	hermitic	-	-
6595	ererbt	inherited	-	-
6596	erfindungsreich	inventive	-	-
6597	erforschbar	researchable/explorable	-	-
6598	erfroren	frozen to death/frostbitten	-	-
6599	erklecklich	considerable/considerably	-	-
6600	erntereif	ready for harvest	-	-
6601	erogen	erogenous	-	-
6602	erstgeboren	first-born/firstborn	-	-
6603	erwartungsfroh	expectant/eager	-	-
6604	erwerbslos	jobless/unemployed	-	-
6605	erwerbsunfähig	unfit for work	-	-
6606	erzogen	brought up/educated	-	-
6607	euroskeptisch	Euro-sceptic	-	-
6608	eurozentrisch	Eurocentric	-	-
6609	eutroph	eutrophic	-	-
