rank	article	word	plural	english	cefr	flags
5449	der	Lebensabschnitt	Lebensabschnitte	stage of life/phase of life	-	-
5450	die	Lebenspartnerschaft	Lebenspartnerschaften	life partnership	-	-
4442	der	Lebensstandard	Lebensstandards	standard of living	C1	-
5452	der	Lebenszyklus	Lebenszyklen	life cycle/life history/lifecycle	-	-
5453	das	Lichtverhältnis	Lichtverhältnisse	lighting conditions	-	-
5454	der	Livestream	Livestreams	live stream	-	-
5455	die	Machbarkeitsstudie	Machbarkeitsstudien	feasibility study/proof-of-concept	-	-
4444	der	Meeresspiegel	Meeresspiegel	sea level	C1	-
5457	das	Pad	Pads	pad/pod	-	-
5458	der	Pakt	Pakte	pact	-	-
5459	das	Parkett	Parkette	parquet	-	-
5460	die	Patientenverfügung	Patientenverfügungen	advance directive	-	-
829	die	Pommes	Pommes	fries/chips (informal)	A1	pluraleTantum
5462	der	Projektmanager	Projektmanager	project manager	-	-
5463	das	Pseudonym	Pseudonyme	alias/pseudonym	-	-
5464	der	Referentenentwurf	Referentenentwürfe	draft bill/ministerial draft	-	-
5465	das	Reiten	—	horse riding	-	-
5466	die	Rennstrecke	Rennstrecken	course/racetrack	-	-
5467	die	Rinde	Rinden	bark/rind/crust	-	-
5468	die	Sackgasse	Sackgassen	blind alley/cul-de-sac/dead-end	-	-
3573	der	Schläger	Schläger	racket/bat	A2	-
5470	das	Schwert	Schwerter	sword	-	-
5471	der	Seelsorger	Seelsorger	minister/pastor	-	-
5472	die	Sitzbank	Sitzbänke	bench/seat/settee	-	-
4445	die	Sitzgelegenheit	Sitzgelegenheiten	seat	C1	-
5474	die	Sohle	Sohlen	sole	-	-
5475	der	Starkregen	Starkregen	intense rain/torrential rain	-	-
5476	die	Strafanzeige	Strafanzeigen	crime report/offence report/police report	-	-
5477	der	Tatverdächtige	Tatverdächtigen	suspect	-	adjNoun
3000	das	Treppenhaus	Treppenhäuser	staircase/stairwell	B1	-
836	der	Türke	Türken	Turk	A1	weak
5480	das	Übereinkommen	Übereinkommen	convention/agreement	-	-
5481	die	Universitätsmedizin	—	university medicine	-	-
5482	der	Unmut	—	discontent/dissatisfaction	-	-
5483	die	Urheberrechtsverletzung	Urheberrechtsverletzungen	copyright infringement/copyright violation	-	-
4446	der	Vegetarier	Vegetarier	vegetarian	C1	-
5485	die	Verflechtung	Verflechtungen	interconnection/entanglement	-	-
5486	die	Vernissage	Vernissagen	private view	-	-
5487	das	Vorhandensein	—	presence	-	-
5488	das	Waschen	—	washing	-	-
5489	der	Wegesrand	Wegesränder	wayside/roadside	-	-
5490	der	Windpark	Windparks	wind farm	-	-
5491	die	Witwe	Witwen	widow	-	-
1876	der	Zirkus	Zirkusse	circus	A2	-
5493	die	Zweitstimme	Zweitstimmen	second vote	-	-
5494	die	Abendstunde	Abendstunden	evening hour	-	-
5495	der	Abgrund	Abgründe	abyss/chasm/precipice	-	-
5496	das	Alleinstellungsmerkmal	Alleinstellungsmerkmale	unique selling point/unique selling proposition	C1	-
5497	der	Anführer	Anführer	chief/leader	-	-
3002	die	Anwältin	Anwältinnen	lawyer	B1	-
5499	das	Arbeitsgericht	Arbeitsgerichte	labour court	-	-
5500	der	Ärmel	Ärmel	sleeve	-	-
5501	die	Auferstehung	Auferstehungen	resurrection	-	-
4098	die	Ausrede	Ausreden	pretext	B2	-
5503	die	Bankverbindung	Bankverbindungen	bank connection/bank details	-	-
5504	der	Beigeordnete	Beigeordneten	deputy/alderman	-	adjNoun
5505	die	Bildungslandschaft	Bildungslandschaften	educational landscape	-	-
5506	das	Biogas	Biogase	biogas/fermentation gas/landfill gas	-	-
5507	der	Boom	Booms	boom	C1	-
5508	der	Bundesinnenminister	Bundesinnenminister	Federal Minister of the Interior	-	-
5509	die	Deponie	Deponien	landfill	-	-
5510	der	Deutschkurs	Deutschkurse	German course	-	-
5511	die	Division	Divisionen	division	-	-
5512	die	Drucksache	Drucksachen	printed matter	-	-
5513	das	Edelmetall	Edelmetalle	noble metal/precious metal	-	-
5514	der	Engländer	Engländer	British/Briton/English	-	-
838	die	Entschuldigung	Entschuldigungen	apology/excuse	A1	-
5516	die	Erbse	Erbsen	pea	-	-
5517	der	Erfahrungswert	Erfahrungswerte	empirical value	-	-
3005	die	Erkältung	Erkältungen	cold	B1	-
5519	der	Erstklässler	Erstklässler	first-grader	-	-
5520	das	Erzählen	—	narrating/telling	-	-
5521	das	Futtermittel	Futtermittel	animal feed	-	-
