rank	word	english	cefr	flags
1401	fortschrittlich	progressive/advanced	-	-
1402	gefertigt	manufactured/crafted	-	-
1403	gewinnbringend	profitable	-	-
1404	großformatig	large-format	B2	-
1405	haltbar	durable	B1	-
1406	rau	rough	B2	-
1407	reif	mature/ripe	B1	-
1408	sinnlich	sensory/sensual	-	-
1409	unbemerkt	unnoticed	-	-
1410	unberechtigt	unauthorised/unjustified	-	-
1411	wechselseitig	mutual/reciprocal	-	-
1412	zoologisch	zoological	-	-
1413	aromatisch	aromatic/distinctive/flavourful	C1	-
1414	bescheiden	humble/modest	C1	-
1415	dekorativ	decorative/ornamental	-	-
1416	fragwürdig	questionable	C1	-
1417	geordnet	ordered	-	-
1418	greifbar	concrete/palpably close/within reach	C1	-
1419	märkisch	of the Mark (Brandenburg)	-	-
1420	mecklenburgisch	Mecklenburgian	-	-
1421	rechnerisch	calculative/mathematical	-	-
1422	sauer	acid/angry/annoyed	A2	-
1423	siebt	seventh	-	-
1424	additiv	additional/additive	-	-
1425	auffallend	conspicuous/conspicuously/flamboyant	-	-
1426	erprobt	approved/proved	-	-
1427	geometrisch	geometric	C1	-
1428	gesamtgesellschaftlich	societal/society-wide	-	-
1429	gesellschaftspolitisch	socio-political	-	-
1430	ideologisch	ideologic/ideological	-	-
1431	kollegial	collegial	-	-
1432	kunstvoll	elaborate/ornate	-	-
1433	mitreißend	exciting/rousing/thrilling	-	-
1434	neurologisch	neurological	C1	-
1435	rational	rational	-	-
1436	revolutionär	revolutionary	B2	-
1437	schottisch	Scottish	-	-
1438	sensationell	sensational	B2	-
1439	urkundlich	documentary	-	-
1440	alphabetisch	alphabetical/alphabetically/in alphabatical order	-	-
1441	ausgelassen	boisterous/ebullient/exuberant	-	-
1442	benutzerfreundlich	user-friendly	-	-
1443	einvernehmlich	consensual	C1	-
1444	fahrend	travelling/moving	-	-
1445	indigen	indigenous/native	-	-
1446	langwierig	lengthy/prolonged	B2	-
1447	mitteldeutsch	Central German/Middle German	-	-
1448	naturgemäß	in accordance with nature	-	-
1449	neuronal	neural/neuronal	-	-
1450	planmäßig	according to plan/according to schedule/as planned	C1	-
1451	portugiesisch	Portuguese	-	-
1452	rückgängig	declining/retrogressive	-	-
1453	saftig	hefty/juicy/vivid	-	-
1454	senkrecht	perpendicular/vertical	B1	-
1455	unerheblich	irrelevant	-	-
1456	ungeklärt	unresolved/untreated	-	-
1457	zerstört	destroyed	-	-
1458	akzeptabel	acceptable	-	-
1459	begehbar	walk-in/walkable for pedestrians	-	-
1460	fündig	rich	-	-
1461	gastronomisch	gastronomic	-	-
1462	gehalten	controlled/selfcontrolled	C1	-
1463	getrocknet	dried	-	-
1464	hochrangig	high-level/high-ranking	-	-
1465	jährig	-year-old/annual	-	-
1466	nachteilig	disadvantageous	-	-
1467	nachwachsend	growing again/regrowing/renewable	C1	-
1468	nachweisbar	detectable/traceable/verifiable	C1	-
1469	raffiniert	clever/cunning/ingenious	-	-
1470	schier	sheer	-	-
1471	schwerpunktmäßig	concentrating on certain main points/predominantly	-	-
1472	sozialistisch	socialist	B2	-
1473	sozialpolitisch	sociopolitical	-	-
1474	umständlich	long-winded	C1	-
1475	unfassbar	incomprehensible/inconceivable/incredible	-	-
1476	wünschenswert	desirable	B2	-
1477	äußerlich	external/outward/superficial	B1	-
1478	befreundet	close/friendly/friends	A2	-
1479	beidseitig	bilateral	-	-
1480	besorgt	anxious/apprehensive/worried	A2	-
1481	fix	fast/fixed/quick	-	-
1482	gemein	common/mean	B2	-
1483	katastrophal	disastrous	-	-
1484	messbar	measurable	-	-
1485	riskant	risky	B2	-
1486	überdacht	roofed	C1	-
1487	unauffällig	inconspicuous	C1	-
1488	ungestört	undisturbed	-	-
1489	weltberühmt	world-famous	-	-
1490	willkürlich	arbitrary	-	-
1491	ausgeglichen	balanced/even/in balance	C1	-
1492	gleichbleibend	constant/steady	-	-
1493	machbar	feasible	-	-
1494	partizipativ	participatory	-	-
1495	prachtvoll	magnificent/marvellous/splendid	-	-
1496	unbestimmt	indefinite/uncertain/undetermined	A1	-
1497	unkonventionell	unconventional	B2	-
1498	zahllos	countless/innumerable/uncountable	-	-
1499	ausschließlich	exclusive	B1	-
1500	bedrohlich	dangerous/threatening	B2	-
1501	berufstätig	employed/working	B1	-
1502	beruhigend	sedative/soothing	B2	-
1503	eindringlich	compelling/insistent/urgent	-	-
1504	eisern	adamant/iron/unflagging	-	-
1505	erfahrungsgemäß	empirical	-	-
1506	fachübergreifend	interdisciplinary	-	-
1507	funktionsfähig	functioning/workable/working	-	-
1508	gebildet	cultured/educated/erudite	B1	-
1509	maßgebend	authoritative	-	-
1510	schwul	gay	-	-
1511	starr	rigid	B2	-
1512	unbefugt	unauthorised	-	-
1513	verbal	verbal	-	-
1514	verschlossen	locked/reserved/taciturn	-	-
1515	vollumfänglich	comprehensive/fully extensive	-	-
1516	vorletzt	second to last	-	-
1517	webbasiert	web-based	-	-
1518	belastet	fraught	C1	-
1519	ereignisreich	eventful/eventfully	-	-
1520	erschwinglich	affordable	C1	-
1521	ersichtlich	apparent/clear	-	-
1522	glaubwürdig	authentic/believable/credible	B2	-
1523	knackig	crisp/crunchy/firm	-	-
1524	merklich	appreciable/noticeable	-	-
1525	nächstgelegen	nearest/closest	-	-
1526	paritätisch	equal	-	-
1527	skeptisch	sceptic/sceptical	B2	-
1528	stressig	stressful	A1	-
1529	untergeordnet	inferior/minor/subordinate	C1	-
1530	untrennbar	inseparable	-	-
1531	urig	cosy/quaint/rustic	-	-
1532	westdeutsch	West German	-	-
1533	badisch	from Baden	-	-
1534	fruchtig	fruity	-	-
1535	handgemalt	hand-painted	-	-
1536	knifflig	fiddly/tricky	C1	-
1537	kommunistisch	communist/communistic	-	-
1538	körpereigen	endogenous	-	-
1539	kurdisch	Kurdish	-	-
1540	lebenswichtig	vital	-	-
1541	mittelgroß	medium-sized	-	-
1542	numerisch	numeric	-	-
1543	packend	moving/thrilling	-	-
1544	regulatorisch	regulatory	-	-
1545	sorbisch	Sorbian	-	-
1546	umsetzbar	implementable/feasible	-	-
1547	unerlässlich	essentially	C1	-
1548	verspätet	delayed/late	A2	-
1549	wach	awake	A1	-
1550	abendlich	vespertine	-	-
1551	gewalttätig	violent	-	-
1552	globalisiert	globalised	-	-
1553	hilflos	helpless	B2	-
1554	hungrig	hungry	A1	-
1555	infiziert	infected	-	-
1556	iranisch	Irani/Iranian	-	-
1557	länderübergreifend	cross-national/international	-	-
1558	merkwürdig	remarkable/strange	B1	-
1559	mysteriös	mysterious	-	-
1560	orthopädisch	orthopaedic/orthopedic	-	-
1561	strafbar	accusable/actionable/amerciable	B1	-
1562	tariflich	according/by negotiation/negotiated	-	-
1563	umweltschonend	eco friendly	-	-
1564	unverhältnismäßig	disproportionate	-	-
1565	unwirksam	ineffective/void	-	-
1566	unzufrieden	dissatisfied	-	-
1567	uralt	ancient/very old	-	-
1568	vereinbar	compatible/reconcilable	-	-
1569	vergeblich	futile/in vain	B1	-
1570	volljährig	full age	-	-
1571	vorsätzlich	intentional	C1	-
1572	wasserdicht	airtight/impermeable/waterproof	-	-
1573	zehnt	tenth	-	-
1574	abgelegen	remote	C1	-
1575	angesehen	distinguished/reputable/respected	C1	-
