rank	word	english	cefr	flags
2101	überproportional	disproportionate	-	-
2102	überzogen	excessive/overdrawn	C1	-
2103	unbehandelt	natural/real/unattended	-	-
2104	unentbehrlich	essential/indispensable/vital	-	-
2105	ursächlich	causal	-	-
2106	valide	valid	-	-
2107	verfassungswidrig	unconstitutional	-	-
2108	verschreibungspflichtig	prescription	-	-
2109	wahrnehmbar	noticeable/perceivable/perceptible	-	-
2110	wetterfest	weatherproof	-	-
2111	adaptiv	adaptive	-	-
2112	alleinstehend	detached/single/unattached	C1	-
2113	angefertigt	fabricated/made	-	-
2114	anhängig	pendent/pending	-	-
2115	besorgniserregend	alarming/worrisome	-	-
2116	blöd	frustrating/silly/stupid	A2	-
2117	dörflich	village-like/rural	-	-
2118	dreißigjährig	thirty-year/thirty-year-old	-	-
2119	einflussreich	influential	B2	-
2120	feminin	female/feminine	A1	-
2121	filigran	filigree	-	-
2122	fremdenfeindlich	hostile to foreigners/xenophobic	-	-
2123	gegensätzlich	opposing/contradictory	-	-
2124	hügelig	hilly	-	-
2125	kinderfreundlich	child friendly	-	-
2126	kundenspezifisch	customised	-	-
2127	länglich	longish/oblong	-	-
2128	marode	indisposed/rickety	-	-
2129	öffentlichkeitswirksam	effective in publicity/high-profile	-	-
2130	originär	original	-	-
2131	partiell	partial	-	-
2132	proprietär	closed/proprietary	-	-
2133	resistent	resistant	-	-
2134	restriktiv	restrictive	-	-
2135	routiniert	experienced/seasoned	C1	-
2136	saudisch	Saudi/Saudi-Arabian	-	-
2137	schattig	shadowy/shady	-	-
2138	schulpflichtig	of compulsory school age	-	-
2139	stillgelegt	shut down/decommissioned	-	-
2140	stimmberechtigt	eligible to vote	-	-
2141	strittig	controversial/disputed/litigious	C1	-
2142	umgangssprachlich	colloquial/colloquially/demotic	B2	-
2143	umweltbewusst	ecology-minded	-	-
2144	unschlagbar	unbeatable	-	-
2145	verlassen	abandoned/alone	-	-
2146	verschneit	niveous/snow covered/snowy	-	-
2147	wohlig	pleasant	C1	-
2148	abschreckend	daunting/deterrent/repulsive	-	-
2149	achtsam	attentive/careful/carefully	C1	-
2150	anpassbar	adaptable	-	-
2151	beispiellos	unparalleled/unprecedented	-	-
2152	bulgarisch	Bulgarian	-	-
2153	dreckig	dirty/filthy	B2	-
2154	dreistellig	triple-digit	-	-
2155	eigenhändig	holograph/single-handed/with one's own hand	-	-
2156	gebraten	roasted	-	-
2157	gebührenfrei	fee-free	-	-
2158	karibisch	Caribbean	-	-
2159	kollaborativ	collaborative	-	-
2160	krebserregend	carcinogenic	-	-
2161	lau	lukewarm/mild/tepid	-	-
2162	majestätisch	imperial/majestic/regal	-	-
2163	nachgeordnet	subordinate	-	-
2164	nachtaktiv	nocturnal	-	-
2165	nuklear	nuclear	-	-
