rank	word	type	praeteritum	perfekt	auxiliary	english	cefr
2801	kodieren	regular	-	-	UNSET	code/encode	-
2802	kollabieren	regular	-	-	sein	collapse	-
2803	lästern	regular	-	-	UNSET	backbite/blaspheme/malign	-
2804	lichten	regular	-	-	UNSET	clear/thin out	-
2805	maskieren	regular	-	-	UNSET	conceal/disguise/dress up	-
2806	purzeln	regular	-	-	UNSET	drop/fall/tumble	-
2807	säugen	regular	-	-	UNSET	suckle	-
2808	scherzen	regular	-	-	UNSET	joke	-
2809	schieflaufen	irregular	lief schief	schiefgelaufen	sein	go wrong	-
2810	schlichten	regular	-	-	UNSET	mediate/settle	-
2811	schmökern	regular	-	-	UNSET	browse through/leaf through	-
2812	schmoren	regular	-	-	UNSET	braise/overheat	C1
2813	siedeln	regular	-	-	UNSET	settle	-
2814	stressen	regular	-	-	UNSET	put under stress	B2
2815	übersiedeln	regular	-	-	UNSET	move	-
2816	überspielen	regular	-	-	UNSET	conceal/dub/outplay	-
2817	umrechnen	regular	-	-	UNSET	convert	-
2818	umrunden	regular	-	-	UNSET	circumnavigate	B2
2819	umwerfen	irregular	warf um	umgeworfen	haben	knock over/stun/throw on	-
2820	verbiegen	irregular	verbog	verbogen	haben	become bent/bend	-
2821	vereiteln	regular	-	-	UNSET	foil/thwart	-
2822	verhören	regular	-	-	UNSET	interrogate/mishear	-
2823	verkümmern	regular	-	-	UNSET	atrophy/die/waste away	-
2824	vervierfachen	regular	-	-	UNSET	increase fourfold/quadruple	-
2825	verwässern	regular	-	-	UNSET	water down	-
2826	verwirren	regular	-	-	UNSET	confuse	C1
2827	voraussehen	irregular	sah voraus	vorausgesehen	haben	anticipate/foresee	-
2828	wegmüssen	irregular	musste weg	weggemusst	haben	have to leave/have to go	-
2829	wegräumen	regular	-	-	UNSET	remove/tidy	A1
2830	zupacken	regular	-	-	UNSET	get down/grab/knuckle down	-
2831	zupfen	regular	-	-	UNSET	pluck	-
2832	zurückwollen	regular	-	-	UNSET	get back/go back/return	-
2833	zuvorkommen	irregular	kam zuvor	zuvorgekommen	sein	anticipate	-
2834	zwischenspeichern	regular	-	-	UNSET	cache/save temporarily	-
2835	abmachen	regular	-	-	UNSET	agree/remove/take off	-
2836	abschlagen	irregular	schlug ab	abgeschlagen	haben	beat/drive back/knock off	-
2837	absegnen	regular	-	-	UNSET	bless/grant	-
2838	abstrafen	regular	-	-	UNSET	punish	-
2839	abstreifen	regular	-	-	UNSET	free oneself from/get rid of/slip off	C1
2840	abzählen	regular	-	-	UNSET	choose by counting/count/count up	-
2841	anhäufen	regular	-	-	UNSET	accumulate/pile up/rack up	-
2842	anlassen	irregular	ließ an	angelassen	haben	start/leave on	-
2843	asphaltieren	regular	-	-	UNSET	asphalt	-
2844	aufblasen	irregular	blies auf	aufgeblasen	haben	inflate/show off	-
2845	auffressen	irregular	fraß auf	aufgefressen	haben	devour/eat up	-
2846	auftauen	regular	-	-	UNSET	thaw	-
2847	aufweichen	regular	-	-	UNSET	become soft/soak/soften	-
2848	ausgliedern	regular	-	-	UNSET	outsource	-
2849	aushärten	regular	-	-	UNSET	age/cure/harden	-
2850	ausholen	regular	-	-	UNSET	draw back/go far back/sound out	-
2851	aussteuern	regular	-	-	UNSET	disqualify/endow/modulate	-
2852	auszählen	regular	-	-	UNSET	count/count out	-
2853	beglücken	regular	-	-	UNSET	bless/delight/make happy	-
2854	bekleben	regular	-	-	UNSET	stick on/cover with stickers or labels	-
2855	besingen	irregular	besang	besungen	haben	celebrate/extol	-
2856	bewirten	regular	-	-	UNSET	host/cater to	-
2857	bezichtigen	regular	-	-	UNSET	accuse	-
2858	davontragen	irregular	trug davon	davongetragen	haben	carry away/carry off/come away	-
2859	dimensionieren	regular	-	-	UNSET	dimension/size	-
2860	dimmen	regular	-	-	UNSET	dim	-
2861	dividieren	regular	-	-	UNSET	divide	-
2862	durchsuchten	regular	-	-	UNSET	search through	-
2863	einfliegen	irregular	flog ein	eingeflogen	sein	fly in/fly into/get flying practice	-
2864	entgegenhalten	irregular	hielt entgegen	entgegengehalten	haben	counter/gainsay	-
2865	entledigen	regular	-	-	UNSET	get rid of	-
2866	entleihen	irregular	entlieh	entliehen	haben	borrow	-
2867	ereilen	regular	-	-	UNSET	befall	-
2868	erhärten	regular	-	-	sein	harden	-
2869	florieren	regular	-	-	UNSET	boom/flourish/prosper	-
2870	futtern	regular	-	-	UNSET	eat/feast	-
2871	guthaben	regular	-	-	UNSET	have credit/have something in hand	-
2872	heranrücken	regular	-	-	UNSET	approach/come closer/draw near	-
2873	hinken	regular	-	-	UNSET	halt/limp	-
2874	jonglieren	regular	-	-	UNSET	juggle	-
2875	karamellisieren	regular	-	-	UNSET	caramelise	-
2876	klappern	regular	-	-	UNSET	clatter/click/rattle	-
2877	lancieren	regular	-	-	UNSET	launch	-
2878	lecken	regular	-	-	UNSET	leak/lick	-
2879	meditieren	regular	-	-	UNSET	meditate	B2
2880	meißeln	regular	-	-	UNSET	chisel	-
2881	mühen	regular	-	-	UNSET	make an effort	-
2882	nachbereiten	regular	-	-	UNSET	follow up/go over	-
2883	naschen	regular	-	-	UNSET	graze/snack	-
2884	portieren	regular	-	-	UNSET	port	-
2885	portionieren	regular	-	-	UNSET	portion	-
2886	privatisieren	regular	-	-	UNSET	pass into private hands/privatise	-
2887	prügeln	regular	-	-	UNSET	beat/beat up/brawl	-
2888	quellen	irregular	quoll	gequollen	sein	gush/soak/swell	-
2889	schimmern	regular	-	-	UNSET	gleam/glisten/shimmer	-
2890	schlussfolgern	regular	-	-	UNSET	conclude/reason	-
2891	schrecken	regular	-	-	UNSET	frighten	B1
2892	schrillen	regular	-	-	UNSET	shrill	-
2893	solidarisieren	regular	-	-	UNSET	show solidarity	-
2894	sprinten	regular	-	-	UNSET	sprint	C1
2895	transplantieren	regular	-	-	UNSET	transplant	-
2896	überlisten	regular	-	-	UNSET	outsmart/outwit/trick	-
2897	überrollen	regular	-	-	UNSET	roll over/run over/overrun	-
2898	umwerben	irregular	umwarb	umworben	haben	court/woo	-
2899	unterbieten	irregular	unterbot	unterboten	haben	undercut	-
2900	verärgern	regular	-	-	UNSET	annoy/upset	B2
2901	verfüllen	regular	-	-	UNSET	backfill/fill	-
2902	verhöhnen	regular	-	-	UNSET	deride/jeer/mock	-
2903	verleugnen	regular	-	-	UNSET	deny	-
2904	verputzen	regular	-	-	UNSET	parget/plaster/scarf	-
2905	verschmerzen	regular	-	-	UNSET	get over	-
2906	verstummen	regular	-	-	UNSET	die away/fall silent/hush	-
2907	verzehnfachen	regular	-	-	UNSET	increase tenfold	-
2908	vibrieren	regular	-	-	UNSET	vibrate	C1
2909	vorsetzen	regular	-	-	UNSET	set in front of; serve/present	-
2910	zensieren	regular	-	-	UNSET	censor/mark	C1
2911	zertrümmern	regular	-	-	UNSET	break up/smash/split	-
2912	zoomen	regular	-	-	UNSET	zoom	-
2913	zusammennehmen	irregular	nahm zusammen	zusammengenommen	haben	consider/gather up/pull oneself together	B2
2914	abhauen	irregular	haute ab	abgehauen	sein	cut off/run away	-
2915	abreiben	irregular	rieb ab	abgerieben	haben	rub off/dry off/grate	-
2916	abriegeln	regular	-	-	UNSET	bar/bolt/cordon	B2
2917	abschleifen	irregular	schliff ab	abgeschliffen	haben	grind/polish/refine	-
2918	abstreiten	irregular	stritt ab	abgestritten	haben	deny/gainsay	-
2919	abzocken	regular	-	-	UNSET	rip off	-
2920	anheften	regular	-	-	UNSET	attach/baste/decorate	-
2921	ankaufen	regular	-	-	UNSET	buy/purchase	B2
2922	anlernen	regular	-	-	UNSET	train/teach	-
2923	anschnallen	regular	-	-	UNSET	buckle on/strap sb. in/strap up	B1
2924	anstarren	regular	-	-	UNSET	stare	-
2925	antizipieren	regular	-	-	UNSET	anticipate	-
2926	aufessen	irregular	aß auf	aufgegessen	haben	eat up/finish	-
2927	aufhebeln	regular	-	-	UNSET	break open/force open/pry open	-
2928	auflehnen	regular	-	-	UNSET	rebel/revolt	C1
2929	aufpolieren	regular	-	-	UNSET	brush up	-
2930	auftanken	regular	-	-	UNSET	fill up/gas/recover	B2
2931	aufwiegen	irregular	wog auf	aufgewogen	haben	offset	-
2932	ausbalancieren	regular	-	-	UNSET	balance	-
2933	ausklappen	regular	-	-	UNSET	fold out/open out	-
2934	authentifizieren	regular	-	-	UNSET	authenticate	-
2935	beschmieren	regular	-	-	UNSET	smear/scrawl on	-
2936	beteuern	regular	-	-	UNSET	asseverate/assure	C1
2937	bewässern	regular	-	-	UNSET	irrigate/water	-
2938	boxen	regular	-	-	UNSET	box	-
2939	bräunen	regular	-	-	UNSET	brown/tan	-
2940	brüllen	regular	-	-	UNSET	bellow/bray/holler	-
2941	bürgen	regular	-	-	UNSET	vouch/warrant	-
2942	bürsten	regular	-	-	UNSET	brush	-
2943	degradieren	regular	-	-	UNSET	degrade/demote	-
2944	disqualifizieren	regular	-	-	UNSET	disqualify	B2
2945	durchbringen	irregular	brachte durch	durchgebracht	haben	get through/squander	-
2946	durchfließen	irregular	durchfloss	durchflossen	haben	flow through	-
2947	düsen	regular	-	-	UNSET	dash/rush	-
2948	eingemeinden	regular	-	-	UNSET	incorporate into a municipality/annex	-
2949	einrücken	regular	-	-	sein	move in; indent; be called up	-
2950	eintreiben	irregular	trieb ein	eingetrieben	haben	collect	-
2951	emanzipieren	regular	-	-	UNSET	emancipate	-
2952	entpacken	regular	-	-	UNSET	unpack/unpackage/unzip	-
2953	flimmern	regular	-	-	UNSET	flicker/glimmer	-
2954	folgern	regular	-	-	UNSET	conclude/deduce/infer	C1
2955	foltern	regular	-	-	UNSET	torture	-
2956	gruseln	regular	-	-	UNSET	give someone the creeps	-
2957	heraufbeschwören	irregular	beschwor herauf	heraufbeschworen	haben	bring about/conjure up/evoke	-
2958	herumstehen	irregular	stand herum	herumgestanden	haben	be in the way/hang around/stand around	C1
2959	herumtragen	irregular	trug herum	herumgetragen	haben	carry about/carry around/circulate	-
2960	hierbleiben	irregular	blieb hier	hiergeblieben	haben	stay	-
2961	hinreißen	irregular	riss hin	hingerissen	haben	carry away/enrapture	-
2962	hinwegsetzen	regular	-	-	UNSET	disregard something/flout/jump over	-
2963	horchen	regular	-	-	UNSET	eavesdrop/hark/listen	-
2964	intervenieren	regular	-	-	UNSET	intercede/interfere/intervene	-
2965	kaputtmachen	regular	-	-	UNSET	break/kill oneself/smash	B1
2966	kompilieren	regular	-	-	UNSET	compile	-
2967	kontrastieren	regular	-	-	UNSET	contrast	-
2968	krankmachen	regular	-	-	UNSET	make sick/sicken	-
2969	losziehen	irregular	zog los	losgezogen	haben	go off/go out/lash out at	-
2970	nummerieren	regular	-	-	UNSET	number	A1
2971	plätschern	regular	-	-	UNSET	ripple/splash/babble	-
2972	präferieren	regular	-	-	UNSET	prefer	-
2973	rasen	regular	-	-	UNSET	race/rage/rush	A2
2974	sabotieren	regular	-	-	UNSET	sabotage	-
2975	schuften	regular	-	-	UNSET	work like a horse	B1
2976	schwächeln	regular	-	-	UNSET	weaken slightly	-
2977	stampfen	regular	-	-	UNSET	stamp/stomp	-
2978	stutzen	regular	-	-	UNSET	prune/trim; stop short	-
2979	subtrahieren	regular	-	-	UNSET	subtract	-
2980	trügen	irregular	trog	getrogen	haben	deceive	-
2981	umbuchen	regular	-	-	UNSET	rebook	-
2982	umfallen	irregular	fiel um	umgefallen	sein	fall over/faint	B2
2983	unterfordern	regular	-	-	UNSET	demand too little/not challenge enough/underchallenge	B2
2984	untergliedern	regular	-	-	UNSET	subdivide	-
2985	updaten	regular	-	-	UNSET	update	-
2986	verloben	regular	-	-	UNSET	affiance/become engaged/betroth	-
2987	verpönen	regular	-	-	UNSET	frown upon	-
2988	verprügeln	regular	-	-	UNSET	beat up/thrash	-
2989	verscheuchen	regular	-	-	UNSET	drive away/drive off	-
2990	vonstattengehen	irregular	ging vonstatten	vonstattengegangen	sein	take place	-
2991	vorlassen	irregular	ließ vor	vorgelassen	haben	let go ahead/let pass	-
2992	vorpreschen	regular	-	-	UNSET	rush ahead	-
2993	vorrücken	regular	-	-	UNSET	advance/go forward/move forward	-
2994	weglaufen	irregular	lief weg	weggelaufen	sein	run away	A2
2995	wetteifern	regular	-	-	UNSET	compete	-
2996	wettmachen	regular	-	-	UNSET	compensate/make up for	-
2997	zeihen	irregular	zieh	geziehen	haben	accuse	-
2998	zurückmüssen	irregular	musste zurück	zurückgemusst	haben	have to go back	-
2999	zurückschneiden	irregular	schnitt zurück	zurückgeschnitten	haben	cut back/prune	-
3000	abbrausen	regular	-	-	UNSET	shower off; rush off	-
3001	abfeuern	regular	-	-	UNSET	fire	-
3002	absacken	regular	-	-	UNSET	sag/drop/slump	-
3003	abscheiden	irregular	schied ab	abgeschieden	haben	separate; die/depart	-
3004	abstumpfen	regular	-	-	UNSET	blunt	-
3005	anberaumen	regular	-	-	UNSET	appoint a time for/schedule	-
3006	anvisieren	regular	-	-	UNSET	aim at/sight/target	-
3007	aufsammeln	regular	-	-	UNSET	gather/pick up	-
3008	auswiegen	irregular	wog aus	ausgewogen	haben	weigh/weigh out	-
3009	befeuchten	regular	-	-	UNSET	moisten	-
3010	befreunden	regular	-	-	UNSET	befriend	-
3011	behüten	regular	-	-	UNSET	protect/shelter	-
3012	beiseitelegen	regular	-	-	UNSET	put aside/stash	-
3013	belangen	regular	-	-	UNSET	prosecute/take legal action against	-
3014	belügen	irregular	belog	belogen	haben	lie/tell someone a lie	-
3015	benützen	regular	-	-	UNSET	use	-
3016	beschatten	regular	-	-	UNSET	shadow	-
3017	beschönigen	regular	-	-	UNSET	whitewash/gloss over	-
3018	betören	regular	-	-	UNSET	bewitch	-
3019	demütigen	regular	-	-	UNSET	humiliate	-
3020	diversifizieren	regular	-	-	UNSET	diversify	-
3021	durchdrehen	regular	-	-	UNSET	crack up/freak out/go crazy	-
3022	durchwandern	regular	-	-	UNSET	hike through/wander through	-
3023	eincremen	regular	-	-	UNSET	apply cream/lotion	-
3024	einlenken	regular	-	-	UNSET	relent/turn	B2
3025	einmarschieren	regular	-	-	UNSET	invade	-
3026	einstechen	irregular	stach ein	eingestochen	haben	perforate/prick/stab	-
3027	einverleiben	regular	-	-	UNSET	annex/assimilate/eat	-
3028	einwechseln	regular	-	-	UNSET	exchange/substitute	-
3029	entrümpeln	regular	-	-	UNSET	clean up/remove junk	B2
3030	erstechen	irregular	erstach	erstochen	haben	knife/stab	-
3031	ersuchen	regular	-	-	UNSET	request	-
3032	frönen	regular	-	-	UNSET	indulge	-
3033	gegenübersehen	irregular	sah gegenüber	gegenübergesehen	haben	be confronted with	-
3034	googeln	regular	-	-	UNSET	google	B1
3035	hieven	regular	-	-	UNSET	heave/place	-
3036	hissen	regular	-	-	UNSET	haul up/hoist	-
3037	hobeln	regular	-	-	UNSET	plane	-
3038	huldigen	regular	-	-	UNSET	pay homage to	-
3039	husten	regular	-	-	UNSET	cough	A1
3040	jobben	regular	-	-	UNSET	work a casual/part-time job	A2
3041	kalibrieren	regular	-	-	UNSET	calibrate/gauge	-
3042	katalogisieren	regular	-	-	UNSET	catalogue	-
3043	kichern	regular	-	-	UNSET	chuckle/giggle/snigger	C1
