rank	article	word	plural	english	cefr	flags
20482	das	Hundertstel	Hundertstel	hundredth	-	-
20483	die	Hybris	—	hubris	-	-
20484	das	Hygieneprodukt	Hygieneprodukte	hygiene product	-	-
20485	die	Hyposensibilisierung	Hyposensibilisierungen	hyposensitisation	-	-
20486	der	Ibis	Ibisse	ibis	-	-
20487	der	Ideenaustausch	Ideenaustausche	exchange of ideas	-	-
20488	der	Identitätsdiebstahl	Identitätsdiebstähle	identity theft	-	-
20489	das	Idyll	Idylle	idyll	-	-
20490	der	Imageschaden	Imageschäden	image damage	-	-
8891	die	Imbissbude	Imbissbuden	snack bar	C1	-
20492	der	Immobilienboom	Immobilienbooms	real estate boom	-	-
20493	die	Impfdosis	Impfdosen	vaccine dose	-	-
20494	der	Impfpass	Impfpässe	vaccination card	-	-
20495	der	Inch	Inches	inch	-	-
1799	der	Individualist	Individualisten	cunning	A1	weak
20497	das	Induktionskochfeld	Induktionskochfelder	induction cooker	-	-
20498	das	Industriegebäude	Industriegebäude	industrial building/industry building	-	-
20499	die	Infobroschüre	Infobroschüren	info brochure	-	-
7710	der	Informant	Informanten	informant	B2	weak
20501	die	Informationslücke	Informationslücken	information gap	-	-
20502	der	Informationstext	Informationstexte	information text	-	-
20503	die	Ingenieurgesellschaft	Ingenieurgesellschaften	engineering company	-	-
20504	die	Ingenieurleistung	Ingenieurleistungen	engineering services	-	-
20505	die	Ingenieurskunst	Ingenieurskünste	engineering skill	-	-
20506	der	Inhibitor	Inhibitoren	inhibitor	-	-
20507	die	Initiation	Initiationen	initiation	-	-
20508	die	Inkonsistenz	Inkonsistenzen	inconsistency	-	-
20509	der	Inländer	Inländer	domestic resident/native	-	-
20510	der	Innenarchitekt	Innenarchitekten	interior designer	-	weak
20511	das	Innovationspotential	Innovationspotentiale	innovation potential	-	-
4233	der	Instrumentenbauer	Instrumentenbauer	instrument builder	B2	-
20513	die	Integralrechnung	Integralrechnungen	integral calculus	-	-
20514	der	Intercity	Intercitys	intercity train	-	-
20515	das	Interim	Interims	arrangement/interim/meantime	-	-
20516	die	Internetfirma	Internetfirmen	internet company	-	-
20517	der	Internetprovider	Internetprovider	Internet provider	-	-
8892	die	Internetsucht	—	Internet addiction	C1	-
20519	das	Internierungslager	Internierungslager	internment camp	-	-
20520	der	Interpretationsspielraum	Interpretationsspielräume	room for interpretation	-	-
20521	die	Interviewpartnerin	Interviewpartnerinnen	interview partner (female)	-	-
20522	die	Investorin	Investorinnen	investor (female)	-	-
20523	der	Iraker	Iraker	Iraqi	-	-
20524	die	Islamisierung	Islamisierungen	Islamisation	-	-
20525	der	Islamwissenschaftler	Islamwissenschaftler	Islamic studies scholar	-	-
20526	der	Israelit	Israeliten	Israelite	-	weak
20527	die	Iteration	Iterationen	iteration	-	-
20528	die	Jahresangabe	Jahresangaben	year indication/year reference	-	-
20529	die	Jahresbilanz	Jahresbilanzen	annual balance sheet	-	-
20530	die	Jahrespressekonferenz	Jahrespressekonferenzen	annual press conference	-	-
1800	das	Japanisch	—	Japanese	A1	-
20532	die	Jazzszene	Jazzszenen	jazz scene	-	-
20533	der	Jeside	Jesiden	Yazidi/Yezidi	-	weak
20534	der	Jetlag	Jetlags	jet lag/jet-lag/jetlag	-	-
20535	die	Johanneskirche	Johanneskirchen	St John's Church	-	-
20536	der	Jordanier	Jordanier	Jordanian	-	-
20537	die	Judenverfolgung	Judenverfolgungen	persecution of Jews	-	-
20538	die	Jugendliebe	Jugendlieben	youthful love/first love	-	-
20539	die	Jugendseelsorge	—	youth pastoral care	-	-
20540	die	Jugendsprache	Jugendsprachen	youth language	-	-
20541	der	Jugendtag	Jugendtage	Youth Day	-	-
20542	der	Jungenname	Jungennamen	boy's name	-	weak
20543	die	Jungfernfahrt	Jungfernfahrten	maiden voyage	-	-
20544	der	Juniorpartner	Juniorpartner	junior associate	-	-
20545	der	Junker	Junker	Junker	-	-
20546	die	Jurte	Jurten	yurt	-	-
20547	der	Justizpalast	Justizpaläste	Law Courts/Palace of Justice	-	-
20548	der	Jutebeutel	Jutebeutel	jute bag	-	-
20549	der	Kabelkanal	Kabelkanäle	cable channel/cable duct	-	-
20550	der	Kaffeekonsum	—	coffee consumption	-	-
20551	die	Kaffeemühle	Kaffeemühlen	coffee grinder/coffee mill/coffeemill	-	-
8893	das	Kaffeepulver	Kaffeepulver	ground coffee/coffee powder	C1	-
20553	die	Kaffeesorte	Kaffeesorten	coffee type	-	-
20554	die	Kaffeetasse	Kaffeetassen	coffee cup	-	-
20555	das	Kälbchen	Kälbchen	calf	-	-
20556	das	Kaltgetränk	Kaltgetränke	cold beverage	-	-
20557	die	Kaltluft	—	cold air	-	-
20558	das	Kamerabild	Kamerabilder	camera image	-	-
20559	die	Kameraleute	Kameraleute	camera operators/camera crew	-	-
20560	das	Kaminfeuer	Kaminfeuer	fireplace fire	-	-
7711	die	Kämpferin	Kämpferinnen	fighter (female)	B2	-
20562	der	Kampfmittelräumdienst	Kampfmittelräumdienste	explosive ordnance disposal service	-	-
20563	der	Kampfstoff	Kampfstoffe	combat agent/warfare agent	-	-
20564	der	Kapitalbedarf	Kapitalbedarfe	capital requirements	-	-
20565	die	Kapitalertragsteuer	Kapitalertragsteuern	capital gains tax	-	-
20566	der	Karolinger	Karolinger	Carolingian	-	-
20567	der	Kartoffelbrei	Kartoffelbreie	mashed potato/mashed potatoes	-	-
20568	der	Kartoffelpuffer	Kartoffelpuffer	fried mashed potatoes/fried potato patty/latke	-	-
20569	das	Kartoffelpüree	Kartoffelpürees	mashed potato/mashed potatoes	-	-
20570	die	Kartografie	—	cartography	-	-
20571	der	Käsekuchen	Käsekuchen	cheesecake	-	-
20572	die	Käsetheke	Käsetheken	cheese counter	-	-
