rank	article	word	plural	english	cefr	flags
14180	die	Feststellungsklage	Feststellungsklagen	declaratory action	-	-
14181	der	Feuerstein	Feuersteine	flint	-	-
3217	das	Feuerzeug	Feuerzeuge	lighter	B1	-
14183	die	Filmbranche	Filmbranchen	film industry	-	-
14184	der	Filmproduzent	Filmproduzenten	film producer	-	weak
14185	das	Filmset	Filmsets	film set/movie set	-	-
14186	das	Filmtheater	Filmtheater	cinema/movie theatre	-	-
14187	die	Finanzpolitik	Finanzpolitiken	financial policy	-	-
14188	die	Finanzspritze	Finanzspritzen	liquidity injection	-	-
4621	die	Finsternis	Finsternisse	darkness/eclipse	C1	-
1731	das	Fischgericht	Fischgerichte	fish dish	A1	-
14191	der	Fischmarkt	Fischmärkte	fish market	-	-
14192	das	Fischsterben	Fischsterben	fish kill/fish mortality	-	-
14193	der	Flachbildschirm	Flachbildschirme	flatscreen	-	-
14194	der	Flammkuchen	Flammkuchen	tarte flambée	-	-
14195	die	Fleischproduktion	Fleischproduktionen	meat production	-	-
14196	der	Flickenteppich	Flickenteppiche	patchwork	-	-
14197	die	Flüchtlingsfrage	—	refugee issue/refugee question	-	-
14198	die	Flüchtlingskonvention	Flüchtlingskonventionen	Refugee Convention	-	-
14199	die	Flügelspannweite	Flügelspannweiten	wingspan	-	-
14200	das	Flussbett	Flussbetten	river bed/riverbed	-	-
14201	das	Flüssiggas	Flüssiggase	liquefied petroleum gas/LPG	-	-
14202	das	Flussufer	Flussufer	river bank/riverside	-	-
14203	der	Font	Fonts	font	-	-
14204	die	Formalie	Formalien	formality	-	-
14205	das	Förmchen	Förmchen	tart mould	-	-
14206	der	Forschergeist	Forschergeister	spirit of inquiry/research spirit	-	-
14207	das	Forschungsschiff	Forschungsschiffe	research ship/research vessel	-	-
14208	der	Forschungszweck	Forschungszwecke	research purposes	-	-
14209	die	Fragmentierung	Fragmentierungen	fragmentation	-	-
14210	die	Frauenbeauftragte	Frauenbeauftragte	women's representative	-	-
14211	der	Frauenberuf	Frauenberufe	women's profession/female-dominated occupation	-	-
14212	das	Freibier	Freibiere	free beer	-	-
14213	der	Freiburger	Freiburger	person from Freiburg	-	-
14214	der	Freihandel	—	free trade	-	-
14215	der	Freiheitsgrad	Freiheitsgrade	degree of freedom	-	-
14216	die	Freikirche	Freikirchen	free church	-	-
14217	der	Freitagmittag	Freitagmittage	Friday lunchtime	-	-
14218	die	Freitreppe	Freitreppen	open staircase/outdoor steps	-	-
14219	die	Frischhaltefolie	Frischhaltefolien	cling film/plastic wrap	-	-
14220	der	Frischling	Frischlinge	boar piglet/freshman/shoat	-	-
14221	die	Frischluft	—	fresh air	-	-
14222	der	Frühstücksraum	Frühstücksräume	breakfast room	-	-
14223	der	Fünfjährige	Fünfjährigen	five-year-old	-	adjNoun
14224	der	Funkamateur	Funkamateure	radio amateur/ham radio operator	-	-
14225	das	Für	—	the pros (in 'das Für und Wider')	-	-
14226	die	Fürbitte	Fürbitten	intercession	-	-
14227	der	Fußgängerüberweg	Fußgängerüberwege	crosswalk/zebra	-	-
8791	die	Fußsohle	Fußsohlen	sole of the foot	C1	-
14229	der	Gag	Gags	gag	-	-
14230	der	Gartenbesitzer	Gartenbesitzer	garden owner	-	-
14231	das	Gasnetz	Gasnetze	gas network	-	-
14232	der	Gasometer	Gasometer	gasholder/gasometer	-	-
14233	der	Gastwirt	Gastwirte	publican	-	-
14234	der	Gauleiter	Gauleiter	gauleiter	-	-
14235	das	Gebein	Gebeine	bones/remains	-	-
14236	das	Gebläse	Gebläse	blower	-	-
3218	die	Gebrauchsanweisung	Gebrauchsanweisungen	instruction manual/instructions for use	B1	-
14238	die	Geburtenzahl	Geburtenzahlen	number of births/birth rate	-	-
14239	die	Gedankenwelt	Gedankenwelten	world of thought	-	-
14240	die	Gehbehinderung	Gehbehinderungen	walking disability	-	-
14241	der	Gehversuch	Gehversuche	walking attempt/walking test	-	-
14242	der	Geiger	Geiger	fiddler/violinist	-	-
14243	die	Geigerin	Geigerinnen	violinist (female)	-	-
8792	der	Geldschein	Geldscheine	banknote/bill/note	C1	-
14245	die	Gemüsebrühe	Gemüsebrühen	vegetable broth	-	-
14246	die	Generalsekretärin	Generalsekretärinnen	general secretary	-	-
14247	der	Generalverdacht	—	general suspicion	-	-
14248	die	Geodäsie	—	geodesy/geodetics/surveying	-	-
14249	die	Geräuschkulisse	Geräuschkulissen	ambient noise/background noise	-	-
14250	die	Gerichtskosten	Gerichtskosten	court costs	-	-
14251	der	Gerichtssaal	Gerichtssäle	courtroom	-	-
14252	der	Germane	Germanen	Germanic person/Teuton	-	weak
14253	die	Gerüchteküche	Gerüchteküchen	grapevine/rumour mill	-	-
14254	der	Gesamtschaden	Gesamtschäden	total damage	-	-
14255	das	Geschenkpapier	Geschenkpapiere	gift wrap paper	-	-
14256	der	Geschichtslehrer	Geschichtslehrer	history teacher	-	-
14257	das	Geschlechtsorgan	Geschlechtsorgane	genitalia/sex organ/sexual organ	-	-
14258	die	Geschwindigkeitsüberschreitung	Geschwindigkeitsüberschreitungen	speeding	-	-
14259	der	Gesichtszug	Gesichtszüge	facial feature/feature/lineament	-	-
14260	der	Gesundheitsexperte	Gesundheitsexperten	health expert	-	weak
14261	der	Gesundheitstourismus	—	health tourism	-	-
14262	der	Getränkemarkt	Getränkemärkte	beverage market	-	-
14263	die	Getreideart	Getreidearten	cereal type/grain type	-	-
14264	die	Gewöhnung	Gewöhnungen	habituation/getting used to	-	-
14265	das	Gießen	—	pouring/casting	-	-
14266	die	Gilde	Gilden	guild	-	-
14267	das	Gleichnis	Gleichnisse	parable/simile	-	-
14268	die	Gräfin	Gräfinnen	countess	-	-
14269	der	Grand	Grands	grand (card game)	-	-
14270	der	Gratulant	Gratulanten	congratulator	-	weak
14271	der	Grenzbahnhof	Grenzbahnhöfe	border station/border railway station	-	-
8641	die	Grillparty	Grillpartys	barbecue	A1	-
14273	der	Großherzog	Großherzöge	grand duke	-	-
14274	das	Großherzogtum	Großherzogtümer	grand duchy	-	-
14275	das	Grundkapital	—	capital stock/share capital	-	-
14276	die	Grundmauer	Grundmauern	foundation wall	-	-
14277	die	Grundschullehrerin	Grundschullehrerinnen	elementary school teacher/primary school teacher	-	-
14278	der	Grundstückspreis	Grundstückspreise	property price/land price	-	-
14279	die	Halskette	Halsketten	necklace/necklet	-	-
14280	der	Halsschmerz	Halsschmerzen	sore throat	-	-
14281	die	Häme	—	malice/glee	-	-
14282	die	Handelsgesellschaft	Handelsgesellschaften	commercial company	-	-
14283	der	Handschlag	Handschläge	handshake	-	-
14284	das	Härchen	Härchen	hair/little hair	-	-
14285	die	Harfe	Harfen	harp	-	-
14286	die	Harnblase	Harnblasen	urinary bladder	-	-
14287	die	Haselnuss	Haselnüsse	hazel/hazelnut/hazelnut tree	-	-
14288	das	Hauptanliegen	Hauptanliegen	main concern	-	-
7628	die	Hauptattraktion	Hauptattraktionen	main attraction	B2	-
14290	der	Hauptgang	Hauptgänge	main course	-	-
14291	die	Hauptmahlzeit	Hauptmahlzeiten	main meal	-	-
14292	der	Hauptmarkt	Hauptmärkte	main market	-	-
14293	die	Hauptseite	Hauptseiten	main page	-	-
14294	die	Hauptspeise	Hauptspeisen	main course/main dish	-	-
14295	die	Hauptverkehrsstraße	Hauptverkehrsstraßen	arterial road/main artery road/main road	-	-
14296	der	Hauptweg	Hauptwege	main route	-	-
14297	der	Hausangestellte	Hausangestellten	domestic employee/domestic helper/domestic worker	-	adjNoun
14298	der	Hauseingang	Hauseingänge	entrance/front door	-	-
14299	die	Haushaltsberatung	Haushaltsberatungen	budget consultation	-	-
14300	das	Haushaltsgesetz	Haushaltsgesetze	budget act	-	-
14301	der	Hausverkauf	Hausverkäufe	house sale	-	-
14302	die	Hautkrankheit	Hautkrankheiten	skin disease	-	-
14303	das	Hebräisch	—	Hebrew	-	-
14304	die	Heckscheibe	Heckscheiben	rear window	-	-
14305	der	Hedgefonds	Hedgefonds	hedge fund	-	-
14306	der	Hefeteig	Hefeteige	leavened dough/yeast dough	-	-
14307	der	Hehl	—	secret (in 'kein Hehl daraus machen')	-	-
14308	der	Heimatvertriebene	Heimatvertriebenen	expellee	-	adjNoun
14309	das	Heimkind	Heimkinder	child in care/institutionalized child	-	-
14310	das	Heimkino	Heimkinos	home cinema/home theatre	-	-
14311	die	Herabsetzung	Herabsetzungen	reduction/lowering	-	-
14312	der	Herrschende	Herrschenden	ruler/ruling figure	-	adjNoun
14313	das	Hertz	—	hertz	-	-
14314	die	Hilfsbedürftige	Hilfsbedürftige	person in need of help	-	-
14315	der	Hinderungsgrund	Hinderungsgründe	obstacle/impediment	-	-
14316	das	Hinterbein	Hinterbeine	hind leg	-	-
14317	die	Hinweistafel	Hinweistafeln	information board	-	-
14318	die	Hirnblutung	Hirnblutungen	brain hemorrhage	-	-
14319	der	Hirnforscher	Hirnforscher	brain researcher	-	-
14320	die	Hirnhautentzündung	Hirnhautentzündungen	meningitis	-	-
14321	der	Hobbyfotograf	Hobbyfotografen	hobby photographer	-	weak
14322	der	Hobbykoch	Hobbyköche	hobby cook	-	-
4622	die	Hochachtung	—	respect/high esteem	C1	-
14324	die	Hocke	Hocken	crouch/squat	-	-
14325	die	Hoffnungslosigkeit	—	hopelessness	-	-
14326	das	Hole	Holes	hole	-	-
14327	der	Holzsteg	Holzstege	wooden footbridge/walkway	-	-
14328	die	Holzwirtschaft	Holzwirtschaften	timber industry	-	-
14329	die	Horde	Horden	horde/crowd	-	-
14330	der	Hundekot	—	dog feces/dog mess	-	-
14331	das	Ibuprofen	—	ibuprofen	-	-
14332	der	Industriebereich	Industriebereiche	industrial sector	-	-
14333	das	Industriedenkmal	Industriedenkmale	industry monument	-	-
14334	der	Infarkt	Infarkte	infarction	-	-
7630	die	Informationsbeschaffung	Informationsbeschaffungen	information procurement/provision of information	B2	-
14336	die	Informationsseite	Informationsseiten	information page	-	-
14337	der	Inlandsflug	Inlandsflüge	domestic flight	-	-
14338	die	Instandsetzungsarbeit	Instandsetzungsarbeiten	repair work/maintenance work	-	-
14339	die	Interaktivität	Interaktivitäten	interactivity	-	-
14340	der	Interessenskonflikt	Interessenskonflikte	conflict of interest	-	-
4211	das	Intro	Intros	intro/introduction/launch	B2	-
14342	der	Irrweg	Irrwege	wrong path/dead end	-	-
14343	der	IRS	—	IRS	-	-
14344	der	Jahresvergleich	Jahresvergleiche	annual comparison	-	-
14345	die	Jahrmillion	Jahrmillionen	millions of years	-	-
14346	das	Jobticket	Jobtickets	job ticket	-	-
14347	der	Jongleur	Jongleure	juggler	-	-
14348	der	Jugendchor	Jugendchöre	youth choir	-	-
14349	die	Jugendmannschaft	Jugendmannschaften	youth team	-	-
14350	der	Kahlschlag	Kahlschläge	clearcutting/cutover/deforestation	-	-
14351	der	Kaiserschmarrn	Kaiserschmarrn	sugared pancake with raisins	-	-
14352	der	Kalorienverbrauch	Kalorienverbräuche	calorie expenditure	-	-
14353	die	Kameradin	Kameradinnen	comrade	-	-
14354	die	Kanzel	Kanzeln	cockpit/pulpit	-	-
14355	der	Kaplan	Kapläne	chaplain	-	-
8796	die	Karnevalszeit	Karnevalszeiten	carnival season	C1	-
14357	das	Karriereende	Karriereenden	career end	-	-
14358	das	Kartell	Kartelle	cartel	-	-
14359	die	Käserei	Käsereien	cheese dairy	-	-
14360	die	Kaskade	Kaskaden	acrobatic leap/cascade/waterfall	-	-
14361	der	Kastenwagen	Kastenwagen	delivery van/panel van	-	-
14362	der	Kennwert	Kennwerte	characteristic value/key figure	-	-
14363	der	Keuchhusten	—	pertussis/whooping cough	-	-
14364	der	Kieferorthopäde	Kieferorthopäden	orthodontist	-	weak
14365	der	Kinderchor	Kinderchöre	children's choir	-	-
14366	der	Kindergartenplatz	Kindergartenplätze	kindergarten spot/place	-	-
14367	das	Kinderhospiz	Kinderhospize	child hospice	-	-
7631	die	Kinokasse	Kinokassen	box office	B2	-
14369	die	Klangwelt	Klangwelten	world of sound	-	-
14370	das	Klauen	—	stealing	-	-
14371	der	Kleidungsstil	Kleidungsstile	clothing style	-	-
14372	das	Kleingewerbe	Kleingewerbe	small business	-	-
14373	der	Klempner	Klempner	plumber/tinsmith	-	-
14374	der	Kleriker	Kleriker	clergyman	-	-
14375	das	Klimasystem	Klimasysteme	climate system	-	-
14376	das	Klingeln	—	ringing/buzzing	-	-
14377	der	Klostergarten	Klostergärten	cloister garden	-	-
14378	die	Klosterkirche	Klosterkirchen	monastery church	-	-
14379	die	Koalitionsvereinbarung	Koalitionsvereinbarungen	coalition agreement	-	-
14380	das	Kobalt	—	cobalt	-	-
14381	die	Kokosnuss	Kokosnüsse	coconut	-	-
14382	die	Kolonialzeit	Kolonialzeiten	colonial period	-	-
14383	die	Koloskopie	Koloskopien	colonoscopy	-	-
14384	die	Kommandozeile	Kommandozeilen	command line	-	-
14385	die	Kommissionierung	Kommissionierungen	order picking	-	-
14386	die	Kompanie	Kompanien	company	-	-
1734	der	Konsonant	Konsonanten	consonant	A1	weak
14388	der	Kontrolleur	Kontrolleure	inspector	-	-
14389	die	Konzeptionierung	Konzeptionierungen	conceptualisation	-	-
14390	das	Koordinatensystem	Koordinatensysteme	coordinate system	-	-
14391	die	Kopflaus	Kopfläuse	head louse	-	-
14392	die	Kordel	Kordeln	cord	-	-
4623	der	Koriander	Koriander	coriander	C1	-
14394	der	Kork	Korke	cork/plug/stopper	-	-
14395	das	Kortison	—	cortisone	-	-
14396	die	Kosmetikerin	Kosmetikerinnen	beautician/beauty specialist	-	-
14397	die	Kostensenkung	Kostensenkungen	cost reduction/cost cutting	-	-
14398	das	Kräftemessen	—	test of strength/trial of strength	-	-
14399	die	Krähe	Krähen	crow/rook	-	-
14400	der	Krater	Krater	crater	-	-
14401	der	Kreditrahmen	Kreditrahmen	credit limit/credit line	-	-
14402	der	Kreiswahlleiter	Kreiswahlleiter	district returning officer/district election officer	-	-
14403	das	Kriegsjahr	Kriegsjahre	war year	-	-
14404	der	Kriegstote	Kriegstoten	war casualty/war dead	-	adjNoun
14405	das	Küchentuch	Küchentücher	kitchen towel	-	-
7632	das	Kühlsystem	Kühlsysteme	cooling system	B2	-
14407	die	Kundenberatung	Kundenberatungen	client advice	-	-
14408	der	Kunstpreis	Kunstpreise	art prize	-	-
14409	die	Kunststofftechnik	Kunststofftechniken	plastics technology	-	-
14410	der	Küstenort	Küstenorte	coastal town	-	-
14411	der	Küstenstreifen	Küstenstreifen	coastal strip	-	-
1738	der	Laborant	Laboranten	lab technician	A1	weak
14413	die	Lagunenstadt	Lagunenstädte	lagoon city	-	-
14414	die	Länderspielpause	Länderspielpausen	international break	-	-
14415	die	Lebensader	Lebensadern	lifeline	-	-
14416	der	Lebensort	Lebensorte	place of residence	-	-
14417	die	Lebenswissenschaft	Lebenswissenschaften	life science	-	-
14418	das	Lebenszeichen	Lebenszeichen	life signs/sign of life/vital signs	-	-
14419	die	Leberzirrhose	Leberzirrhosen	cirrhosis of the liver/hepatic cirrhosis	-	-
14420	der	Lehrstuhlinhaber	Lehrstuhlinhaber	chair holder/professor holding a chair	-	-
14421	die	Leichenschau	Leichenschauen	post-mortem examination/coroner's inquest	-	-
14422	das	Leichtgewicht	Leichtgewichte	lightweight	-	-
14423	das	Leistungsdatum	Leistungsdaten	service date	-	-
14424	die	Letter	Lettern	character/letter	-	-
14425	die	Lichtgeschwindigkeit	Lichtgeschwindigkeiten	speed of light	-	-
14426	der	Lidschatten	Lidschatten	eye shadow	-	-
14427	das	Liebespaar	Liebespaare	couple	-	-
14428	die	Lieblingsmusik	Lieblingsmusiken	favourite music	-	-
14429	der	Liederabend	Liederabende	song recital	-	-
14430	das	Liedgut	—	song repertoire/body of songs	-	-
14431	die	Loge	Logen	box seat/gallery	-	-
14432	die	Lohnabrechnung	Lohnabrechnungen	pay slip/payslip	-	-
14433	der	Lokalmatador	Lokalmatadore	local hero/local heroine/local jock	-	-
14434	das	Löschfahrzeug	Löschfahrzeuge	fire engine/firefighting vehicle	-	-
14435	die	Lügenpresse	—	lying press	-	-
14436	die	Lupine	Lupinen	lupine/lupinus	-	-
14437	der	Mahnbescheid	Mahnbescheide	dunning notice/payment order	-	-
14438	der	Maibaum	Maibäume	maypole	-	-
14439	das	Mainufer	Mainufer	bank of the Main	-	-
14440	das	Mammut	Mammute	mammoth	-	-
14441	die	Mandarine	Mandarinen	mandarin orange/tangerine	-	-
14442	die	Männerdomäne	Männerdomänen	male preserve	-	-
14443	das	Marihuana	—	marijuana	-	-
14444	der	Markenartikel	Markenartikel	branded product	-	-
14445	die	Martinskirche	Martinskirchen	St. Martin's Church	-	-
14446	das	Martyrium	Martyrien	martyrdom	-	-
14447	das	Mausoleum	Mausoleen	mausoleum	-	-
14448	der	Medikationsplan	Medikationspläne	medication plan	-	-
14449	das	Meereis	—	sea ice	-	-
14450	das	Meinungsforschungsinstitut	Meinungsforschungsinstitute	opinion research institute/polling institute	-	-
14451	die	Membrane	Membranen	membrane	-	-
14452	die	Menschenhand	Menschenhände	human hand	-	-
14453	der	Messias	Messiasse	Messiah	-	-
14454	das	Messinstrument	Messinstrumente	measuring instrument	-	-
14455	das	Metronom	Metronome	metronome	-	-
7633	das	Migrantenkind	Migrantenkinder	migrant child	B2	-
14457	der	Milchbauer	Milchbauer	dairy farmer	-	-
14458	die	Millionenmetropole	Millionenmetropolen	metropolis of millions/large metropolis	-	-
14459	die	Minderheitsregierung	Minderheitsregierungen	minority government	-	-
8797	die	Mischform	Mischformen	mixed form/hybrid form	C1	-
14461	die	Mobilfunknummer	Mobilfunknummern	mobile phone number	-	-
14462	das	Modellprogramm	Modellprogramme	model program/pilot program	-	-
14463	die	Mondfinsternis	Mondfinsternisse	lunar eclipse	-	-
14464	die	Morddrohung	Morddrohungen	death threat	-	-
14465	der	Moslem	Moslems	Moslem/Muslem/Muslim	-	-
14466	die	Möwe	Möwen	seagull/gull	-	-
14467	der	Müllberg	Müllberge	garbage heap	-	-
14468	die	Mundschleimhaut	Mundschleimhäute	oral mucosa	-	-
14469	das	Muttertier	Muttertiere	dam/mother	-	-
14470	die	Mutti	Muttis	mommy/mummy	-	-
14471	der	Nachbarort	Nachbarorte	neighbouring town/village	-	-
14472	das	Nachwort	Nachworte	afterword	-	-
14473	die	Naivität	—	naivete/naivety/naiveté	-	-
14474	die	Namensnennung	Namensnennungen	mention by name/attribution	-	-
14475	das	Nassfutter	Nassfutter	wet pet food	-	-
14476	der	Nationaltrainer	Nationaltrainer	national coach	-	-
14477	das	Naturereignis	Naturereignisse	natural event/natural phenomenon	-	-
14478	die	Nebensache	Nebensachen	minor matter/minor point	-	-
14479	die	Netzabdeckung	Netzabdeckungen	network coverage	-	-
14480	die	Neurowissenschaft	Neurowissenschaften	neuroscience	-	-
14481	die	Nichtigkeit	Nichtigkeiten	invalidity/nothingness/triviality	-	-
14482	die	Notrufnummer	Notrufnummern	emergency call number	-	-
14483	die	Novemberrevolution	—	German Revolution/November Revolution	-	-
14484	das	Nummernschild	Nummernschilder	licence plate/licence tag	-	-
14485	der	Nürnberger	Nürnberger	person from Nuremberg	-	-
14486	der	Nussbaum	Nussbäume	walnut tree	-	-
14487	der	Nussknacker	Nussknacker	nutcracker	-	-
14488	der	Nutznießer	Nutznießer	beneficiary/profiteer	-	-
8798	das	Oberhaupt	Oberhäupter	head	C1	-
14490	der	Oberkiefer	Oberkiefer	maxilla/upper jaw	-	-
14491	der	Ochse	Ochsen	ox	-	weak
14492	das	Ölgemälde	Ölgemälde	oil painting	-	-
14493	die	Olympiasiegerin	Olympiasiegerinnen	Olympic champion	-	-
7634	das	Onlinebanking	—	Online banking	B2	-
14495	der	Optimist	Optimisten	optimist	-	weak
14496	die	Ordensfrau	Ordensfrauen	nun/religious sister	-	-
14497	das	Originaldokument	Originaldokumente	original document	-	-
14498	das	Ortsrecht	Ortsrechte	local law/municipal law	-	-
14499	der	Outback	Outbacks	Outback	-	-
14500	der	Pachtvertrag	Pachtverträge	lease agreement	-	-
14501	die	Packungsbeilage	Packungsbeilagen	patient information leaflet	-	-
14502	die	Pädiatrie	—	paediatrics	-	-
14503	der	Panther	Panther	panther	-	-
14504	die	Paradoxie	Paradoxien	paradox	-	-
14505	die	Parkplatzsuche	—	car park search	-	-
14506	das	Parteimitglied	Parteimitglieder	party member	-	-
14507	die	Partitur	Partituren	score	-	-
14508	das	Passfoto	Passfotos	passport photo	-	-
14509	die	Pauke	Pauken	kettledrum/timbal	-	-
14510	der	Pegelstand	Pegelstände	water level	-	-
14511	das	Pergament	Pergamente	parchment/vellum	-	-
14512	die	Personalangelegenheit	Personalangelegenheiten	personnel matter	-	-
8642	das	Personalpronomen	Personalpronomen	personal pronoun	A1	-
14514	der	Pfandbrief	Pfandbriefe	covered bond	-	-
7635	die	Pfeife	Pfeifen	loser/pipe/whistle	B2	-
14516	das	Pfeifen	—	whistling	-	-
14517	der	Pfingstmontag	Pfingstmontage	Whit Monday	-	-
3219	die	Pflegerin	Pflegerinnen	caregiver/nurse/paediatric nurse	B1	-
14519	der	Pflichtteil	Pflichtteile	statutory share/compulsory portion	-	-
14520	die	Pharmakologie	—	pharmacology	-	-
14521	das	Pi	Pis	pi	-	-
14522	das	Plastikteil	Plastikteile	plastic part	-	-
14523	der	Plattenteller	Plattenteller	turntable/platter	-	-
4624	der	Pol	Pole	pole	C1	-
14525	die	Polemik	Polemiken	polemic	-	-
14526	die	Porzellanmanufaktur	Porzellanmanufakturen	porcelain manufactory	-	-
14527	die	Positionsbestimmung	Positionsbestimmungen	positioning	-	-
14528	die	Präimplantationsdiagnostik	—	preimplantation diagnostics	-	-
14529	der	Praxisraum	Praxisräume	practice room/consulting room	-	-
14530	die	Preisgabe	Preisgaben	disclosure/surrender	-	-
14531	das	Prisma	Prismen	prism	-	-
14532	der	Privatdetektiv	Privatdetektive	private eye/private investigator	-	-
14533	das	Privatgrundstück	Privatgrundstücke	private property	-	-
14534	die	Privatklinik	Privatkliniken	clinic	-	-
14535	die	Produktionskapazität	Produktionskapazitäten	production capacity	-	-
14536	der	Profiler	Profiler	profiler	-	-
14537	der	Profiteur	Profiteure	profiteer	-	-
14538	der	Protektionismus	—	protectionism	-	-
14539	der	Prozessorkern	Prozessorkerne	processor core	-	-
3666	die	Prüferin	Prüferinnen	examiner (female)	A2	-
14541	die	Puste	—	breath/wind	-	-
14542	die	Quantifizierung	Quantifizierungen	quantification	-	-
14543	die	Quartalszahl	Quartalszahlen	quarterly figure	-	-
14544	das	Quellwasser	Quellwasser	spring water	-	-
