rank	article	word	plural	english	cefr	flags
18382	die	Boje	Bojen	buoy/sonobuoy	-	-
18383	der	Bolide	Boliden	bolide	-	weak
18384	der	Bolognese	Bolognesen	Bolognese	-	weak
18385	das	Bombardement	Bombardements	bombardment/bombing	-	-
18386	der	Bombenanschlag	Bombenanschläge	bomb attack	-	-
18387	der	Bootsflüchtling	Bootsflüchtlinge	boat refugee	-	-
18388	das	Bootshaus	Bootshäuser	boathouse	-	-
18389	der	Boxsport	—	boxing	-	-
18390	die	Brandkatastrophe	Brandkatastrophen	fire disaster	-	-
18391	der	Brandschaden	Brandschäden	fire damage	-	-
18392	das	Brandschutzkonzept	Brandschutzkonzepte	fire protection concept	-	-
18393	das	Braunkehlchen	Braunkehlchen	whinchat	-	-
18394	der	Braunton	Brauntöne	shade of brown/brown tone	-	-
18395	die	Brause	Brausen	fizzy lemonade/soda	-	-
18396	der	Brautstrauß	Brautsträuße	bridal bouquet	-	-
18397	der	Brennraum	Brennräume	combustion chamber	-	-
18398	der	Briefwähler	Briefwähler	postal voter	-	-
18399	der	Brillenträger	Brillenträger	spectacle wearer	-	-
18400	das	Brustbein	Brustbeine	breastbone/sternum	-	-
18401	das	Brustimplantat	Brustimplantate	breast implant	-	-
18402	die	Buchbranche	Buchbranchen	book industry	-	-
18403	der	Buchstabendreher	Buchstabendreher	transposed letters/typo	-	-
18404	der	Buchwert	Buchwerte	book value	-	-
18405	die	Buhne	Buhnen	groin/groyne	-	-
18406	die	Bühnentechnik	Bühnentechniken	stage technology	-	-
18407	die	Bulldogge	Bulldoggen	bulldog	-	-
18408	die	Bundesanwaltschaft	Bundesanwaltschaften	federal public prosecutor's office	-	-
18409	der	Bundesarbeitsminister	Bundesarbeitsminister	Federal Minister of Labour	-	-
18410	die	Bundespost	—	federal postal service	-	-
18411	der	Burggraben	Burggräben	castle moat/economic moat/moat	-	-
18412	das	Büschel	Büschel	tuft	-	-
3701	die	Busfahrerin	Busfahrerinnen	bus driver	A2	-
