rank	article	word	plural	english	cefr	flags
25322	die	Frische	—	freshness/viridity	-	-
4750	die	Frisur	Frisuren	hairstyle	B1	-
25323	der	Gamer	Gamer	gamer	-	-
25324	die	Gans	Gänse	goose	-	-
25325	die	Hafenstadt	Hafenstädte	port city/harbor city	-	-
4754	die	Hautfarbe	Hautfarben	skin colour/complexion	B2	-
25327	der	Hörfunk	—	radio	-	-
25328	das	Hospiz	Hospize	hospice	-	-
25329	das	Industriegebiet	Industriegebiete	industrial area/industrial park	-	-
25330	der	Jünger	Jünger	disciple	-	-
25331	die	Karibik	—	Caribbean	-	-
25332	die	Karosserie	Karosserien	bodywork	-	-
25333	die	Kinderarbeit	Kinderarbeiten	child labour	-	-
1556	der	Krankenpfleger	Krankenpfleger	male nurse/nurse	A1	-
25334	der	Kristall	Kristalle	crystal	-	-
25335	der	Kurfürst	Kurfürsten	elector	-	-
4765	das	Laufwerk	Laufwerke	drive	B1	-
9408	die	Lektion	Lektionen	lesson	C1	-
25336	die	Liquidität	—	liquidity	-	-
25337	die	Magie	—	magic	-	-
25338	die	Menschenwürde	—	diginity of man/human dignity	-	-
25339	das	Misstrauen	—	distrust/mistrust/suspicion	-	-
25340	die	Muschel	Muscheln	bivalve shellfish/clam/clamshell	-	-
25341	der	Nachdruck	Nachdrucke	emphasis/reprint/stress	-	-
25342	die	Obergrenze	Obergrenzen	upper limit	-	-
4774	der	Offizier	Offiziere	commissioned officer/mate/officer	B2	-
25343	die	Pfarrerin	Pfarrerinnen	female pastor	-	-
25344	die	Pressefreiheit	Pressefreiheiten	freedom of the press/press freedom	-	-
25345	die	Propaganda	—	propaganda	-	-
25346	das	Regenwasser	—	rainwater	-	-
25347	die	Resolution	Resolutionen	resolution	-	-
25348	der	Sattel	Sättel	saddle	-	-
4781	der	Scanner	Scanner	scanner	C1	-
25349	die	Schreibweise	Schreibweisen	spelling/style	-	-
8224	der	Schwarm	Schwärme	bevy/flock/school	B2	-
25350	der	Sekt	Sekte	sparkling wine	-	-
25351	die	Sequenz	Sequenzen	sequence	-	-
25352	der	Sportwagen	Sportwagen	sports car	-	-
25353	der	Stammtisch	Stammtische	regulars' table/stammtisch	-	-
25354	das	Syndrom	Syndrome	syndrome	-	-
25355	die	Telefonie	—	telephony	-	-
25356	das	Versagen	—	failure	-	-
4791	der	Vorort	Vororte	suburb	B1	-
25357	die	Wehe	Wehen	labor contraction	-	-
25358	das	Weihnachtsfest	Weihnachtsfeste	Christmas	-	-
25359	die	Wetterlage	Wetterlagen	atmospheric conditions	-	-
1557	das	Wiedersehen	Wiedersehen	reunion	A1	-
25360	das	Wohlergehen	—	wellbeing	-	-
25361	die	Ambition	Ambitionen	ambition	-	-
25362	der	Anker	Anker	anchor	-	-
9436	der	Arztbesuch	Arztbesuche	doctor's visit/visit to the doctor	A1	-
9437	die	Assoziation	Assoziationen	association	A1	-
25363	der	Bildhauer	Bildhauer	sculptor/statuary	-	-
25364	der	Cache	Caches	cache	-	-
25365	das	Carsharing	—	carsharing	-	-
9441	der	Check	Checks	check	C1	-
4805	das	Cockpit	Cockpits	cockpit	B2	-
25366	die	Diplomarbeit	Diplomarbeiten	diploma thesis/thesis	-	-
4807	der	Ehrgeiz	—	ambition	C1	-
4808	die	Einbuße	Einbußen	damage/forfeit/loss	C1	-
1562	der	Friseur	Friseure	barber/hairdresser	A1	-
25367	die	Fußbodenheizung	Fußbodenheizungen	underfloor heating	-	-
25368	die	Geburtshilfe	Geburtshilfen	midwifery/obstetrics	-	-
25369	das	Gerichtsverfahren	Gerichtsverfahren	legal proceedings	-	-
25370	die	Gutschrift	Gutschriften	credit/credit entry/credit note	-	-
25371	der	Hautkrebs	Hautkrebse	skin cancer	-	-
25372	der	Heide	Heiden	atheist/heathen/pagan	-	weak
25373	die	Herzogin	Herzoginnen	duchess	-	-
25374	der	Hirsch	Hirsche	deer/stag	-	-
25375	der	Holocaust	Holocausts	Holocaust	-	-
25376	der	Homosexuelle	Homosexuellen	homosexual/gay person	-	adjNoun
25377	das	Hostel	Hostels	hostel	-	-
4821	die	Kantine	Kantinen	canteen	A1	-
25378	die	Kaufkraft	Kaufkräfte	purchasing power/spending power	-	-
25379	der	Knotenpunkt	Knotenpunkte	junction	-	-
25380	die	Konsolidierung	Konsolidierungen	consolidation	-	-
25381	der	Kostenträger	Kostenträger	cost bearer/payer	-	-
25382	die	Krankenpflege	—	nursing	-	-
25383	das	Labyrinth	Labyrinthe	labyrinth/maze	-	-
25384	die	Lebenszeit	Lebenszeiten	lifetime	-	-
25385	der	Leuchtturm	Leuchttürme	lighthouse	-	-
25386	das	Magnetfeld	Magnetfelder	magnetic field	-	-
25387	der	Mittelwert	Mittelwerte	mean	-	-
25388	das	Multimedia	—	multimedia	-	-
3560	die	Musikerin	Musikerinnen	musician	A2	-
25389	das	Musikstück	Musikstücke	composition/piece of music	-	-
1564	die	Mütze	Mützen	beanie/beret/cap	A1	-
4836	der	Nacken	Nacken	nape	C1	-
