rank	word	english	cefr	flags
4901	affin	affine/similar	-	-
4902	ägäisch	Aegean	-	-
4903	agrarisch	agricultural	-	-
4904	allabendlich	every evening	-	-
4905	altersmäßig	in terms of age	-	-
4906	anarchistisch	anarchist/anarchistic	-	-
4907	anfechtbar	contestable/disputable	-	-
4908	anschmiegsam	supple/snug-fitting/affectionate	-	-
4909	anthropologisch	anthropological	-	-
4910	antiautoritär	antiauthoritarian	-	-
4911	antidemokratisch	antidemocratic	-	-
4912	apokalyptisch	apocalyptic	-	-
4913	arabischsprachig	Arabic-speaking	-	-
4914	arbeitstäglich	daily working	-	-
4915	ärmellos	sleeveless	-	-
4916	artverwandt	related (species/kind)	-	-
4917	atomwaffenfrei	free of atomic weapon	-	-
4918	ausbaufähig	capable of extension	B2	-
4919	ausnehmend	exceedingly	-	-
4920	auszugsweise	in extracts	-	-
4921	autodidaktisch	autodidactic	-	-
4922	bankrott	bankrupt	B2	-
4923	batterieelektrisch	battery-electric	-	-
4924	baumlos	treeless	-	-
4925	begehrenswert	desirable	-	-
4926	beherrscht	controlled	-	-
4927	berufsständisch	professional/corporative	-	-
4928	bescheuert	dumb/stupid	-	-
4929	beschissen	lousy/terrible	-	-
4930	beseelt	imbued/soulful	B2	-
4931	besserwisserisch	know-it-all/smugly superior	-	-
4932	bestürzt	dismayed/shocked	-	-
4933	betucht	well off/well-to-do	-	-
4934	bivalent	bivalent	-	-
4935	blauäugig	blue-eyed/dewy-eyed/naive	-	-
4936	blutsaugend	bloodsucking/hematophagous	-	-
4937	bodenlang	floor-length	-	-
4938	brandgefährlich	extremely dangerous	-	-
4939	bretonisch	Breton	-	-
4940	bronzezeitlich	Bronze Age	-	-
4941	chancenlos	no chance	-	-
4942	cholerisch	choleric	-	-
4943	cremefarben	cream-coloured	-	-
4944	dankenswert	commendable	-	-
4945	deaktiviert	deactivated	-	-
4946	dental	dental	-	-
4947	deprimiert	dejected/depressed/downcast	-	-
4948	derivativ	derivative	-	-
4949	diagonal	diagonal	-	-
4950	diktatorisch	dictatorial	-	-
4951	distal	distal	-	-
4952	doll	great/awesome (colloquial)	-	-
4953	druckfertig	ready for printing	-	-
