rank	article	word	plural	english	cefr	flags
2082	die	Unabhängigkeit	Unabhängigkeiten	independence/independency	B1	-
2083	die	Auszeit	Auszeiten	time out/time-out	B2	-
2084	das	Brett	Bretter	board/plank	-	-
2085	die	Brille	Brillen	eyeglasses/glasses/goggles	A2	-
2086	die	Drohne	Drohnen	drone/unmanned aerial vehicle	C1	-
2087	die	Ernte	Ernten	crop/harvest/yield	B1	-
2088	der	Feind	Feinde	enemy/foe	B2	-
2089	die	Gefährdung	Gefährdungen	endangerment/risk	-	-
2090	der	Humor	Humore	humour/sense of humour	A2	-
2091	die	Kette	Ketten	catenary/chain/necklace	A2	-
2092	die	Koordination	Koordinationen	coordination	B2	-
2093	der	Mediziner	Mediziner	doctor/physician	A2	-
2094	die	Offenheit	—	openness	B2	-
2095	der	Staatssekretär	Staatssekretäre	state secretary/undersecretary	-	-
2096	der	Treffer	Treffer	hit	-	-
2097	das	Aussehen	—	appearance/look	-	-
2098	das	Level	Levels	level	C1	-
2099	der	Millimeter	Millimeter	millimetre	-	-
2100	der	Praktikant	Praktikanten	intern/trainee	B1	weak
2101	die	Übergabe	Übergaben	delivery/handover/opening	-	-
2102	die	Überschrift	Überschriften	heading/headline/title	A1	-
2103	der	Aufsichtsrat	Aufsichtsräte	supervisory board	-	-
2104	das	Celsius	Celsius	Celsius	-	-
2105	die	Einsicht	Einsichten	insight	-	-
2106	das	Entgelt	Entgelte	remuneration	-	-
2107	der	Ozean	Ozeane	ocean	B1	-
2108	die	Privatsphäre	Privatsphären	privacy/private sphere	B2	-
463	das	Reiseziel	Reiseziele	destination	A1	-
2110	die	Transaktion	Transaktionen	transaction	C1	-
2111	die	Amtszeit	Amtszeiten	term of office/tenure	-	-
2112	die	Bundestagswahl	Bundestagswahlen	Bundestag election/federal election	B2	-
2113	die	Entzündung	Entzündungen	inflammation	C1	-
2114	die	Europawahl	Europawahlen	European election	-	-
2115	die	Fassade	Fassaden	façade/front	B2	-
2116	der	Forst	Forste	forest	-	-
