rank	word	english	cefr	flags
9101	kennzeichnend	characteristic/distinctive	B2	-
9102	üblicherweise	usually/typically	B2	-
9103	verletzend	hurtful/offensive	B2	-
9104	anonymisiert	anonymised	B2	-
9105	irritierend	irritating/confusing	B2	-
9106	irgendwas	something/anything	B2	-
9107	irgendwie	somehow	B2	-
9108	entspannt	relaxed	B2	-
9109	genervt	annoyed	A2	-
9110	vielmehr	rather/on the contrary	B2	-
9111	soweit	as far as/so far	B2	-
9112	inwiefern	in what respect/to what extent	B2	-
9113	insofern	in this respect/to that extent	B2	-
9114	beispielsweise	for example	B1	-
9115	keinerlei	no/not any	B2	-
9116	geltend	valid/applicable	B2	-
9117	bedrückend	oppressive/depressing	B2	-
9118	bislang	so far/up to now	B2	-
9119	sofern	provided that/if	B2	-
9120	binnen	within	B2	-
9121	unbestritten	undisputed/uncontested	B2	-
9122	hingegen	however/by contrast	B2	-
9123	dagegen	by contrast/against it	A2	-
9124	energiegeladen	energetic/full of energy	B2	-
9125	währenddessen	meanwhile/during that time	B2	-
9126	stattdessen	instead	B2	-
9127	eingesperrt	locked up/confined	B2	-
9128	heutzutage	nowadays	B2	-
9129	äußerst	extremely	B2	-
9130	hellauf	brightly/utterly (e.g. hellauf begeistert)	B2	-
9131	durchaus	definitely/quite	B2	-
9132	zusammenfassend	summarising/in summary	B2	-
9133	gewiss	certain/sure	B2	-
9134	ausgleichend	balancing/compensating	B2	-
9135	versetzt	offset/staggered; transferred	B2	-
9136	verkürzt	shortened/abbreviated	B2	-
9137	energiesparend	energy-saving	B2	-
9138	unverpackt	unpackaged	B2	-
9139	dazu	for that purpose/in addition	A1	-
9140	dafür	for that/for it	A2	-
9141	dadurch	thereby/as a result	B2	-
9142	ehe	before	B2	-
9143	während	while/whereas	B1	-
9144	anstatt	instead of	B2	-
9145	gratis	free of charge	B1	-
9146	vorzugsweise	preferably	B1	-
9147	zuliebe	for the sake of	B1	-
9148	ohnehin	anyway/in any case	B1	-
9149	allerdings	however/though/admittedly	B1	-
9150	überhaupt	at all/in general	A2	-
9151	normalerweise	normally/usually	A1	-
9152	jeweils	in each case/respectively	A2	-
9153	solo	solo/alone	B1	-
9154	voraus	ahead/in advance	B1	-
9155	bio	organic	B1	-
9156	anfangs	at first/initially	B1	-
9157	seitdem	since then	B1	-
9158	schließlich	finally/after all	B1	-
9159	miteinander	with one another/together	B1	-
9160	mittlerweile	by now/in the meantime	B1	-
9161	füreinander	for one another	B1	-
9162	eingespielt	well-rehearsed/well-coordinated	B1	-
9163	ziemlich	fairly/quite	B1	-
9164	sauschwer	extremely difficult (colloquial)	B1	-
9165	extra	extra/specially	B1	-
9166	zwar	admittedly/it is true that	B1	-
9167	live	live (broadcast)	A2	-
9168	offline	offline	B1	-
9169	tagsüber	during the daytime	A2	-
9170	höchstens	at most	B1	-
9171	aktivistisch	activist (adj.)	C1	-
9172	hierfür	for this/for that	C1	-
9173	wozu	what for/why	C1	-
9174	kostenintensiv	cost-intensive/expensive	C1	-
9175	hierzu	regarding this/in addition to this	C1	-
9176	zwecks	for the purpose of	C1	-
9177	unverkäuflich	not for sale	C1	-
9178	gelöst	relaxed/at ease; solved	C1	-
9179	unseriös	untrustworthy/dubious	C1	-
9180	garantiert	guaranteed/definitely	C1	-
9181	angestrengt	strained/exerted	C1	-
9182	ermutigend	encouraging	C1	-
9183	zweifelsohne	without a doubt	C1	-
9184	begreiflich	understandable	C1	-
9185	einleuchtend	plausible/clear	B2	-
9186	entschlussfreudig	decisive	C1	-
9187	wohlverdient	well-earned	C1	-
9188	netto	net (after deductions)	A2	-
9189	immerhin	after all/at least	C1	-
9190	erhebend	uplifting	C1	-
9191	darauflos	straight ahead/without further ado	C1	-
9192	zentnerschwer	extremely heavy/leaden	C1	-
9193	gekränkt	offended/hurt	C1	-
9194	achselzuckend	with a shrug	C1	-
9195	sooft	whenever	C1	-
9196	seither	since then	C1	-
9197	woraufhin	whereupon	C1	-
9198	indiskret	indiscreet	C1	-
9199	treibend	driving (force)	C1	-
9200	frustrierend	frustrating	C1	-
9201	hochdotiert	highly endowed/well-paid	C1	-
9202	hinsichtlich	with regard to	C1	-
9203	schwindend	dwindling/diminishing	C1	-
9204	überliefert	passed down/handed down	C1	-
9205	leerstehend	vacant/empty	C1	-
9206	verwundert	astonished/puzzled	C1	-
9207	gleichermaßen	equally/in the same way	B2	-
9208	gebunden	bound/tied	C1	-
9209	erhoben	raised/elevated	C1	-
9210	hochgewachsen	tall/grown tall	C1	-
9211	zugunsten	in favour of	C1	-
9212	draußen	outside	A1	-
9213	drinnen	inside (within)	A2	-
9214	drüben	over there	A2	-
9215	daneben	next to it	A1	-
9216	gestern	yesterday	A1	-
9217	heute	today	A1	-
9218	morgen	tomorrow	A1	-
9219	übermorgen	the day after tomorrow	A2	-
9220	vorgestern	the day before yesterday	A1	-
9221	oben	above/upstairs	A1	-
9222	unten	below/downstairs	A1	-
9223	vorne	in front	A1	-
9224	hinten	at the back/behind	A1	-
9225	innen	inside (interior)	B1	-
9226	außen	outside (exterior)	B1	-
9227	links	left/on the left	A1	-
9228	rechts	right/on the right	A1	-
9229	geradeaus	straight ahead	A1	-
9230	zusammen	together	A1	-
9231	bisschen	a little (ein bisschen)	A1	-
9232	wegen	because of (with Gen./Dat.)	A2	-
9233	neben	next to (preposition)	A1	-
9234	zwischen	between	A1	-
